example_id,query_idx,query_type,doc_idx,n_docs,doc_position,doc_len,attention_mass,attention_mass_ratio,attention_density
0,0,related,0,10,0.0,50,0.03278667852282524,0.03278667852282524,0.0006557335704565049
0,0,related,1,10,0.1111111111111111,92,0.040092989802360535,0.040092989802360535,0.0004357933674169623
0,0,related,2,10,0.2222222222222222,76,0.044261325150728226,0.044261325150728226,0.0005823858572464241
0,0,related,3,10,0.3333333333333333,98,0.05878456309437752,0.05878456309437752,0.0005998424805548726
0,0,related,4,10,0.4444444444444444,52,0.029741235077381134,0.029741235077381134,0.0005719468284111756
0,0,related,5,10,0.5555555555555556,214,0.12873685359954834,0.12873685359954834,0.0006015740822408801
0,0,related,6,10,0.6666666666666666,121,0.08392301946878433,0.08392301946878433,0.0006935786732957383
0,0,related,7,10,0.7777777777777778,301,0.22331219911575317,0.22331219911575317,0.0007419009937400438
0,0,related,8,10,0.8888888888888888,84,0.11186270415782928,0.11186270415782928,0.0013316988590217772
0,0,related,9,10,1.0,83,0.2464984804391861,0.2464984804391861,0.0029698612101106757
0,1,related,0,10,0.0,50,0.03270220011472702,0.03270220011472702,0.0006540440022945404
0,1,related,1,10,0.1111111111111111,92,0.037026651203632355,0.037026651203632355,0.0004024636000394821
0,1,related,2,10,0.2222222222222222,76,0.04151838272809982,0.04151838272809982,0.0005462945095802608
0,1,related,3,10,0.3333333333333333,98,0.058960989117622375,0.058960989117622375,0.0006016427460981875
0,1,related,4,10,0.4444444444444444,52,0.029721053317189217,0.029721053317189217,0.0005715587176382542
0,1,related,5,10,0.5555555555555556,214,0.13042022287845612,0.13042022287845612,0.0006094402938245613
0,1,related,6,10,0.6666666666666666,121,0.0828758105635643,0.0828758105635643,0.000684924054244333
0,1,related,7,10,0.7777777777777778,301,0.22644685208797455,0.22644685208797455,0.0007523151232158622
0,1,related,8,10,0.8888888888888888,84,0.10772417485713959,0.10772417485713959,0.0012824306530611856
0,1,related,9,10,1.0,83,0.2526037096977234,0.2526037096977234,0.0030434181891291975
0,2,unrelated,0,10,0.0,50,0.029316719621419907,0.02931672136883267,0.0005863343924283981
0,2,unrelated,1,10,0.1111111111111111,92,0.03587338328361511,0.035873385421835505,0.00038992807916972947
0,2,unrelated,2,10,0.2222222222222222,76,0.04104713350534439,0.04104713595194435,0.0005400938619124261
0,2,unrelated,3,10,0.3333333333333333,98,0.05775899812579155,0.057759001568496324,0.0005893775318958322
0,2,unrelated,4,10,0.4444444444444444,52,0.02971743606030941,0.029717437831606734,0.0005714891550059502
0,2,unrelated,5,10,0.5555555555555556,214,0.12462545931339264,0.12462546674164932,0.0005823619594083768
0,2,unrelated,6,10,0.6666666666666666,121,0.08344245702028275,0.08344246199384105,0.0006896070828122541
0,2,unrelated,7,10,0.7777777777777778,301,0.22534741461277008,0.22534742804452348,0.0007486625070191697
0,2,unrelated,8,10,0.8888888888888888,84,0.11328956484794617,0.11328957160053084,0.0013486852958088829
0,2,unrelated,9,10,1.0,83,0.2595813274383545,0.25958134291060825,0.003127485872751259
0,3,unrelated,0,10,0.0,50,0.030334902927279472,0.030334904735380693,0.0006066980585455894
0,3,unrelated,1,10,0.1111111111111111,92,0.03701706603169441,0.037017068238083616,0.00040235941338798273
0,3,unrelated,2,10,0.2222222222222222,76,0.03983220458030701,0.03983220695449155,0.0005241079550040396
0,3,unrelated,3,10,0.3333333333333333,98,0.05667397379875183,0.05667397717678411,0.0005783058550893044
0,3,unrelated,4,10,0.4444444444444444,52,0.03059924580156803,0.030599247625425315,0.000588447034645539
0,3,unrelated,5,10,0.5555555555555556,214,0.12591616809368134,0.12591617559887025,0.0005883933088489782
0,3,unrelated,6,10,0.6666666666666666,121,0.08784045279026031,0.0878404580259596,0.0007259541552914076
0,3,unrelated,7,10,0.7777777777777778,301,0.2226516306400299,0.22265164391110204,0.0007397064140864781
0,3,unrelated,8,10,0.8888888888888888,84,0.11002287268638611,0.11002287924426074,0.0013097961034093583
0,3,unrelated,9,10,1.0,83,0.2591114640235901,0.2591114794678378,0.0031218248677540974
0,4,unrelated,0,10,0.0,50,0.02893112227320671,0.02893112399763608,0.0005786224454641342
0,4,unrelated,1,10,0.1111111111111111,92,0.03743181750178337,0.03743181973289369,0.00040686758154112357
0,4,unrelated,2,10,0.2222222222222222,76,0.04058263450860977,0.04058263692752343,0.0005339820330080233
0,4,unrelated,3,10,0.3333333333333333,98,0.057751238346099854,0.05775124178834211,0.0005892983504704066
0,4,unrelated,4,10,0.4444444444444444,52,0.029939845204353333,0.029939846988907278,0.0005757662539298718
0,4,unrelated,5,10,0.5555555555555556,214,0.1259949803352356,0.1259949878451221,0.0005887615903515682
0,4,unrelated,6,10,0.6666666666666666,121,0.0871252566576004,0.08712526185067068,0.000720043443451243
0,4,unrelated,7,10,0.7777777777777778,301,0.22138570249080658,0.2213857156864235,0.0007355006727269321
0,4,unrelated,8,10,0.8888888888888888,84,0.10832836478948593,0.10832837124636002,0.001289623390351023
0,4,unrelated,9,10,1.0,83,0.26252901554107666,0.2625290311890263,0.0031630001872418874
0,5,unrelated,0,10,0.0,50,0.03077198565006256,0.03077198565006256,0.0006154397130012512
0,5,unrelated,1,10,0.1111111111111111,92,0.037815067917108536,0.037815067917108536,0.00041103334692509276
0,5,unrelated,2,10,0.2222222222222222,76,0.04252931475639343,0.04252931475639343,0.0005595962467946505
0,5,unrelated,3,10,0.3333333333333333,98,0.057894542813301086,0.057894542813301086,0.0005907606409520519
0,5,unrelated,4,10,0.4444444444444444,52,0.029578935354948044,0.029578935354948044,0.000568825679902847
0,5,unrelated,5,10,0.5555555555555556,214,0.12829355895519257,0.12829355895519257,0.0005995026119401522
0,5,unrelated,6,10,0.6666666666666666,121,0.08405721187591553,0.08405721187591553,0.0006946877014538473
0,5,unrelated,7,10,0.7777777777777778,301,0.2216828614473343,0.2216828614473343,0.0007364879117851637
0,5,unrelated,8,10,0.8888888888888888,84,0.11201834678649902,0.11201834678649902,0.0013335517474583217
0,5,unrelated,9,10,1.0,83,0.25535818934440613,0.25535818934440613,0.0030766046908964595
0,6,unrelated,0,10,0.0,50,0.029139460995793343,0.02913946273264067,0.0005827892199158669
0,6,unrelated,1,10,0.1111111111111111,92,0.036326341331005096,0.0363263434962239,0.0003948515362065771
0,6,unrelated,2,10,0.2222222222222222,76,0.043544232845306396,0.04354423544074508,0.0005729504321750842
0,6,unrelated,3,10,0.3333333333333333,98,0.05755530297756195,0.05755530640812554,0.000587299009975122
0,6,unrelated,4,10,0.4444444444444444,52,0.030087150633335114,0.030087152426669147,0.0005785990506410599
0,6,unrelated,5,10,0.5555555555555556,214,0.12248914688825607,0.12248915418917859,0.0005723791910666172
0,6,unrelated,6,10,0.6666666666666666,121,0.08635679632425308,0.08635680147151956,0.0007136925316053973
0,6,unrelated,7,10,0.7777777777777778,301,0.21955205500125885,0.21955206808758188,0.0007294088206021889
0,6,unrelated,8,10,0.8888888888888888,84,0.1116323173046112,0.11163232395841623,0.0013289561583882286
0,6,unrelated,9,10,1.0,83,0.26331713795661926,0.2633171536515447,0.0031724956380315573
0,7,unrelated,0,10,0.0,50,0.03151201829314232,0.03151201829314232,0.0006302403658628463
0,7,unrelated,1,10,0.1111111111111111,92,0.039277076721191406,0.039277076721191406,0.0004269247469694718
0,7,unrelated,2,10,0.2222222222222222,76,0.041669681668281555,0.041669681668281555,0.0005482852851089678
0,7,unrelated,3,10,0.3333333333333333,98,0.05872395634651184,0.05872395634651184,0.0005992240443521617
0,7,unrelated,4,10,0.4444444444444444,52,0.029160402715206146,0.029160402715206146,0.0005607769752924258
0,7,unrelated,5,10,0.5555555555555556,214,0.125512033700943,0.125512033700943,0.0005865048303782382
0,7,unrelated,6,10,0.6666666666666666,121,0.08378872275352478,0.08378872275352478,0.0006924687830869817
0,7,unrelated,7,10,0.7777777777777778,301,0.22599023580551147,0.22599023580551147,0.0007507981255997059
0,7,unrelated,8,10,0.8888888888888888,84,0.1119171679019928,0.1119171679019928,0.0013323472369284857
0,7,unrelated,9,10,1.0,83,0.2524486780166626,0.2524486780166626,0.003041550337550152
0,8,unrelated,0,10,0.0,50,0.02988586574792862,0.029885869310601866,0.0005977173149585723
0,8,unrelated,1,10,0.1111111111111111,92,0.03759821876883507,0.03759822325089255,0.0004086762909655986
0,8,unrelated,2,10,0.2222222222222222,76,0.04191811382770538,0.04191811882473455,0.000551554129311913
0,8,unrelated,3,10,0.3333333333333333,98,0.058919720351696014,0.05891972737547486,0.0006012216362417961
0,8,unrelated,4,10,0.4444444444444444,52,0.03000785782933235,0.03000786140654819,0.0005770741890256221
0,8,unrelated,5,10,0.5555555555555556,214,0.1292903870344162,0.12929040244703321,0.0006041606870767112
0,8,unrelated,6,10,0.6666666666666666,121,0.08554668724536896,0.08554669744332999,0.0007069974152509831
0,8,unrelated,7,10,0.7777777777777778,301,0.22210080921649933,0.22210083569298217,0.000737876442579732
0,8,unrelated,8,10,0.8888888888888888,84,0.11289048939943314,0.11289050285702978,0.0013439343976122992
0,8,unrelated,9,10,1.0,83,0.25184181332588196,0.25184184334776916,0.003034238714769662
0,9,unrelated,0,10,0.0,50,0.029330693185329437,0.029330693185329437,0.0005866138637065887
0,9,unrelated,1,10,0.1111111111111111,92,0.038083966821432114,0.038083966821432114,0.00041395616110252297
0,9,unrelated,2,10,0.2222222222222222,76,0.040913838893175125,0.040913838893175125,0.0005383399854365148
0,9,unrelated,3,10,0.3333333333333333,98,0.05762552097439766,0.05762552097439766,0.0005880155201469149
0,9,unrelated,4,10,0.4444444444444444,52,0.029639052227139473,0.029639052227139473,0.000569981773598836
0,9,unrelated,5,10,0.5555555555555556,214,0.12635156512260437,0.12635156512260437,0.0005904278744046933
0,9,unrelated,6,10,0.6666666666666666,121,0.08468427509069443,0.08468427509069443,0.0006998700420718548
0,9,unrelated,7,10,0.7777777777777778,301,0.22500130534172058,0.22500130534172058,0.0007475126423312976
0,9,unrelated,8,10,0.8888888888888888,84,0.11279990524053574,0.11279990524053574,0.0013428560147682826
0,9,unrelated,9,10,1.0,83,0.2555698752403259,0.2555698752403259,0.0030791551233774208
0,10,unrelated,0,10,0.0,50,0.030304523184895515,0.030304523184895515,0.0006060904636979104
0,10,unrelated,1,10,0.1111111111111111,92,0.037784479558467865,0.037784479558467865,0.00041070086476595503
0,10,unrelated,2,10,0.2222222222222222,76,0.041376806795597076,0.041376806795597076,0.0005444316683631195
0,10,unrelated,3,10,0.3333333333333333,98,0.059801556169986725,0.059801556169986725,0.0006102199609182319
0,10,unrelated,4,10,0.4444444444444444,52,0.030053067952394485,0.030053067952394485,0.0005779436144691247
0,10,unrelated,5,10,0.5555555555555556,214,0.12966278195381165,0.12966278195381165,0.0006059008502514563
0,10,unrelated,6,10,0.6666666666666666,121,0.08317501097917557,0.08317501097917557,0.0006873967849518642
0,10,unrelated,7,10,0.7777777777777778,301,0.22751858830451965,0.22751858830451965,0.0007558757086528892
0,10,unrelated,8,10,0.8888888888888888,84,0.11050359904766083,0.11050359904766083,0.0013155190362816765
0,10,unrelated,9,10,1.0,83,0.24981951713562012,0.24981951713562012,0.003009873700429158
0,11,unrelated,0,10,0.0,50,0.02974395453929901,0.029743958085055124,0.0005948790907859803
0,11,unrelated,1,10,0.1111111111111111,92,0.036778517067432404,0.036778521451773814,0.0003997664898633957
0,11,unrelated,2,10,0.2222222222222222,76,0.043694380670785904,0.0436943858795626,0.0005749260614577093
0,11,unrelated,3,10,0.3333333333333333,98,0.057685788720846176,0.057685795597528886,0.0005886304971514916
0,11,unrelated,4,10,0.4444444444444444,52,0.028996091336011887,0.028996094792615747,0.0005576171410771516
0,11,unrelated,5,10,0.5555555555555556,214,0.12743544578552246,0.12743546097701322,0.0005954927373155256
0,11,unrelated,6,10,0.6666666666666666,121,0.08193346112966537,0.08193347089689623,0.0006771360423939287
0,11,unrelated,7,10,0.7777777777777778,301,0.22066470980644226,0.22066473611172868,0.0007331053481941603
0,11,unrelated,8,10,0.8888888888888888,84,0.11255786567926407,0.11255787909720887,0.0013399745914198103
0,11,unrelated,9,10,1.0,83,0.2605096995830536,0.2605097306382335,0.0031386710793138988
0,12,unrelated,0,10,0.0,50,0.029541412368416786,0.029541412368416786,0.0005908282473683357
0,12,unrelated,1,10,0.1111111111111111,92,0.03761385753750801,0.03761385753750801,0.00040884627758160883
0,12,unrelated,2,10,0.2222222222222222,76,0.04132278263568878,0.04132278263568878,0.0005437208241537997
0,12,unrelated,3,10,0.3333333333333333,98,0.05760055407881737,0.05760055407881737,0.0005877607559062997
0,12,unrelated,4,10,0.4444444444444444,52,0.02925318107008934,0.02925318107008934,0.000562561174424795
