example_id,rate,method,doc_token_index,relative_position,position_bin,token_id,token_text_repr,token_category,selected_times,n_queries
0,0.15,global_top,1106,0.9452991452991453,90-100%,14126,' village',latin_word,34,34
0,0.15,global_top,1107,0.9461538461538461,90-100%,607,' str',latin_word,34,34
0,0.15,global_top,1108,0.947008547008547,90-100%,718,'add',latin_word,34,34
0,0.15,global_top,1109,0.9478632478632478,90-100%,642,'les',latin_word,34,34
0,0.15,global_top,1110,0.9487179487179487,90-100%,279,' the',latin_word,34,34
0,0.15,global_top,1111,0.9495726495726495,90-100%,7148,' London',latin_word,34,34
0,0.15,global_top,1112,0.9504273504273504,90-100%,311,' to',latin_word,34,34
0,0.15,global_top,1113,0.9512820512820512,90-100%,19161,' Bath',latin_word,34,34
0,0.15,global_top,1114,0.9521367521367521,90-100%,320,' (',punct_or_symbol,34,34
0,0.15,global_top,1115,0.9529914529914529,90-100%,32,'A',latin_word,34,34
0,0.15,global_top,1116,0.9538461538461539,90-100%,19,'4',number,34,34
0,0.15,global_top,1117,0.9547008547008548,90-100%,8,')',punct_or_symbol,34,34
0,0.15,global_top,1118,0.9555555555555556,90-100%,5636,' road',latin_word,34,34
0,0.15,global_top,1119,0.9564102564102565,90-100%,1948,' between',latin_word,34,34
0,0.15,global_top,1120,0.9572649572649573,90-100%,279,' the',latin_word,34,34
0,0.15,global_top,1121,0.9581196581196582,90-100%,24824,' towns',latin_word,34,34
0,0.15,global_top,1122,0.958974358974359,90-100%,315,' of',latin_word,34,34
0,0.15,global_top,1123,0.9598290598290599,90-100%,17769,' Reading',latin_word,34,34
0,0.15,global_top,1124,0.9606837606837607,90-100%,320,' (',punct_or_symbol,34,34
0,0.15,global_top,1125,0.9615384615384616,90-100%,23,'8',number,34,34
0,0.15,global_top,1126,0.9623931623931624,90-100%,8756,' miles',latin_word,34,34
0,0.15,global_top,1127,0.9632478632478633,90-100%,8,')',punct_or_symbol,34,34
0,0.15,global_top,1128,0.9641025641025641,90-100%,323,' and',latin_word,34,34
0,0.15,global_top,1129,0.964957264957265,90-100%,1532,' New',latin_word,34,34
0,0.15,global_top,1130,0.9658119658119658,90-100%,19603,'bury',latin_word,34,34
0,0.15,global_top,1131,0.9666666666666667,90-100%,320,' (',punct_or_symbol,34,34
0,0.15,global_top,1132,0.9675213675213675,90-100%,21,'6',number,34,34
0,0.15,global_top,1133,0.9683760683760684,90-100%,8756,' miles',latin_word,34,34
0,0.15,global_top,1134,0.9692307692307692,90-100%,568,').',punct_or_symbol,34,34
0,0.15,global_top,1135,0.9700854700854701,90-100%,576,' The',latin_word,34,34
0,0.15,global_top,1136,0.9709401709401709,90-100%,14126,' village',latin_word,34,34
0,0.15,global_top,1137,0.9717948717948718,90-100%,10415,' homes',latin_word,34,34
0,0.15,global_top,1138,0.9726495726495726,90-100%,525,' are',latin_word,34,34
0,0.15,global_top,1139,0.9735042735042735,90-100%,92758,' clustered',latin_word,34,34
0,0.15,global_top,1140,0.9743589743589743,90-100%,323,' and',latin_word,34,34
0,0.15,global_top,1141,0.9752136752136752,90-100%,525,' are',latin_word,34,34
0,0.15,global_top,1142,0.976068376068376,90-100%,389,' on',latin_word,34,34
0,0.15,global_top,1143,0.9769230769230769,90-100%,279,' the',latin_word,34,34
0,0.15,global_top,1144,0.9777777777777777,90-100%,18172,' northern',latin_word,34,34
0,0.15,global_top,1145,0.9786324786324786,90-100%,3108,' side',latin_word,34,34
0,0.15,global_top,1146,0.9794871794871794,90-100%,315,' of',latin_word,34,34
0,0.15,global_top,1147,0.9803418803418803,90-100%,279,' the',latin_word,34,34
0,0.15,global_top,1148,0.9811965811965812,90-100%,14396,' plain',latin_word,34,34
0,0.15,global_top,1149,0.982051282051282,90-100%,315,' of',latin_word,34,34
0,0.15,global_top,1150,0.9829059829059829,90-100%,279,' the',latin_word,34,34
0,0.15,global_top,1151,0.9837606837606837,90-100%,10948,' River',latin_word,34,34
0,0.15,global_top,1152,0.9846153846153847,90-100%,15378,' Kenn',latin_word,34,34
0,0.15,global_top,1153,0.9854700854700855,90-100%,295,'et',latin_word,34,34
0,0.15,global_top,1154,0.9863247863247864,90-100%,11,"','",punct_or_symbol,34,34
0,0.15,global_top,1155,0.9871794871794872,90-100%,448,' with',latin_word,34,34
0,0.15,global_top,1156,0.9880341880341881,90-100%,279,' the',latin_word,34,34
0,0.15,global_top,1157,0.9888888888888889,90-100%,90275,' Berkshire',latin_word,34,34
0,0.15,global_top,1158,0.9897435897435898,90-100%,84678,' Downs',latin_word,34,34
0,0.15,global_top,1159,0.9905982905982906,90-100%,16062,' rising',latin_word,34,34
0,0.15,global_top,1160,0.9914529914529915,90-100%,1526,' through',latin_word,34,34
0,0.15,global_top,1161,0.9923076923076923,90-100%,279,' the',latin_word,34,34
0,0.15,global_top,1162,0.9931623931623932,90-100%,5043,' fields',latin_word,34,34
0,0.15,global_top,1163,0.994017094017094,90-100%,323,' and',latin_word,34,34
0,0.15,global_top,1164,0.9948717948717949,90-100%,32533,' woods',latin_word,34,34
0,0.15,global_top,1165,0.9957264957264957,90-100%,315,' of',latin_word,34,34
0,0.15,global_top,1166,0.9965811965811966,90-100%,279,' the',latin_word,34,34
0,0.15,global_top,1167,0.9974358974358974,90-100%,14126,' village',latin_word,34,34
0,0.15,global_top,1168,0.9982905982905983,90-100%,10200,' north',latin_word,34,34
0,0.15,global_top,1169,0.9991452991452991,90-100%,4014,'wards',latin_word,34,34
0,0.15,global_top,1170,1.0,90-100%,624,'.\n',punct_or_symbol,34,34
0,0.15,per_doc_top,5,0.004273504273504274,00-10%,220,' ',space,34,34
0,0.15,per_doc_top,11,0.009401709401709401,00-10%,279,' the',latin_word,34,34
0,0.15,per_doc_top,67,0.05726495726495726,00-10%,279,' the',latin_word,34,34
0,0.15,per_doc_top,141,0.12051282051282051,10-20%,624,'.\n',punct_or_symbol,34,34
0,0.15,per_doc_top,166,0.14188034188034188,10-20%,279,' the',latin_word,34,34
0,0.15,per_doc_top,180,0.15384615384615385,10-20%,13,'.',punct_or_symbol,34,34
0,0.15,per_doc_top,186,0.15897435897435896,10-20%,279,' the',latin_word,34,34
0,0.15,per_doc_top,211,0.18034188034188034,10-20%,279,' the',latin_word,34,34
0,0.15,per_doc_top,217,0.18547008547008548,10-20%,624,'.\n',punct_or_symbol,34,34
0,0.15,per_doc_top,248,0.21196581196581196,20-30%,13,'.',punct_or_symbol,34,34
0,0.15,per_doc_top,253,0.21623931623931625,20-30%,279,' the',latin_word,34,34
0,0.15,per_doc_top,264,0.22564102564102564,20-30%,279,' the',latin_word,34,34
0,0.15,per_doc_top,279,0.23846153846153847,20-30%,3263,"'"".'",punct_or_symbol,34,34
0,0.15,per_doc_top,283,0.24188034188034188,20-30%,279,' the',latin_word,34,34
0,0.15,per_doc_top,292,0.24957264957264957,20-30%,323,' and',latin_word,34,34
0,0.15,per_doc_top,295,0.25213675213675213,20-30%,279,' the',latin_word,34,34
0,0.15,per_doc_top,307,0.2623931623931624,20-30%,13,'.',punct_or_symbol,34,34
0,0.15,per_doc_top,349,0.2982905982905983,20-30%,13,'.',punct_or_symbol,34,34
0,0.15,per_doc_top,355,0.3034188034188034,30-40%,279,' the',latin_word,34,34
0,0.15,per_doc_top,363,0.31025641025641026,30-40%,279,' the',latin_word,34,34
0,0.15,per_doc_top,367,0.31367521367521367,30-40%,624,'.\n',punct_or_symbol,34,34
0,0.15,per_doc_top,382,0.3264957264957265,30-40%,279,' the',latin_word,34,34
0,0.15,per_doc_top,423,0.36153846153846153,30-40%,279,' the',latin_word,34,34
0,0.15,per_doc_top,431,0.3683760683760684,30-40%,279,' the',latin_word,34,34
0,0.15,per_doc_top,433,0.3700854700854701,30-40%,13,'.',punct_or_symbol,34,34
0,0.15,per_doc_top,440,0.37606837606837606,30-40%,323,' and',latin_word,34,34
0,0.15,per_doc_top,449,0.3837606837606838,30-40%,13,'.',punct_or_symbol,34,34
0,0.15,per_doc_top,492,0.4205128205128205,40-50%,13,'.',punct_or_symbol,34,34
0,0.15,per_doc_top,507,0.43333333333333335,40-50%,11,"','",punct_or_symbol,34,34
0,0.15,per_doc_top,526,0.4495726495726496,40-50%,13,'.',punct_or_symbol,34,34
