selector,rate,example_id,sub_question_id,context_len,system_len,doc_len,query_len,selected_tokens,query_system,query_system_last_layer,query_selected_doc,query_selected_doc_last_layer,query_unselected_doc,query_unselected_doc_last_layer,query_query_or_current,query_query_or_current_last_layer,query_doc_total,query_doc_total_last_layer,query_system_first16,query_system_first16_last_layer,query_main_sum,decode_system,decode_system_last_layer,decode_selected_doc,decode_selected_doc_last_layer,decode_unselected_doc,decode_unselected_doc_last_layer,decode_query_or_current,decode_query_or_current_last_layer,decode_doc_total,decode_doc_total_last_layer,decode_system_first16,decode_system_first16_last_layer,decode_main_sum
random,0.8,0,0,2105,792,1313,22,1050,0.4297615720964761,0.08674342910964768,0.2450155504116985,0.24131891324922636,0.03707857062290241,0.04376073626728801,0.2881443173190879,0.6281769492409446,0.28209411810413143,0.2850796588055499,0.2925486952232297,0.040287321264093574,1.000000010450165,0.3455575832298822,0.1027971761567252,0.22409843911930002,0.4281458173479353,0.04622531606226551,0.18476779120309011,0.38411866341318396,0.28428918974740164,0.2703237515323016,0.6129136085510254,0.256024584297699,0.06161116276468549,1.0000000018246318
random,0.8,1,0,2087,792,1295,20,1036,0.43188312053680417,0.10889573778424944,0.24772098210393162,0.25632648468017577,0.04368800952726481,0.06337782996041434,0.27670789519134836,0.571399906703404,0.29140899278679677,0.31970432826450895,0.29414117634296416,0.044355947630746025,1.000000007359349,0.39780344331294903,0.01501438979591642,0.19342806844078766,0.2610963412693569,0.05549664753584229,0.02669700128691537,0.35327183713718335,0.6971922601972308,0.24892470909624684,0.2877932957240513,0.2950484512316785,0.0032352451235055923,0.9999999964267623
random,0.8,2,0,2233,792,1441,16,1152,0.45219872253281723,0.1559570857456752,0.24272012893034492,0.2559842722756522,0.03704143543632664,0.05676191193716867,0.2680396997198767,0.5312967300415039,0.2797615710569887,0.31274618421282085,0.302050263459357,0.10402616432734899,0.9999999866193654,0.35959861260287607,0.2320103985922677,0.21160953476720926,0.42854608808244976,0.039156564682417995,0.047148283038820536,0.3896352885937205,0.29229514939444406,0.2507661015403514,0.4756944179534912,0.2738351485767991,0.16825710024152482,1.0000000006462237
random,0.8,3,0,1946,792,1154,21,923,0.44427113491314135,0.11381637158037043,0.23797385430776224,0.2393798828125,0.0459504977259622,0.08911888615614703,0.2718045083612232,0.5576848140379198,0.2839243502380549,0.3284987884313882,0.2987521236184966,0.05642459506080264,0.9999999953080889,0.31991913184827686,0.1824040072304862,0.22056264445489765,0.236647435597011,0.0645470231087232,0.16088167258671351,0.3949712052637217,0.42006690161568777,0.2851096589346322,0.397529091153826,0.2423479736269433,0.14335853712899344,1.0000000046756194
random,0.8,3,1,2145,792,1353,22,1082,0.422136445434726,0.09753883039796507,0.2673067020352563,0.3342393652185217,0.041921506924399214,0.075083707834219,0.26863533623364505,0.49313810274198455,0.30922821059076594,0.40932306066735996,0.29228270172741067,0.0461614534452364,0.9999999906280266,0.3433808143041573,0.21994938169206893,0.23647118253367289,0.2743006263460432,0.04758502010788237,0.15744750840323313,0.37256298715970954,0.3483025005885533,0.28405620005665994,0.43174818583897184,0.2677638178824314,0.1718416724886213,1.000000004105422
random,0.8,4,0,1970,792,1178,27,942,0.4212702111772579,0.1227376524102751,0.24477457801951488,0.23832191992058324,0.047396151612224845,0.07269812891722988,0.2865590604074238,0.5662422785683284,0.29217073256016135,0.3110200589296048,0.29319328614823853,0.0615953112405444,1.0000000012164214,0.3270095796609412,0.2642223834991455,0.24943267569249988,0.22707414627075195,0.07025602862847095,0.1796191590172904,0.353301713053061,0.32908432824271067,0.3196887091106299,0.4066932882581438,0.25074307633354803,0.12943436418260848,0.999999997034973
random,0.8,4,1,2867,792,2075,19,1660,0.4083144449649897,0.07090971523657777,0.26717184488806633,0.2627453051115337,0.04362785496081752,0.07239632140424915,0.2808858567226586,0.5939486510771558,0.3107996970319082,0.3351416336862664,0.2837020658220692,0.03336306980678013,1.0000000015365322,0.30023547946190343,0.0012148278100149973,0.2782226542429048,0.16139960289001465,0.054886573469456364,0.1819499901362828,0.366655285869326,0.6554355621337891,0.3331092279784533,0.3433495930262974,0.23967600623929725,0.00035964155436626503,0.9999999930435906
random,0.8,6,0,2282,792,1490,16,1192,0.4496169111558371,0.12644467183521815,0.24448884719488576,0.27165089334760395,0.03981811408789789,0.042038142681121826,0.26607612353198384,0.5598662921360561,0.2843069637916526,0.3136890615735735,0.30205286725671315,0.07634404727390834,0.9999999959706046,0.3245113905595272,0.128332257270813,0.25947000207949655,0.2947969436645508,0.04926992599301193,0.11761009693145752,0.3667486772245289,0.4592607021331787,0.30873992674204764,0.4124070576259068,0.2565049778537026,0.03851387330463955,0.9999999958565646
random,0.8,7,0,2379,792,1587,22,1269,0.4213578187910656,0.09331446808653993,0.2356666733471052,0.23362538721654322,0.04838684961503865,0.10635730198451451,0.29458866004377654,0.5667028550977831,0.2840535229344979,0.3399827139718192,0.27856822082416915,0.03839972112085912,1.0000000017969861,0.32819739196981695,0.22873388017926896,0.22601876423066974,0.18540525436401367,0.0546899956784078,0.1087156789643424,0.3910938507440139,0.4771451950073242,0.28070876215185436,0.2941209248134068,0.24922276233151866,0.20896036284310476,1.0000000026229086
random,0.8,7,1,2258,792,1466,23,1172,0.4149004678971596,0.11578335969344429,0.23408965696353454,0.22809451559315558,0.038427785845488276,0.05534355684837199,0.3125820923613147,0.6007786152525718,0.27251744629962305,0.2834380724415276,0.2836321021802889,0.0691300386227436,1.0000000030674971,0.3082773767563761,0.15935778617858887,0.2642706377165658,0.25134752477918354,0.0397897022491207,0.0765829086303711,0.38766228848574114,0.512711763381958,0.3040603332373561,0.3279304504394531,0.23302988724174853,0.10979440382548741,1.0000000052078037
