selector,rate,n,query_system,query_selected_doc,query_unselected_doc,query_query_or_current,query_doc_total,query_system_first16,query_main_sum,decode_system,decode_selected_doc,decode_unselected_doc,decode_query_or_current,decode_doc_total,decode_system_first16,decode_main_sum,query_selected_doc_ratio_in_doc,decode_selected_doc_ratio_in_doc
draft,0.05,109,0.44370929863243336,0.07775637757339678,0.17521014895196496,0.3033241751935171,0.2529665272035677,0.29813375188881547,1.0000000003513123,0.36693880786465216,0.0781677664424373,0.16481520614484418,0.39007822124392444,0.24298297225636636,0.2744164607784638,1.0000000016958586,0.3073781279798513,0.3217005937352848
draft,0.15,109,0.44267102225387056,0.14574454454362687,0.11791839049328619,0.2936660439301956,0.2636629351843627,0.29864150400682227,1.0000000012209789,0.3594101397190923,0.14731429288632153,0.11011390563107892,0.3831616629740203,0.257428198185134,0.2728866364223426,1.0000000012105124,0.5527684217037067,0.5722539097305023
draft,0.3,109,0.4414119242998189,0.19103508842944672,0.07992881558422282,0.2876241728542068,0.2709639042096029,0.29948627853750415,1.0000000011676948,0.3554012795765121,0.19347838979326723,0.07600670877566494,0.3751136218451355,0.2694850979302065,0.27204852012966574,0.99999999999058,0.7050204306241188,0.7179558026743872
draft,0.5,109,0.43855589970090936,0.22971064066539076,0.04728748741720691,0.2844459739416896,0.27699812864497697,0.2986505267853999,1.0000000017251962,0.3524632114199516,0.2288838726215718,0.045757717759838605,0.37289519758957457,0.2746415902804488,0.27005227276259625,0.9999999993909368,0.8292858936957165,0.8333911567721708
draft,0.8,109,0.4360286206122075,0.2646772934862718,0.01613392461110676,0.2831601635121087,0.280811218470002,0.29755023619800447,1.0000000022216946,0.35126348625121323,0.2636460115098369,0.015379593469692787,0.36971090851322663,0.2790256047869326,0.2696820187198306,0.9999999997439696,0.9425452976144051,0.9448810682129343
fusionrag_qk,0.05,109,0.45879920107927885,0.04757922027647386,0.18910379000970814,0.30451778973387034,0.23668301030292438,0.3026987972209955,1.000000001099331,0.37060326039812047,0.04028600793311328,0.19334212515591748,0.39576860667781594,0.2336281329404548,0.2744775732435466,1.000000000164967,0.20102507660173186,0.17243645885481199
fusionrag_qk,0.15,109,0.45500260452446417,0.10538624224184377,0.1437041977854923,0.2959069566479109,0.2490904406406577,0.30287312389409354,1.0000000011997108,0.3617739457709611,0.09732631896212703,0.15320497322611357,0.38769476221582483,0.25053129214469116,0.27129931250098854,1.000000000175026,0.4230842499246121,0.38847969101567337
fusionrag_qk,0.3,109,0.4507949254811041,0.15412602336079498,0.10446118638617727,0.29061786615096846,0.25858720976963334,0.3015063315538412,1.000000001379045,0.35669889733421084,0.14547094425259402,0.1162467356347506,0.3815834236388303,0.2617176795645815,0.26911841653763136,1.000000000860386,0.5960311165355033,0.5558315528955223
fusionrag_qk,0.5,109,0.44699647939790504,0.19684275513056562,0.06991279856120586,0.2862479687628772,0.26675555404034584,0.2999024886386447,1.000000001852554,0.3526168210050482,0.1859556896538115,0.08548986952418783,0.37593761958046534,0.27144555850597923,0.2674596701989475,0.9999999997635127,0.7379143644776515,0.6850570356623293
fusionrag_qk,0.8,109,0.44310255183129316,0.23851568059369938,0.03503538445426069,0.28334638377743854,0.2735510651624297,0.2982402908400429,1.0000000006566918,0.35623981436262964,0.22386743374182116,0.04996243763348282,0.3699303151399003,0.273829870988252,0.2698361942607329,1.0000000008778342,0.8719237867053197,0.8175420487687614
random,0.05,109,0.4489561467559076,0.02961740733857271,0.2157849597841463,0.30564148740401004,0.2454023674048664,0.29880278524276044,1.0000000012826369,0.36951196385288837,0.02690733439186197,0.2130983248143757,0.39048237709561834,0.24000565879614666,0.2721235741414684,1.0000000001547444,0.1206891671493524,0.11211124990480423
random,0.15,109,0.443176339336771,0.06861084054530875,0.19011387954298412,0.29809894184917446,0.2587247198732052,0.2969877334728954,1.000000001274239,0.36425987522122716,0.06145668241399048,0.19106786077965218,0.3832155815326549,0.2525245425666434,0.26902258571123244,0.9999999999475249,0.2651885779562667,0.24336914657620468
random,0.3,109,0.4381552983750726,0.11659810061618107,0.1541947930526662,0.2910518094740936,0.2707928936584977,0.2956201005350125,1.0000000015180135,0.3595160892178173,0.10489753617974307,0.15728621887825356,0.37830015621204716,0.26218375512495556,0.2674274539154227,1.000000000487861,0.4305803562305637,0.4000916690271271
random,0.5,109,0.43469015463566985,0.17204687209900335,0.10758426794921493,0.2856787072984511,0.2796311402361198,0.29465903391854736,1.000000001982339,0.3523386050294804,0.1618582416629913,0.11503029906202615,0.37077285491377865,0.2768885401935307,0.2657969872739445,1.000000000668276,0.6152636360661671,0.5845609989848651
random,0.8,109,0.4328661326967316,0.24369444131534496,0.04172378726319538,0.2817156384554681,0.285418228732185,0.2943395059542998,0.9999999997307399,0.34800766922210774,0.23810932525667092,0.047491678926309774,0.36639132705844757,0.28560100345297096,0.2651039672596048,1.0000000004635363,0.8538152675034976,0.8337131956046494
