example_id,sub_q_idx,doc_len,old10_size,teacher_size,teacher_overlap_old10,residual_size
156,0,1071,114,192,114,78
156,1,1539,188,290,188,102
158,0,1429,78,177,78,99
158,1,1151,182,266,182,84
160,0,1118,95,176,95,81
160,1,2010,224,356,224,132
161,0,1183,117,201,117,84
161,1,1851,177,299,177,122
162,0,1433,136,239,136,103
163,0,1311,55,149,55,94
163,1,1926,269,395,269,126
164,0,1712,138,253,138,115
164,1,2556,243,402,243,159
165,0,1711,182,301,182,119
166,0,1348,81,177,81,96
166,1,1615,247,357,247,110
167,0,1275,82,173,82,91
167,1,1273,233,321,233,88
169,0,1118,121,202,121,81
169,1,1592,175,283,175,108
173,0,1548,76,181,76,105
173,1,1482,190,296,190,106
174,0,940,114,185,114,71
174,1,1257,132,222,132,90
176,0,1202,122,209,122,87
178,0,1154,58,143,58,85
178,1,969,167,241,167,74
179,0,1094,55,136,55,81
179,1,1173,180,267,180,87
180,0,1575,92,194,92,102
180,1,1370,202,302,202,100
183,0,1621,99,205,99,106
183,1,1626,205,312,205,107
186,0,1183,96,180,96,84
186,1,1723,188,303,188,115
188,0,891,59,130,59,71
188,1,1219,156,248,156,92
191,0,1102,83,163,83,80
191,1,1561,188,292,188,104
