load_kv,kind,layer,records,cosine,relative_l2,oracle_alpha,oracle_relative_l2,sparse_to_dense_norm
raw,K,0,5,1.0000001267922682,0.0,1.0,0.0,1.0
raw,K,1,5,0.9202197099656434,0.43057066060805693,0.836839415279322,0.39140220412096194,1.0996371504065572
raw,K,10,5,0.5553850629155429,1.4057292863094617,0.32887511015429644,0.8315933091904352,1.6887415488967106
raw,K,11,5,0.5321900553335326,1.4633386216012547,0.30838423884723426,0.8466249139991638,1.725736883710085
raw,K,12,5,0.5601916381335001,1.4569557922517329,0.3185202884797459,0.8283630415254568,1.758731416473402
raw,K,13,5,0.5722364360841772,1.310121667488451,0.3590119988669008,0.820088691068033,1.5939200859309626
raw,K,14,5,0.5318191067794601,1.5403475968983837,0.2924546132008721,0.8468579796307626,1.8184671493425228
raw,K,15,5,0.5427383675840725,1.4648794462700998,0.31139879180735985,0.8399018182812658,1.7429045386914213
raw,K,16,5,0.5338503772406299,1.4619209125901587,0.30922744916606293,0.8455789583001916,1.7264003524924425
raw,K,17,5,0.5357460703360826,1.4019625702904062,0.32373478195042765,0.8443791495053897,1.6548919059865477
raw,K,18,5,0.580741856436638,1.2194765161945889,0.39010441101449117,0.8140877693360387,1.488683132103998
raw,K,19,5,0.6159629804496319,1.0955546710726136,0.4472268887711319,0.7877750990705447,1.3772941563110053
raw,K,2,5,0.930848951709294,0.3712069555953349,0.9344501274176954,0.36540419962242954,0.996146208767339
raw,K,20,5,0.6255035520863611,1.058066712961983,0.4667377900878971,0.7802213188111082,1.3401605041849403
raw,K,21,5,0.640373748072884,1.0342781754650021,0.48038626240049015,0.7680634497091281,1.333039260683552
raw,K,22,5,0.6473839020898008,1.0244573268406674,0.4860514647481808,0.7621640789980746,1.3319245986126285
raw,K,23,5,0.6502342924892563,1.004161912452722,0.49756424055703724,0.7597337460393585,1.3068348556586393
raw,K,24,5,0.6433297995156879,1.0199501446393282,0.4883939217594854,0.7655891646667323,1.317235474999425
raw,K,25,5,0.6534656670561494,1.0562444735238057,0.4700812154557779,0.7569561559158242,1.3901122733070008
raw,K,26,5,0.6405575747061657,1.0411711744856642,0.476731814087112,0.767910146753222,1.3436434401441442
raw,K,27,5,0.6492276545479627,1.0498121608435163,0.4729174272292046,0.7605941444490295,1.372813978016732
raw,K,28,5,0.5901352475380909,1.182758562505555,0.4057265270251159,0.8073043971223967,1.4545148227430527
raw,K,29,5,0.5670941240740256,1.2631808105185978,0.3719143602562751,0.8236529939487343,1.524797600402571
raw,K,3,5,0.9265798737849616,0.37663496653764694,0.9790565203171244,0.37609804239937816,0.9464007997054499
raw,K,30,5,0.5336968367818908,1.378850590027296,0.328884786190723,0.845675875503732,1.6227471114227692
raw,K,31,5,0.4999472036758888,1.4306887524729301,0.3050852439771173,0.8660558836106707,1.6387131581932128
raw,K,32,5,0.4560458885838251,1.6263692941004741,0.25094639262531965,0.8899562615689545,1.817304021838374
raw,K,33,5,0.43558709552590735,1.6867796611245405,0.2339229928839689,0.9001465892904911,1.8620961118686117
raw,K,34,5,0.4408961563391143,1.701393130301154,0.23374025682677352,0.8975581203049724,1.8862653884472518
raw,K,35,5,0.44910116420524926,1.610824174133685,0.25097798585616377,0.8934809143509949,1.7894046072336816
raw,K,36,5,0.44215179072075145,1.6498583018578092,0.24202455253078367,0.8969402399058886,1.826888165259651
raw,K,37,5,0.4488425769273494,1.6380773590891966,0.2463875153208117,0.8936108443484873,1.8216936695957535
raw,K,38,5,0.43775753640624265,1.6978699694352388,0.2330952433591645,0.8990930648823497,1.8780200320592746
raw,K,39,5,0.4137961824777789,1.7112542621056082,0.22213812731140534,0.9103695509883977,1.8627877505138812
raw,K,4,5,0.942019135260618,0.33560870637233087,1.0,0.3355888038567307,0.9375585892005773
raw,K,40,5,0.42896390311789767,1.685175045916435,0.23167633238377952,0.9033216314369201,1.8515654952932556
raw,K,41,5,0.4412197717887024,1.6734275625220145,0.23802567392406906,0.8973990823389142,1.8536646258144949
raw,K,42,5,0.4543446244501934,1.5741715945480266,0.2593002089678634,0.8908259999759844,1.7521953655907123
raw,K,43,5,0.4716275051831644,1.49042511560849,0.2818717320981903,0.8817978772682004,1.6731990174129008
raw,K,44,5,0.4511557689188418,1.5013996497037565,0.2720240032173617,0.8924452208238042,1.6585145560053545
raw,K,45,5,0.4461350244254526,1.5099596907040156,0.26838858422635736,0.8949656641351671,1.6622727293392812
raw,K,46,5,0.4552401293541352,1.4522131356990238,0.2840859988313082,0.8903687015083304,1.6024729526514232
raw,K,47,5,0.47608191692027885,1.3904886847361155,0.3065253789051882,0.8794009372189188,1.553156605239974
raw,K,48,5,0.4767008706949488,1.380408741436947,0.30934327693246755,0.879065572001701,1.5410093130907672
raw,K,49,5,0.4523651561493512,1.3695515369302729,0.3032480137836894,0.8918328125282077,1.491733286246778
raw,K,5,5,0.9268391885488898,0.38043106535003307,0.9380725294241913,0.37545854440941373,0.9880250827916294
raw,K,50,5,0.47979696384926185,1.369068139319313,0.3134364053392126,0.8773795492721667,1.53076335638168
raw,K,51,5,0.48357025482819416,1.3446377736459032,0.3214610580022767,0.8753055515906405,1.5042887553265296
raw,K,52,5,0.49430001417016683,1.3157694919396026,0.3335346208234964,0.8692913757718829,1.482005115240334
raw,K,53,5,0.48631155747683735,1.336508264186273,0.32472465798422173,0.8737854822921086,1.4976120399839394
raw,K,54,5,0.48296558540640394,1.3195722883564822,0.3285177743193275,0.8756393340371649,1.4701353264890602
raw,K,55,5,0.46956968429804763,1.3264943836846863,0.3217224384283422,0.8828954137315652,1.459549065312197
raw,K,56,5,0.47880186790646695,1.310639303996627,0.32976660367551974,0.8779229871060891,1.4519416537934002
raw,K,57,5,0.4796838293255766,1.2843441245662874,0.33838653446393957,0.8774414076640965,1.4175618131066456
raw,K,58,5,0.47699988925447395,1.2975464913940213,0.33320864170212156,0.8789033539879226,1.4315351691295493
raw,K,59,5,0.47919856032169456,1.2869978513720204,0.33735414516306966,0.8777065225834974,1.420461456283753
raw,K,6,5,0.9304682147923838,0.37108370940359614,0.9405086655637479,0.36637262624420247,0.9893244462927456
raw,K,60,5,0.4780839364463718,1.3464175286622924,0.3190278854916225,0.8783141520617447,1.4985647280006373
raw,K,61,5,0.4614987939181658,1.296933261463555,0.3278761655846039,0.8871408361765782,1.4075399262258432
raw,K,62,5,0.45500509416319534,1.359718119045747,0.30690773944557326,0.8904888344530445,1.4825468233064405
raw,K,63,5,0.4653164492255416,1.3903051778425655,0.30265728832029987,0.8851443961750727,1.5374367880184692
raw,K,7,5,0.9358234302490709,0.3647090196198004,0.9090536510827666,0.3524691580789193,1.0294479639726644
raw,K,8,5,0.6731365398617392,1.1581654618644124,0.43027081704926295,0.7395182206700286,1.5644485128645615
raw,K,9,5,0.6479568759152835,1.1926603638496518,0.41384342222862747,0.7616770227295202,1.5657053878636258
raw,K,ALL,320,0.49818222756284625,1.3742580506309383,0.31845657237018965,0.8670723546166839,1.5643647228097857
raw,V,0,5,nan,nan,nan,nan,nan
raw,V,1,5,0.9493518818864743,0.360916851579723,0.8424535558250256,0.3142149015540315,1.1268892811031723
raw,V,10,5,0.6252806414289046,1.2237775379816882,0.3987953513262435,0.780399974022461,1.56792359627427
raw,V,11,5,0.5771552487268853,1.4113073291929354,0.3339668159755392,0.8166344462897748,1.7281814273701912
raw,V,12,5,0.5785730567984861,1.4409744751490339,0.3275292956531627,0.8156305646227682,1.7664772723450253
raw,V,13,5,0.6055247719789618,1.3330651938998788,0.36151656422205325,0.7958264575394729,1.6749571994909533
raw,V,14,5,0.58671348394792,1.353728167951354,0.35100823779637125,0.8097945960264824,1.6715091578229209
raw,V,15,5,0.595726920782791,1.2869545664936413,0.3720347257333516,0.8031870491078988,1.6012669774535138
raw,V,16,5,0.5904119123555363,1.283639198421355,0.3716665527991216,0.8071020838460762,1.5885527172380296
raw,V,17,5,0.6014338652489145,1.215939721584076,0.3961861127004338,0.7989225905754265,1.5180589272791436
raw,V,18,5,0.6422554782306387,1.0736749554315432,0.4607014187404016,0.766490639657611,1.3940818328422382
raw,V,19,5,0.6444684826274854,1.0422434230896653,0.476432534337875,0.76463087493236,1.3526962081276404
raw,V,2,5,0.8869357025783905,0.4679884417331073,0.921848809472003,0.46189290911614655,0.9621270792619353
raw,V,20,5,0.677241311943549,0.9768476116479363,0.5131442401520412,0.7357609702865331,1.3197874183346323
raw,V,21,5,0.6394679563725465,1.0837845550793506,0.45567911473250394,0.7688177500374967,1.4033295266295707
raw,V,22,5,0.661526119316233,1.0140466827731467,0.4921764208753039,0.7499221249319193,1.3440833230892117
raw,V,23,5,0.6471222097850726,1.0242772007112484,0.48613920916108655,0.7623862837190111,1.331145889058792
raw,V,24,5,0.6148520107679527,1.1155415587352648,0.4379893399713735,0.7886425076386673,1.4038058798603152
raw,V,25,5,0.6040432120056709,1.1360762698001097,0.42728470494655896,0.7969515656737691,1.4136785263147191
raw,V,26,5,0.5943641371688205,1.1785084984791734,0.408264928407832,0.8041960410543958,1.455829525907958
raw,V,27,5,0.5832962502782867,1.2203913005609102,0.39040071099269175,0.812259493272495,1.494096280703766
raw,V,28,5,0.5752964455010662,1.22758432261673,0.38593304586871835,0.8179449857990688,1.4906638642619967
raw,V,29,5,0.56086333354153,1.2557785090983502,0.3726505227800019,0.8279084013879086,1.5050651998484958
raw,V,3,5,0.8975707909053514,0.4487824484816382,0.914605934494462,0.4408703611193906,0.9813743351681546
raw,V,30,5,0.5498668126034536,1.3010107178028332,0.3553626926370732,0.8352523501297786,1.5473397292298905
raw,V,31,5,0.49906262058819345,1.4722109183082648,0.2954428101323186,0.8665659240540473,1.6892021178808871
raw,V,32,5,0.46546552539596137,1.5909442091426393,0.2604032781537214,0.8850660114747723,1.787479515220187
raw,V,33,5,0.47296482202360207,1.5485881047714272,0.27081404107257495,0.881081311303436,1.746456055787939
raw,V,34,5,0.46182846075606565,1.575520697801022,0.26181510838781663,0.8869692626217005,1.7639488553577927
raw,V,35,5,0.4629726285991598,1.6435958983835048,0.2506527269581788,0.8863725769494364,1.847067990113694
raw,V,36,5,0.47794050982851966,1.5522543026713003,0.27190604816784597,0.8783922068557158,1.7577413707748413
raw,V,37,5,0.46448484348561053,1.5970322869908533,0.25898538466644583,0.8855810692263854,1.7934789798421749
raw,V,38,5,0.4569234125623727,1.595603989352618,0.2564715113721279,0.8895060399189854,1.7815757006219632
raw,V,39,5,0.4424397344931434,1.6104695364215564,0.24854773850599457,0.8967982389264805,1.780099618498329
raw,V,4,5,0.9206423811238831,0.39416900942143424,0.9444270743832184,0.39040697493583126,0.9748157439526303
