load_kv,record,example,layer,kind,selected_tokens,sampled_elements,cosine,relative_l2,oracle_alpha,dense_delta_norm,sparse_delta_norm,dot,dense_sq,sparse_sq,error_sq
raw,0,0,0,K,2489,32768,1.000000238418579,0.0,1.0,1.0348514318466187,1.0348514318466187,1.0709177255630493,1.0709174871444702,1.0709174871444702,0.0
raw,0,0,0,V,2489,32768,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw,1,0,1,K,2489,32768,0.8718810081481934,0.5570982694625854,0.7665172815322876,12.064685821533203,13.723071098327637,144.3525848388672,145.556640625,188.3226776123047,45.17475891113281
raw,1,0,1,V,2489,32768,0.9113283157348633,0.45806705951690674,0.8194200992584229,0.7072556018829346,0.7865831255912781,0.5069859027862549,0.5002104640007019,0.6187130212783813,0.10495699942111969
raw,2,0,2,K,2489,32768,0.8626568913459778,0.5077425241470337,0.9510431885719299,35.06072998046875,31.80232048034668,961.873291015625,1229.2547607421875,1011.3875732421875,316.905517578125
raw,2,0,2,V,2489,32768,0.8105096220970154,0.5858737230300903,1.0,2.9643476009368896,2.364703416824341,5.681512832641602,8.78735637664795,5.591822147369385,3.016268014907837
raw,3,0,3,K,2489,32768,0.8873444199562073,0.4613347351551056,1.0,42.522247314453125,37.127986907958984,1400.90869140625,1808.1414794921875,1378.4874267578125,384.82708740234375
raw,3,0,3,V,2489,32768,0.8304959535598755,0.5576367974281311,0.9696987867355347,3.141857147216797,2.6908352375030518,7.021195411682129,9.87126636505127,7.240594387054443,3.06957745552063
raw,4,0,4,K,2489,32768,0.9025248289108276,0.43160513043403625,1.0,44.62183380126953,38.98976516723633,1570.2080078125,1991.1080322265625,1520.2017822265625,370.9101257324219
raw,4,0,4,V,2489,32768,0.86264568567276,0.5060387849807739,0.9831966757774353,3.4302501678466797,3.0096628665924072,8.905864715576172,11.766615867614746,9.058070182800293,3.0131595134735107
raw,5,0,5,K,2489,32768,0.8675673604011536,0.4992419481277466,0.9520700573921204,42.07164764404297,38.337501525878906,1399.318359375,1770.0235595703125,1469.7640380859375,441.1661376953125
raw,5,0,5,V,2489,32768,0.8464673161506653,0.5377389788627625,0.9183920621871948,3.293208360671997,3.0352978706359863,8.461175918579102,10.845221519470215,9.213032722473145,3.1360528469085693
raw,6,0,6,K,2489,32768,0.8814780712127686,0.4724274277687073,0.9848730564117432,59.83335494995117,53.55186462402344,2824.421142578125,3580.0302734375,2867.80224609375,799.0203247070312
raw,6,0,6,V,2489,32768,0.8425504565238953,0.5417513251304626,0.9355154037475586,3.965351104736328,3.5713024139404297,11.931751251220703,15.72400951385498,12.75420093536377,4.614930152893066
raw,7,0,7,K,2489,32768,0.8658097386360168,0.5056297779083252,0.9225733876228333,38.66904067993164,36.289833068847656,1214.98486328125,1495.294677734375,1316.9520263671875,382.2900695800781
raw,7,0,7,V,2489,32768,0.8321782946586609,0.5591444969177246,0.920594334602356,6.7912797927856445,6.139029502868652,34.695068359375,46.121482849121094,37.68768310546875,14.419610023498535
raw,8,0,8,K,2489,32768,0.5394756197929382,1.4002891778945923,0.32531312108039856,40.24788284301758,66.7441635131836,1449.199462890625,1619.89208984375,4454.783203125,3176.316162109375
raw,8,0,8,V,2489,32768,0.5400465726852417,1.301687479019165,0.35227271914482117,7.36611270904541,11.292511940002441,44.9221076965332,54.25961685180664,127.52082824707031,91.93751525878906
raw,9,0,9,K,2489,32768,0.5006096959114075,1.6298511028289795,0.2660616636276245,43.2006950378418,81.28448486328125,1757.9140625,1866.300048828125,6607.16748046875,4957.69921875
raw,9,0,9,V,2489,32768,0.47428151965141296,1.5918431282043457,0.26341453194618225,5.809321403503418,10.45976448059082,28.819305419921875,33.74821472167969,109.40666961669922,85.51739501953125
raw,10,0,10,K,2489,32768,0.4187273383140564,1.8072807788848877,0.21134145557880402,49.87535858154297,98.81722259521484,2063.71630859375,2487.551513671875,9764.84375,8125.05029296875
raw,10,0,10,V,2489,32768,0.46524181962013245,1.642722487449646,0.2516094148159027,8.25892162322998,15.271271705627441,58.67826843261719,68.20978546142578,233.2117462158203,184.06797790527344
raw,11,0,11,K,2489,32768,0.41770079731941223,1.8961865901947021,0.20062240958213806,52.57210922241211,109.45643615722656,2403.59912109375,2763.82666015625,11980.7109375,9937.4658203125
raw,11,0,11,V,2489,32768,0.46300312876701355,1.7959226369857788,0.22864873707294464,9.68642520904541,19.61456298828125,87.96827697753906,93.82683563232422,384.7310791015625,302.6253356933594
raw,12,0,12,K,2489,32768,0.42548009753227234,1.899410605430603,0.20305027067661285,56.478515625,118.34745788574219,2843.94677734375,3189.82275390625,14006.12109375,11508.208984375
raw,12,0,12,V,2489,32768,0.4470745325088501,1.844112515449524,0.21705679595470428,8.60817813873291,17.730369567871094,68.23527526855469,74.1007308959961,314.3659973144531,251.99990844726562
raw,13,0,13,K,2489,32768,0.47082898020744324,1.6249326467514038,0.25652608275413513,62.74958419799805,115.17083740234375,3402.64453125,3937.51025390625,13264.322265625,10396.7109375
raw,13,0,13,V,2489,32768,0.5131443738937378,1.6289753913879395,0.2704109251499176,13.645635604858398,25.894594192504883,181.3186492919922,186.203369140625,670.530029296875,494.1044921875
raw,14,0,14,K,2489,32768,0.436941534280777,1.8920847177505493,0.20791517198085785,59.69902801513672,125.45974731445312,3272.61572265625,3563.973876953125,15740.1484375,12759.072265625
raw,14,0,14,V,2489,32768,0.46293482184410095,1.7335923910140991,0.23706454038619995,10.895252227783203,21.276025772094727,107.31183624267578,118.7065200805664,452.6692810058594,356.7560119628906
raw,15,0,15,K,2489,32768,0.4504173696041107,1.8455291986465454,0.21805578470230103,65.49630737304688,135.28956604003906,3991.13330078125,4289.76611328125,18303.267578125,14610.9775390625
raw,15,0,15,V,2489,32768,0.493075430393219,1.5670535564422607,0.2744734585285187,10.893267631530762,19.569114685058594,105.10968017578125,118.66327667236328,382.95025634765625,291.39837646484375
raw,16,0,16,K,2489,32768,0.4157494604587555,1.8445987701416016,0.20576101541519165,71.43238067626953,144.33236694335938,4286.37890625,5102.5849609375,20831.83203125,17361.890625
raw,16,0,16,V,2489,32768,0.5191311240196228,1.4932345151901245,0.2977423369884491,13.66076946258545,23.81834602355957,168.9132843017578,186.6166229248047,567.3135986328125,416.1101989746094
raw,17,0,17,K,2489,32768,0.44604387879371643,1.7359602451324463,0.23069380223751068,69.70924377441406,134.78204345703125,4190.82958984375,4859.37890625,18166.19921875,14644.1357421875
raw,17,0,17,V,2489,32768,0.512153148651123,1.475152850151062,0.29924827814102173,15.03823471069336,25.7374210357666,198.22650146484375,226.14849853515625,662.4148559570312,492.1189270019531
raw,18,0,18,K,2489,32768,0.5301879644393921,1.3944488763809204,0.32382938265800476,90.94642639160156,148.9015655517578,7179.83984375,8271.2529296875,22171.67578125,16083.48046875
raw,18,0,18,V,2489,32768,0.5498024821281433,1.2940092086791992,0.35745689272880554,19.386417388916016,29.81814193725586,317.8226318359375,375.83319091796875,889.12158203125,629.3215942382812
raw,19,0,19,K,2489,32768,0.5305934548377991,1.3058058023452759,0.34818264842033386,90.2352294921875,137.50892639160156,6583.68310546875,8142.396484375,18908.705078125,13883.9619140625
raw,19,0,19,V,2489,32768,0.5818904042243958,1.2457544803619385,0.3814316689968109,20.553518295288086,31.355274200439453,375.0057678222656,422.4471130371094,983.1531982421875,655.6016235351562
raw,20,0,20,K,2489,32768,0.5092418789863586,1.3193613290786743,0.3374128043651581,86.76307678222656,130.9475860595703,5785.70849609375,7527.83154296875,17147.26953125,13103.9169921875
raw,20,0,20,V,2489,32768,0.5877558588981628,1.1620047092437744,0.4133767783641815,28.43711280822754,40.43303680419922,675.8009643554688,808.6693725585938,1634.8304443359375,1091.9185791015625
raw,21,0,21,K,2489,32768,0.5570986270904541,1.2464200258255005,0.3747557997703552,100.9873275756836,150.12417602539062,8445.9716796875,10198.4404296875,22537.267578125,15844.04296875
raw,21,0,21,V,2489,32768,0.5646143555641174,1.288806676864624,0.36322221159935,25.256145477294922,39.25966262817383,559.8421020507812,637.8728637695312,1541.3211669921875,1059.529052734375
raw,22,0,22,K,2489,32768,0.5920014977455139,1.1904414892196655,0.4032350182533264,95.945068359375,140.85984802246094,8000.7861328125,9205.4560546875,19841.49609375,13045.62890625
raw,22,0,22,V,2489,32768,0.6064981818199158,1.1456581354141235,0.423728883266449,26.998685836791992,38.6441764831543,632.7850341796875,728.9290161132812,1493.3724365234375,956.751220703125
raw,23,0,23,K,2489,32768,0.5924156308174133,1.1574468612670898,0.4161817133426666,104.29212951660156,148.455078125,9172.19140625,10876.8486328125,22038.91015625,14571.6474609375
raw,23,0,23,V,2489,32768,0.5852766633033752,1.162865161895752,0.41251030564308167,31.895950317382812,45.2545166015625,844.8092651367188,1017.3516235351562,2047.9713134765625,1375.728515625
raw,24,0,24,K,2489,32768,0.5715250372886658,1.1743035316467285,0.40489616990089417,117.90644836425781,166.42906188964844,11215.0703125,13901.9306640625,27698.6328125,19170.75
raw,24,0,24,V,2489,32768,0.5646535754203796,1.2099378108978271,0.3895796835422516,37.991607666015625,55.06472396850586,1181.2537841796875,1443.3623046875,3032.123779296875,2113.020751953125
raw,25,0,25,K,2489,32768,0.5695463418960571,1.2768092155456543,0.368259459733963,118.11939239501953,182.68226623535156,12289.8525390625,13952.1904296875,33372.80859375,22745.619140625
raw,25,0,25,V,2489,32768,0.5535073280334473,1.2762714624404907,0.36401236057281494,34.2645149230957,52.1016960144043,988.14306640625,1174.0570068359375,2714.586669921875,1912.3951416015625
raw,26,0,26,K,2489,32768,0.5698588490486145,1.1975761651992798,0.3954562842845917,116.84962463378906,168.38218688964844,11212.1982421875,13653.8349609375,28352.560546875,19582.318359375
raw,26,0,26,V,2489,32768,0.552681028842926,1.2929326295852661,0.3586113452911377,30.768512725830078,47.41950607299805,806.376953125,946.7013549804688,2248.609619140625,1582.58642578125
raw,27,0,27,K,2489,32768,0.5867847800254822,1.2036972045898438,0.3971748948097229,105.18856048583984,155.40521240234375,9592.0830078125,11064.6328125,24150.779296875,16031.5419921875
raw,27,0,27,V,2489,32768,0.5369037985801697,1.3326570987701416,0.34230121970176697,33.68588638305664,52.83674240112305,955.609619140625,1134.7388916015625,2791.721435546875,2015.279541015625
raw,28,0,28,K,2489,32768,0.5219886302947998,1.3776649236679077,0.3254604935646057,114.70538330078125,183.9698028564453,11015.173828125,13157.3251953125,33844.88671875,24972.24609375
raw,28,0,28,V,2489,32768,0.5386243462562561,1.325779914855957,0.34477725625038147,35.704132080078125,55.77837371826172,1072.6802978515625,1274.7850341796875,3111.22705078125,2240.694580078125
raw,29,0,29,K,2489,32768,0.5106281042098999,1.4471383094787598,0.30491724610328674,107.28182220458984,179.65895080566406,9841.9169921875,11509.3896484375,32277.337890625,24103.21875
raw,29,0,29,V,2489,32768,0.5230238437652588,1.3417315483093262,0.33543121814727783,44.20289611816406,68.92371368408203,1593.4588623046875,1953.89599609375,4750.478515625,3517.51611328125
raw,30,0,30,K,2489,32768,0.46363940834999084,1.5896730422973633,0.25996166467666626,87.48613739013672,156.03079223632812,6328.92431640625,7653.82421875,24345.607421875,19341.8203125
raw,30,0,30,V,2489,32768,0.5071353316307068,1.4026997089385986,0.31424689292907715,58.666839599609375,94.67723083496094,2816.839599609375,3441.798095703125,8963.7783203125,6772.00390625
raw,31,0,31,K,2489,32768,0.4317866861820221,1.6240631341934204,0.242257758975029,95.96290588378906,171.03892517089844,7087.08447265625,9208.87890625,29254.314453125,24289.30859375
raw,31,0,31,V,2489,32768,0.44997647404670715,1.587198257446289,0.25536471605300903,58.272586822509766,102.68174743652344,2692.4482421875,3395.6943359375,10543.541015625,8554.4736328125
