example,source,kind,layer,rank,original_gap,delta_recovery_error,final_kv_error,explained_variance
60,raw,k,0,4,0.000878113277747806,0.9565223390230589,0.0008399349663585365,0.08506501494985633
60,raw,k,0,8,0.000878113277747806,0.930707808666125,0.0008172668844932889,0.13378297488789972
60,raw,k,0,16,0.000878113277747806,0.8872847901317088,0.000779136555358329,0.2127257012009294
60,raw,k,0,32,0.000878113277747806,0.8199772190245839,0.000720032883476208,0.32763736028070956
60,raw,k,0,64,0.000878113277747806,0.7354703424095491,0.0006458262730595504,0.45908337543598055
60,raw,k,1,4,0.023315964761040024,0.8244332148193602,0.019222455784559143,0.32030987430261476
60,raw,k,1,8,0.023315964761040024,0.7601797397235514,0.0177243240234509,0.4221267633138338
60,raw,k,1,16,0.023315964761040024,0.6883042188765272,0.016048476912200287,0.5262373022767738
60,raw,k,1,32,0.023315964761040024,0.6030709562917589,0.014061181165305359,0.6363054216773435
60,raw,k,1,64,0.023315964761040024,0.5102239245564381,0.011896363045197455,0.7396715468102262
60,raw,k,2,4,0.08012396174130117,0.6234429872733138,0.049952722060169506,0.6113188416197267
60,raw,k,2,8,0.08012396174130117,0.5575528513139909,0.04467334332743558,0.6891348179916388
60,raw,k,2,16,0.08012396174130117,0.4948061969110474,0.039645832790659495,0.7551668274984258
60,raw,k,2,32,0.08012396174130117,0.4206700974202698,0.03370575479141113,0.8230366691364207
60,raw,k,2,64,0.08012396174130117,0.3388008784243267,0.027146068620789984,0.8852139647789046
60,raw,k,3,4,0.17038709650081132,0.48408792869193285,0.08248233662091023,0.7656588772947541
60,raw,k,3,8,0.17038709650081132,0.4235148159055133,0.07216145980721604,0.8206352007085191
60,raw,k,3,16,0.17038709650081132,0.3739718537776545,0.06371997833820052,0.8601450525821046
60,raw,k,3,32,0.17038709650081132,0.3228306296835206,0.055006173653303715,0.8957803845381416
60,raw,k,3,64,0.17038709650081132,0.2636956595635068,0.04493033779289232,0.9304645991273671
60,raw,k,4,4,0.15749815414515367,0.5855963148260637,0.09223033865930932,0.6570769560621337
60,raw,k,4,8,0.15749815414515367,0.5290092812869195,0.08331798532834421,0.7201491803122969
60,raw,k,4,16,0.15749815414515367,0.4675955937089136,0.07364544289556113,0.7813543607440085
60,raw,k,4,32,0.15749815414515367,0.3988456251175649,0.06281744974488641,0.8409221673245789
60,raw,k,4,64,0.15749815414515367,0.3269355581976459,0.051491746940544696,0.8931131407859937
60,raw,k,5,4,0.12817385389713137,0.6861275348926873,0.08794361041213421,0.5292290058620841
60,raw,k,5,8,0.12817385389713137,0.6251444003425516,0.080127167034116,0.6091944787203516
60,raw,k,5,16,0.12817385389713137,0.553241815848003,0.07091113567428559,0.6939234931972044
60,raw,k,5,32,0.12817385389713137,0.46834433896485705,0.06002949887603015,0.7806535801595711
60,raw,k,5,64,0.12817385389713137,0.3786703422814357,0.048535637126757465,0.8566087718764603
60,raw,k,6,4,0.15193672638177255,0.686109217341013,0.10424518842315363,0.5292541418797025
60,raw,k,6,8,0.15193672638177255,0.6142791955570398,0.09333157005736531,0.6226610699057961
60,raw,k,6,16,0.15193672638177255,0.5384715498088248,0.08181360452767245,0.7100483900464822
60,raw,k,6,32,0.15193672638177255,0.45321630853015354,0.06886020226090295,0.7945949776823007
60,raw,k,6,64,0.15193672638177255,0.37031696408822795,0.05626474724720179,0.8628653461084781
60,raw,k,7,4,0.09728445379729732,0.710047834581712,0.06907661575723557,0.4958320726058218
60,raw,k,7,8,0.09728445379729732,0.6505606201304107,0.06328943459141805,0.5767708795355354
60,raw,k,7,16,0.09728445379729732,0.5896330039350088,0.057362124728677,0.6523329206705778
60,raw,k,7,32,0.09728445379729732,0.521098782412398,0.05069481042142683,0.7284560589683162
60,raw,k,7,64,0.09728445379729732,0.4460171210484051,0.04339053200543713,0.8010687277316924
60,raw,k,8,4,0.06635785086191556,0.7703194943263569,0.051116746120534615,0.4066078766607856
60,raw,k,8,8,0.06635785086191556,0.7100059084828688,0.04711446618618508,0.49589160991941617
60,raw,k,8,16,0.06635785086191556,0.6502619864344978,0.04314998791699337,0.5771593489982609
60,raw,k,8,32,0.06635785086191556,0.5792302131974809,0.038436472102074,0.6644923601192008
60,raw,k,8,64,0.06635785086191556,0.4996771574172219,0.033157502290997926,0.7503227383554448
60,raw,k,9,4,0.10379440444585782,0.7732580976932649,0.08025986373300936,0.4020719143517933
60,raw,k,9,8,0.10379440444585782,0.7272224195713781,0.07548161793908692,0.4711475524727504
60,raw,k,9,16,0.10379440444585782,0.6639495033440947,0.0689142432817234,0.55917105700913
60,raw,k,9,32,0.10379440444585782,0.5916115410653564,0.06140596756817482,0.6499957844782741
60,raw,k,9,64,0.10379440444585782,0.5085891814153365,0.05278871119261118,0.741337044547278
60,raw,k,10,4,0.07004711389747871,0.74944928844122,0.05249675966782652,0.438325764054949
60,raw,k,10,8,0.07004711389747871,0.702161661524499,0.04918439787924948,0.5069690010851549
60,raw,k,10,16,0.07004711389747871,0.6400285860409001,0.044832155264049184,0.5903634090504861
60,raw,k,10,32,0.07004711389747871,0.5680668256966512,0.03979144164095252,0.6773000815429304
60,raw,k,10,64,0.07004711389747871,0.48487190449021145,0.03396387751951326,0.7648992362360353
60,raw,k,11,4,0.11830530254672755,0.7631670929293297,0.09028671382271089,0.4175759882697958
60,raw,k,11,8,0.11830530254672755,0.7176319208460535,0.0848996615128816,0.48500442618280354
