example_id,chunk_id,method,rate,chunk_len,selected_count
2,2,draft_smart_top2_mean_global,0.15,88,12
2,3,draft_smart_top2_mean_global,0.15,48,9
2,4,draft_smart_top2_mean_global,0.15,185,15
2,5,draft_smart_top2_mean_global,0.15,63,14
2,6,draft_smart_top2_mean_global,0.15,99,7
2,7,draft_smart_top2_mean_global,0.15,106,8
2,8,draft_smart_top2_mean_global,0.15,234,36
2,9,draft_smart_top2_mean_global,0.15,368,65
3,0,draft_smart_frequency_global,0.15,108,33
3,1,draft_smart_frequency_global,0.15,92,28
3,2,draft_smart_frequency_global,0.15,90,7
3,3,draft_smart_frequency_global,0.15,170,5
3,4,draft_smart_frequency_global,0.15,141,9
3,5,draft_smart_frequency_global,0.15,200,7
3,6,draft_smart_frequency_global,0.15,52,6
3,7,draft_smart_frequency_global,0.15,143,5
3,8,draft_smart_frequency_global,0.15,68,10
3,9,draft_smart_frequency_global,0.15,90,14
3,10,draft_smart_frequency_global,0.15,89,62
3,0,draft_smart_mean_score_global,0.15,108,25
3,1,draft_smart_mean_score_global,0.15,92,20
3,2,draft_smart_mean_score_global,0.15,90,11
3,3,draft_smart_mean_score_global,0.15,170,10
3,4,draft_smart_mean_score_global,0.15,141,14
3,5,draft_smart_mean_score_global,0.15,200,11
3,6,draft_smart_mean_score_global,0.15,52,7
3,7,draft_smart_mean_score_global,0.15,143,7
3,8,draft_smart_mean_score_global,0.15,68,10
3,9,draft_smart_mean_score_global,0.15,90,20
3,10,draft_smart_mean_score_global,0.15,89,51
3,0,draft_smart_max_score_global,0.15,108,27
3,1,draft_smart_max_score_global,0.15,92,20
3,2,draft_smart_max_score_global,0.15,90,10
3,3,draft_smart_max_score_global,0.15,170,10
3,4,draft_smart_max_score_global,0.15,141,14
3,5,draft_smart_max_score_global,0.15,200,15
3,6,draft_smart_max_score_global,0.15,52,11
3,7,draft_smart_max_score_global,0.15,143,7
3,8,draft_smart_max_score_global,0.15,68,8
3,9,draft_smart_max_score_global,0.15,90,18
3,10,draft_smart_max_score_global,0.15,89,46
3,0,draft_smart_top2_mean_global,0.15,108,28
3,1,draft_smart_top2_mean_global,0.15,92,22
3,2,draft_smart_top2_mean_global,0.15,90,10
3,3,draft_smart_top2_mean_global,0.15,170,10
3,4,draft_smart_top2_mean_global,0.15,141,12
3,5,draft_smart_top2_mean_global,0.15,200,11
3,6,draft_smart_top2_mean_global,0.15,52,9
3,7,draft_smart_top2_mean_global,0.15,143,7
3,8,draft_smart_top2_mean_global,0.15,68,10
3,9,draft_smart_top2_mean_global,0.15,90,18
3,10,draft_smart_top2_mean_global,0.15,89,49
4,0,draft_smart_frequency_global,0.15,96,50
4,1,draft_smart_frequency_global,0.15,139,13
4,2,draft_smart_frequency_global,0.15,192,18
4,3,draft_smart_frequency_global,0.15,126,20
4,4,draft_smart_frequency_global,0.15,265,10
4,5,draft_smart_frequency_global,0.15,74,14
4,6,draft_smart_frequency_global,0.15,60,6
4,7,draft_smart_frequency_global,0.15,45,10
4,8,draft_smart_frequency_global,0.15,79,6
4,9,draft_smart_frequency_global,0.15,102,7
4,10,draft_smart_frequency_global,0.15,148,14
4,11,draft_smart_frequency_global,0.15,139,12
4,12,draft_smart_frequency_global,0.15,149,16
4,13,draft_smart_frequency_global,0.15,228,16
4,14,draft_smart_frequency_global,0.15,196,9
4,15,draft_smart_frequency_global,0.15,72,9
4,16,draft_smart_frequency_global,0.15,88,25
4,17,draft_smart_frequency_global,0.15,86,47
4,18,draft_smart_frequency_global,0.15,321,88
4,0,draft_smart_mean_score_global,0.15,96,38
4,1,draft_smart_mean_score_global,0.15,139,11
4,2,draft_smart_mean_score_global,0.15,192,16
4,3,draft_smart_mean_score_global,0.15,126,17
4,4,draft_smart_mean_score_global,0.15,265,9
4,5,draft_smart_mean_score_global,0.15,74,12
4,6,draft_smart_mean_score_global,0.15,60,6
4,7,draft_smart_mean_score_global,0.15,45,8
4,8,draft_smart_mean_score_global,0.15,79,7
4,9,draft_smart_mean_score_global,0.15,102,8
4,10,draft_smart_mean_score_global,0.15,148,14
4,11,draft_smart_mean_score_global,0.15,139,14
4,12,draft_smart_mean_score_global,0.15,149,19
4,13,draft_smart_mean_score_global,0.15,228,18
4,14,draft_smart_mean_score_global,0.15,196,13
4,15,draft_smart_mean_score_global,0.15,72,10
4,16,draft_smart_mean_score_global,0.15,88,25
4,17,draft_smart_mean_score_global,0.15,86,36
4,18,draft_smart_mean_score_global,0.15,321,109
4,0,draft_smart_max_score_global,0.15,96,40
4,1,draft_smart_max_score_global,0.15,139,9
4,2,draft_smart_max_score_global,0.15,192,13
4,3,draft_smart_max_score_global,0.15,126,13
4,4,draft_smart_max_score_global,0.15,265,9
4,5,draft_smart_max_score_global,0.15,74,11
4,6,draft_smart_max_score_global,0.15,60,5
4,7,draft_smart_max_score_global,0.15,45,9
4,8,draft_smart_max_score_global,0.15,79,4
4,9,draft_smart_max_score_global,0.15,102,8
4,10,draft_smart_max_score_global,0.15,148,13
4,11,draft_smart_max_score_global,0.15,139,12
4,12,draft_smart_max_score_global,0.15,149,16
4,13,draft_smart_max_score_global,0.15,228,18
4,14,draft_smart_max_score_global,0.15,196,12
4,15,draft_smart_max_score_global,0.15,72,14
4,16,draft_smart_max_score_global,0.15,88,31
4,17,draft_smart_max_score_global,0.15,86,30
4,18,draft_smart_max_score_global,0.15,321,123
4,0,draft_smart_top2_mean_global,0.15,96,40
4,1,draft_smart_top2_mean_global,0.15,139,10
4,2,draft_smart_top2_mean_global,0.15,192,15
4,3,draft_smart_top2_mean_global,0.15,126,15
4,4,draft_smart_top2_mean_global,0.15,265,10
4,5,draft_smart_top2_mean_global,0.15,74,11
4,6,draft_smart_top2_mean_global,0.15,60,7
4,7,draft_smart_top2_mean_global,0.15,45,9
4,8,draft_smart_top2_mean_global,0.15,79,5
4,9,draft_smart_top2_mean_global,0.15,102,8
4,10,draft_smart_top2_mean_global,0.15,148,13
4,11,draft_smart_top2_mean_global,0.15,139,13
4,12,draft_smart_top2_mean_global,0.15,149,16
4,13,draft_smart_top2_mean_global,0.15,228,16
4,14,draft_smart_top2_mean_global,0.15,196,10
4,15,draft_smart_top2_mean_global,0.15,72,12
4,16,draft_smart_top2_mean_global,0.15,88,29
4,17,draft_smart_top2_mean_global,0.15,86,33
4,18,draft_smart_top2_mean_global,0.15,321,118
6,0,draft_smart_frequency_global,0.15,183,20
6,1,draft_smart_frequency_global,0.15,84,20
6,2,draft_smart_frequency_global,0.15,154,17
6,3,draft_smart_frequency_global,0.15,244,10
6,4,draft_smart_frequency_global,0.15,86,21
6,5,draft_smart_frequency_global,0.15,49,17
6,6,draft_smart_frequency_global,0.15,203,11
6,7,draft_smart_frequency_global,0.15,140,13
6,8,draft_smart_frequency_global,0.15,113,25
6,9,draft_smart_frequency_global,0.15,148,56
6,0,draft_smart_mean_score_global,0.15,183,22
6,1,draft_smart_mean_score_global,0.15,84,14
6,2,draft_smart_mean_score_global,0.15,154,17
6,3,draft_smart_mean_score_global,0.15,244,12
6,4,draft_smart_mean_score_global,0.15,86,22
6,5,draft_smart_mean_score_global,0.15,49,14
6,6,draft_smart_mean_score_global,0.15,203,12
6,7,draft_smart_mean_score_global,0.15,140,16
6,8,draft_smart_mean_score_global,0.15,113,25
6,9,draft_smart_mean_score_global,0.15,148,56
6,0,draft_smart_max_score_global,0.15,183,27
6,1,draft_smart_max_score_global,0.15,84,20
6,2,draft_smart_max_score_global,0.15,154,21
6,3,draft_smart_max_score_global,0.15,244,11
6,4,draft_smart_max_score_global,0.15,86,23
6,5,draft_smart_max_score_global,0.15,49,15
