example_id,rate,freq_threshold,token_category,token_count,token_ratio_in_stable,doc_len,stable_count
6,0.15,1.0,position_00-10%,1,0.006666666666666667,1404,150
6,0.15,1.0,position_20-30%,1,0.006666666666666667,1404,150
6,0.15,1.0,position_30-40%,2,0.013333333333333334,1404,150
6,0.15,1.0,position_40-50%,3,0.02,1404,150
6,0.15,1.0,position_50-60%,8,0.05333333333333334,1404,150
6,0.15,1.0,position_60-70%,5,0.03333333333333333,1404,150
6,0.15,1.0,position_70-80%,6,0.04,1404,150
6,0.15,1.0,position_80-90%,25,0.16666666666666666,1404,150
6,0.15,1.0,position_90-100%,99,0.66,1404,150
7,0.15,1.0,latin_word,154,0.6784140969162996,2140,227
7,0.15,1.0,number,7,0.030837004405286344,2140,227
7,0.15,1.0,other_text,6,0.02643171806167401,2140,227
7,0.15,1.0,punct_or_symbol,56,0.24669603524229075,2140,227
7,0.15,1.0,space,4,0.01762114537444934,2140,227
7,0.15,1.0,position_20-30%,2,0.00881057268722467,2140,227
7,0.15,1.0,position_30-40%,1,0.004405286343612335,2140,227
7,0.15,1.0,position_40-50%,4,0.01762114537444934,2140,227
7,0.15,1.0,position_50-60%,5,0.022026431718061675,2140,227
7,0.15,1.0,position_60-70%,7,0.030837004405286344,2140,227
7,0.15,1.0,position_70-80%,26,0.1145374449339207,2140,227
7,0.15,1.0,position_80-90%,29,0.1277533039647577,2140,227
7,0.15,1.0,position_90-100%,153,0.6740088105726872,2140,227
8,0.15,1.0,latin_word,174,0.6541353383458647,2419,266
8,0.15,1.0,number,19,0.07142857142857142,2419,266
8,0.15,1.0,other_text,3,0.011278195488721804,2419,266
8,0.15,1.0,punct_or_symbol,59,0.22180451127819548,2419,266
8,0.15,1.0,space,11,0.041353383458646614,2419,266
8,0.15,1.0,position_00-10%,1,0.0037593984962406013,2419,266
8,0.15,1.0,position_30-40%,4,0.015037593984962405,2419,266
8,0.15,1.0,position_40-50%,6,0.022556390977443608,2419,266
8,0.15,1.0,position_50-60%,3,0.011278195488721804,2419,266
8,0.15,1.0,position_60-70%,15,0.05639097744360902,2419,266
8,0.15,1.0,position_70-80%,23,0.08646616541353383,2419,266
8,0.15,1.0,position_80-90%,37,0.13909774436090225,2419,266
8,0.15,1.0,position_90-100%,177,0.6654135338345865,2419,266
9,0.15,1.0,latin_word,226,0.6746268656716418,3107,335
9,0.15,1.0,number,13,0.03880597014925373,3107,335
9,0.15,1.0,other_text,7,0.020895522388059702,3107,335
9,0.15,1.0,punct_or_symbol,82,0.24477611940298508,3107,335
9,0.15,1.0,space,7,0.020895522388059702,3107,335
9,0.15,1.0,position_00-10%,2,0.005970149253731343,3107,335
9,0.15,1.0,position_10-20%,6,0.01791044776119403,3107,335
9,0.15,1.0,position_20-30%,5,0.014925373134328358,3107,335
9,0.15,1.0,position_30-40%,5,0.014925373134328358,3107,335
9,0.15,1.0,position_40-50%,1,0.0029850746268656717,3107,335
9,0.15,1.0,position_50-60%,5,0.014925373134328358,3107,335
9,0.15,1.0,position_60-70%,9,0.026865671641791045,3107,335
9,0.15,1.0,position_70-80%,34,0.10149253731343283,3107,335
9,0.15,1.0,position_80-90%,65,0.19402985074626866,3107,335
9,0.15,1.0,position_90-100%,203,0.6059701492537314,3107,335
10,0.15,1.0,latin_word,164,0.6381322957198443,2348,257
10,0.15,1.0,newline_or_space,1,0.0038910505836575876,2348,257
10,0.15,1.0,number,14,0.054474708171206226,2348,257
10,0.15,1.0,other_text,2,0.007782101167315175,2348,257
10,0.15,1.0,punct_or_symbol,66,0.25680933852140075,2348,257
10,0.15,1.0,space,10,0.038910505836575876,2348,257
10,0.15,1.0,position_00-10%,2,0.007782101167315175,2348,257
10,0.15,1.0,position_20-30%,2,0.007782101167315175,2348,257
10,0.15,1.0,position_40-50%,5,0.019455252918287938,2348,257
10,0.15,1.0,position_50-60%,7,0.027237354085603113,2348,257
10,0.15,1.0,position_60-70%,11,0.042801556420233464,2348,257
10,0.15,1.0,position_70-80%,20,0.07782101167315175,2348,257
10,0.15,1.0,position_80-90%,37,0.14396887159533073,2348,257
10,0.15,1.0,position_90-100%,173,0.6731517509727627,2348,257
11,0.15,1.0,latin_word,153,0.612,2331,250
11,0.15,1.0,number,9,0.036,2331,250
11,0.15,1.0,other_text,3,0.012,2331,250
11,0.15,1.0,punct_or_symbol,79,0.316,2331,250
11,0.15,1.0,space,6,0.024,2331,250
11,0.15,1.0,position_00-10%,3,0.012,2331,250
11,0.15,1.0,position_10-20%,1,0.004,2331,250
11,0.15,1.0,position_20-30%,2,0.008,2331,250
11,0.15,1.0,position_30-40%,2,0.008,2331,250
11,0.15,1.0,position_40-50%,1,0.004,2331,250
11,0.15,1.0,position_50-60%,6,0.024,2331,250
11,0.15,1.0,position_60-70%,11,0.044,2331,250
11,0.15,1.0,position_70-80%,20,0.08,2331,250
11,0.15,1.0,position_80-90%,38,0.152,2331,250
11,0.15,1.0,position_90-100%,166,0.664,2331,250
12,0.15,1.0,latin_word,149,0.5379061371841155,2462,277
12,0.15,1.0,number,32,0.11552346570397112,2462,277
12,0.15,1.0,other_text,3,0.010830324909747292,2462,277
12,0.15,1.0,punct_or_symbol,83,0.2996389891696751,2462,277
12,0.15,1.0,space,10,0.036101083032490974,2462,277
12,0.15,1.0,position_00-10%,2,0.007220216606498195,2462,277
12,0.15,1.0,position_30-40%,1,0.0036101083032490976,2462,277
12,0.15,1.0,position_40-50%,3,0.010830324909747292,2462,277
12,0.15,1.0,position_50-60%,2,0.007220216606498195,2462,277
12,0.15,1.0,position_60-70%,10,0.036101083032490974,2462,277
12,0.15,1.0,position_70-80%,19,0.06859205776173286,2462,277
12,0.15,1.0,position_80-90%,52,0.18772563176895307,2462,277
