example_id,main_idx,sub_idx,doc_len,selected_count,rank,rank_pct,position,doc_position,importance_score,key_token_rel_delta,value_token_rel_delta,value_over_key_delta
1,0,0,2105,196,1,0.002551020408163265,1880,1088,296.0,0.2070266455411911,1.376781940460205,6.65026444714153
1,0,0,2105,196,2,0.007653061224489796,1796,1004,272.0,0.19499529898166656,1.444699764251709,7.408895351780407
1,0,0,2105,196,3,0.012755102040816327,1108,316,264.0,0.2019513100385666,1.4648441076278687,7.253451870853793
1,0,0,2105,196,4,0.017857142857142856,1963,1171,247.0,0.20743806660175323,1.4106673002243042,6.800426379434742
1,0,0,2105,196,5,0.02295918367346939,1495,703,243.0,0.2064778357744217,1.3667203187942505,6.619210791616305
1,0,0,2105,196,6,0.02806122448979592,1374,582,239.0,0.20512135326862335,1.3623939752578735,6.6418924872588185
1,0,0,2105,196,7,0.03316326530612245,1010,218,234.0,0.20581655204296112,1.3645626306533813,6.629994609772296
1,0,0,2105,196,8,0.03826530612244898,842,50,233.0,0.17610853910446167,1.41409432888031,8.029674972395785
1,0,0,2105,196,9,0.04336734693877551,2013,1221,233.0,0.20904798805713654,1.466528296470642,7.0152710394074616
1,0,0,2105,196,10,0.04846938775510204,934,142,231.0,0.19629593193531036,1.3799934387207031,7.030168303072383
1,0,0,2105,196,11,0.05357142857142857,1160,368,188.0,0.20595799386501312,1.3760520219802856,6.681226575140765
1,0,0,2105,196,12,0.058673469387755105,1376,584,34.25,0.1698300689458847,0.42199406027793884,2.4848017956697634
1,0,0,2105,196,13,0.06377551020408163,1798,1006,32.75,0.1617279350757599,0.8124222755432129,5.023388662927144
1,0,0,2105,196,14,0.06887755102040816,1110,318,30.5,0.17237544059753418,0.38230377435684204,2.2178552410330603
1,0,0,2105,196,15,0.07397959183673469,1797,1005,30.25,0.176571324467659,0.9906788468360901,5.610644026244099
1,0,0,2105,196,16,0.07908163265306123,1881,1089,29.0,0.1860978901386261,1.0267870426177979,5.5174566559965665
1,0,0,2105,196,17,0.08418367346938775,1109,317,27.625,0.1893371343612671,1.0199116468429565,5.386749146057712
1,0,0,2105,196,18,0.08928571428571429,843,51,26.25,0.161538764834404,0.8784670829772949,5.4381193509334285
1,0,0,2105,196,19,0.09438775510204081,1375,583,26.25,0.18870912492275238,1.0103282928466797,5.353892098513525
1,0,0,2105,196,20,0.09948979591836735,2014,1222,26.25,0.19233503937721252,1.0122095346450806,5.2627411932708
