example_id,sub_q_idx,offline_count,candidate_count,teacher_count,candidate_residual_count,teacher_residual_count,final_intersection,final_jaccard,final_teacher_recall,residual_intersection,residual_jaccard,residual_teacher_recall
72,1,216,306,306,90,90,261,0.7435897435897436,0.8529411764705882,45,0.3333333333333333,0.5
74,0,79,169,169,90,90,124,0.5794392523364486,0.7337278106508875,45,0.3333333333333333,0.5
74,1,188,292,292,104,104,231,0.6543909348441926,0.791095890410959,43,0.2606060606060606,0.41346153846153844
75,0,169,287,287,118,118,220,0.6214689265536724,0.7665505226480837,51,0.2756756756756757,0.4322033898305085
77,0,164,289,289,125,125,228,0.6514285714285715,0.7889273356401384,64,0.34408602150537637,0.512
77,1,221,367,367,146,146,286,0.6383928571428571,0.779291553133515,65,0.28634361233480177,0.4452054794520548
78,0,114,185,185,71,71,155,0.7209302325581395,0.8378378378378378,41,0.40594059405940597,0.5774647887323944
78,1,130,246,246,116,116,183,0.5922330097087378,0.7439024390243902,53,0.29608938547486036,0.45689655172413796
79,0,112,207,207,95,95,163,0.649402390438247,0.7874396135265701,51,0.3669064748201439,0.5368421052631579
79,1,68,184,184,116,116,122,0.4959349593495935,0.6630434782608695,54,0.30337078651685395,0.46551724137931033
79,2,213,319,319,106,106,273,0.7479452054794521,0.8557993730407524,60,0.39473684210526316,0.5660377358490566
80,0,148,241,241,93,93,192,0.6620689655172414,0.7966804979253111,44,0.30985915492957744,0.4731182795698925
81,0,93,193,193,100,100,145,0.6016597510373444,0.7512953367875648,52,0.35135135135135137,0.52
81,1,216,328,328,112,112,273,0.7127937336814621,0.8323170731707317,57,0.3413173652694611,0.5089285714285714
82,0,89,186,186,97,97,137,0.5829787234042553,0.7365591397849462,48,0.3287671232876712,0.4948453608247423
82,1,153,272,272,119,119,218,0.6687116564417178,0.8014705882352942,65,0.37572254335260113,0.5462184873949579
84,0,94,189,189,95,95,148,0.6434782608695652,0.783068783068783,54,0.39705882352941174,0.5684210526315789
84,1,180,269,269,89,89,225,0.7188498402555911,0.8364312267657993,45,0.3383458646616541,0.5056179775280899
85,0,201,339,339,138,138,263,0.6337349397590362,0.775811209439528,62,0.2897196261682243,0.4492753623188406
86,0,96,168,168,72,72,142,0.7319587628865979,0.8452380952380952,46,0.46938775510204084,0.6388888888888888
86,1,194,297,297,103,103,239,0.6732394366197183,0.8047138047138047,45,0.2795031055900621,0.4368932038834951
88,0,101,199,199,98,98,151,0.611336032388664,0.7587939698492462,50,0.3424657534246575,0.5102040816326531
88,1,56,145,145,89,89,109,0.6022099447513812,0.7517241379310344,53,0.424,0.5955056179775281
88,2,182,267,267,85,85,226,0.7337662337662337,0.846441947565543,44,0.3492063492063492,0.5176470588235295
89,0,102,196,196,94,94,154,0.6470588235294118,0.7857142857142857,52,0.38235294117647056,0.5531914893617021
