example,target,source,kind,rank,original_gap,delta_recovery_error,final_kv_error,explained_delta_energy
0,4,preprocess,v,1,0.3522272290033654,0.9849251450761276,0.3469174546259021,0.029922458596769008
0,4,preprocess,v,2,0.3522272290033654,0.9708771127102731,0.3419693551127276,0.05739763201536374
0,4,preprocess,v,4,0.3522272290033654,0.9477593770283805,0.33382665913266235,0.10175216325477598
0,4,preprocess,v,8,0.3522272290033654,0.9138641485905005,0.32188783674355176,0.16485231792095978
0,4,preprocess,v,16,0.3522272290033654,0.8583064703606061,0.3023189096907755,0.2633100029371179
0,4,preprocess,v,32,0.3522272290033654,0.7672699705047472,0.27025337560838103,0.4112967923616444
0,4,preprocess,v,64,0.3522272290033654,0.5965972776710224,0.2101378059450156,0.644071688275525
0,5,preprocess,v,1,0.9421407459679338,0.9504630560805133,0.895469972670657,0.09661997902609099
0,5,preprocess,v,2,0.9421407459679338,0.9328701083359398,0.8788949397588095,0.12975336097329204
0,5,preprocess,v,4,0.9421407459679338,0.9114785052458683,0.8587410388660796,0.16920693447475765
0,5,preprocess,v,8,0.9421407459679338,0.8792057310741179,0.828335543333452,0.2269972824464258
0,5,preprocess,v,16,0.9421407459679338,0.8268579530884967,0.7790165687323152,0.31630592541430125
0,5,preprocess,v,32,0.9421407459679338,0.7364195426861745,0.6938108572917171,0.45768625714988564
0,5,preprocess,v,64,0.9421407459679338,0.5676327232062137,0.5347899172773118,0.6777930915454979
0,6,preprocess,v,1,0.39521056491961,0.9820685842323277,0.3881238799642598,0.035541295863911526
0,6,preprocess,v,2,0.39521056491961,0.9711349114732981,0.38380277697651755,0.05689698371774954
0,6,preprocess,v,4,0.39521056491961,0.9528039898105913,0.37655820307070215,0.09216455700101855
0,6,preprocess,v,8,0.39521056491961,0.9220976282744069,0.3644227245813609,0.14973596393071376
0,6,preprocess,v,16,0.39521056491961,0.8687158592652633,0.34332568549484915,0.24533275586101522
0,6,preprocess,v,32,0.39521056491961,0.7756615280880245,0.3065496307020761,0.3983491938441509
0,6,preprocess,v,64,0.39521056491961,0.5978542168445189,0.23627830277869336,0.6425703354012269
0,7,preprocess,v,1,0.42408263285979275,0.9859087608389759,0.41810678305612864,0.02798391530095501
0,7,preprocess,v,2,0.42408263285979275,0.9748354227026225,0.41341077266471715,0.04969589864419943
