part,target,source,context_index,method,original_gap,delta_recovery_error,final_kv_error,explained_delta_energy,cosine
t3,3,raw,40,mean,0.3867023063763168,0.6392018417548696,0.24718082644659756,0.5914210054971826,0.7859728729713559
t3,3,raw,40,oracle_r4,0.3867023063763168,0.4218434426551967,0.1631278322044901,0.8220481098888117,0.907516892975133
t3,3,raw,40,oracle_r8,0.3867023063763168,0.4032522786719033,0.1559385862139302,0.8373875997459177,0.9151045149868656
t3,3,raw,40,position_r4,0.3867023063763168,0.5743106900614874,0.2220872684233512,0.6701672312810982,0.8189442204902467
t3,3,raw,40,position_r8,0.3867023063763168,0.579406837236443,0.2240579602895397,0.6642877169636621,0.8159025864893608
t3,3,raw,40,cached_prefix_r4,0.3867023063763168,0.5757407507283755,0.2226402761814949,0.6685225879507266,0.8241535626827674
t3,3,raw,40,cached_prefix_r8,0.3867023063763168,0.5645132264568878,0.21829856665081454,0.6813248171552344,0.8313570570264274
t3,3,raw,41,mean,0.38691623290781774,0.6729583406943734,0.2603785060853628,0.5471270716898756,0.762514607002437
t3,3,raw,41,oracle_r4,0.38691623290781774,0.47105909726466766,0.18226041139060253,0.7781033268841964,0.8821944082495566
t3,3,raw,41,oracle_r8,0.38691623290781774,0.46879892486949826,0.18138591400174137,0.7802275680412025,0.8833127430617348
t3,3,raw,41,position_r4,0.38691623290781774,0.5582892271634616,0.21601116464710352,0.6883131388332246,0.8298675303162616
t3,3,raw,41,position_r8,0.38691623290781774,0.5592986934318864,0.21640174353292993,0.6871849715253847,0.829813226153368
t3,3,raw,41,cached_prefix_r4,0.38691623290781774,0.6301075308785711,0.24379883217438317,0.6029644995301107,0.7948970706586519
t3,3,raw,41,cached_prefix_r8,0.38691623290781774,0.6260600477332727,0.24223279524304647,0.6080488166322122,0.7965648406234839
t3,3,raw,42,mean,0.458342144760724,0.4301728801864179,0.19716636052254075,0.8149512931521217,0.9093401176478773
t3,3,raw,42,oracle_r4,0.458342144760724,0.351988054112239,0.1613309596519574,0.8761044097622795,0.9360265511379576
t3,3,raw,42,oracle_r8,0.458342144760724,0.31460057993359203,0.14419470454973016,0.9010264751054475,0.9492252640158182
t3,3,raw,42,position_r4,0.458342144760724,0.447369466737076,0.2050482808847328,0.7998605602313842,0.8972174794162776
t3,3,raw,42,position_r8,0.458342144760724,0.4331599102434127,0.1985354422853285,0.8123724921579186,0.9030094520530864
t3,3,raw,42,cached_prefix_r4,0.458342144760724,0.43716972176797547,0.20037330789958283,0.808882634369311,0.9051871616388071
t3,3,raw,42,cached_prefix_r8,0.458342144760724,0.43695433310129883,0.20027458619614114,0.8090709107839992,0.9049973825447882
t3,3,raw,43,mean,0.4496456565974215,0.41453868575352787,0.1863955195406772,0.8281576780137379,0.9155099588277202
t3,3,raw,43,oracle_r4,0.4496456565974215,0.3700013155893454,0.166369484490081,0.8630990264621536,0.9291141168070256
t3,3,raw,43,oracle_r8,0.4496456565974215,0.3372207148236119,0.1516298297351148,0.8862821894938522,0.9414256217914433
