part,example,target,source,kind,context_index,prefix_tokens,layer,rank,original_gap,delta_norm2,base_norm2,error_norm2,prediction_norm2,target_prediction_dot,delta_recovery_error,final_kv_error,explained_delta_energy,cosine
t3,0,3,raw,k,40,486,0,0,0.0009007523846853186,2.391371488571167,2947380.5,2.2159924507141113,0.4768845736980438,0.32613176107406616,0.9626327099155195,0.0008670937090324948,0.07333826580070324,0.3053957121054782
t3,0,3,raw,k,40,486,0,1,0.0009007523846853186,2.391371488571167,2947380.5,2.136106491088867,0.4217679500579834,0.338516503572464,0.9451221171336897,0.000851321000827008,0.10674418370473227,0.33706956115913395
t3,0,3,raw,k,40,486,0,2,0.0009007523846853186,2.391371488571167,2947380.5,2.104527235031128,0.4322091042995453,0.35952675342559814,0.9381099702868252,0.0008450047928329313,0.11994968364845193,0.3536394724998814
t3,0,3,raw,k,40,486,0,4,0.0009007523846853186,2.391371488571167,2947380.5,2.063793182373047,0.41680431365966797,0.3721913695335388,0.9289868429674737,0.0008367871141442377,0.13698344559332631,0.3728006598581868
t3,0,3,raw,k,40,486,0,8,0.0009007523846853186,2.391371488571167,2947380.5,2.015475273132324,0.4977470934391022,0.43682169914245605,0.9180476297933183,0.0008269335917910361,0.15718854943087035,0.4003836311948723
t3,0,3,raw,k,40,486,0,16,0.0009007523846853186,2.391371488571167,2947380.5,1.995713233947754,0.5267868638038635,0.46122264862060547,0.9135357448494302,0.0008228695006684031,0.1654524428823968,0.4109316894097406
t3,0,3,raw,k,40,486,0,32,0.0009007523846853186,2.391371488571167,2947380.5,1.9567387104034424,0.5475537776947021,0.49109330773353577,0.90457148838446,0.0008147949252806503,0.18175042240192285,0.4291677730687522
t3,0,3,raw,k,41,102,0,0,0.0008641836956972305,2.2002367973327637,2946166.5,2.2520554065704346,0.4768845736980438,0.2125329226255417,1.0117071603649355,0.0008743008328075206,-0.02355137833368115,0.2074841211416512
t3,0,3,raw,k,41,102,0,1,0.0008641836956972305,2.2002367973327637,2946166.5,2.16642689704895,0.4227423667907715,0.22827614843845367,0.992287013661384,0.0008575182586582631,0.015366482518972324,0.23669437507496946
t3,0,3,raw,k,41,102,0,2,0.0008641836956972305,2.2002367973327637,2946166.5,2.14835262298584,0.424824982881546,0.23835456371307373,0.9881390704507961,0.000853933673764995,0.023581177448636637,0.2465379245163469
t3,0,3,raw,k,41,102,0,4,0.0008641836956972305,2.2002367973327637,2946166.5,2.0320487022399902,0.4463651180267334,0.30727654695510864,0.9610198195643231,0.0008304976593093824,0.07644090640455581,0.31006273793962325
t3,0,3,raw,k,41,102,0,8,0.0008641836956972305,2.2002367973327637,2946166.5,1.90963613986969,0.5309642553329468,0.4107825458049774,0.9316238555282009,0.0008050941464700635,0.13207699181076982,0.3800534048285805
t3,0,3,raw,k,41,102,0,16,0.0008641836956972305,2.2002367973327637,2946166.5,1.8620567321777344,0.5765981078147888,0.45738911628723145,0.9199447441385544,0.0007950012488268992,0.15370166773184957,0.40608271866803886
t3,0,3,raw,k,41,102,0,32,0.0008641836956972305,2.2002367973327637,2946166.5,1.8138717412948608,0.602372944355011,0.4943690001964569,0.907963887434572,0.0007846475878028327,0.17560157911469976,0.42942150501951587
t3,0,3,raw,k,42,959,0,0,0.0009394658687653926,2.6029553413391113,2949203.25,2.3226428031921387,0.4768845736980438,0.37859854102134705,0.944621560951351,0.0008874397154136822,0.10769010658583322,0.33981217929838203
t3,0,3,raw,k,42,959,0,1,0.0009394658687653926,2.6029553413391113,2949203.25,2.30781626701355,0.4335509240627289,0.3643450140953064,0.9416017491567127,0.0008846027053025245,0.11338614598501906,0.3429725908452966
t3,0,3,raw,k,42,959,0,2,0.0009394658687653926,2.6029553413391113,2949203.25,2.289261817932129,0.43590253591537476,0.3747979998588562,0.9378089516964088,0.0008810395015414287,0.12051437011808286,0.3518594408973511
t3,0,3,raw,k,42,959,0,4,0.0009394658687653926,2.6029553413391113,2949203.25,2.0903825759887695,0.729131817817688,0.6208522915840149,0.8961475666392938,0.0008419000522347768,0.1969195388064724,0.45066300139668797
t3,0,3,raw,k,42,959,0,8,0.0009394658687653926,2.6029553413391113,2949203.25,2.0042788982391357,0.7736961841583252,0.6861864328384399,0.877497157934875,0.0008243786298184504,0.22999873781621694,0.48353012973790166
t3,0,3,raw,k,42,959,0,16,0.0009394658687653926,2.6029553413391113,2949203.25,1.9700292348861694,0.7963508367538452,0.7146386504173279,0.8699673965332229,0.000817304675981651,0.24315672896920615,0.49636473859978636
t3,0,3,raw,k,42,959,0,32,0.0009394658687653926,2.6029553413391113,2949203.25,1.931891679763794,0.812907874584198,0.7419858574867249,0.8615054466867217,0.0008093549629176586,0.2578083653291121,0.510083885718111
t3,0,3,raw,k,43,742,0,0,0.0009275902218450685,2.5367884635925293,2948301.75,2.2789623737335205,0.4768845736980438,0.3673553466796875,0.9478212700199673,0.0008791897421272961,0.10163484009773627,0.3339931818025725
t3,0,3,raw,k,43,742,0,1,0.0009275902218450685,2.5367884635925293,2948301.75,2.1941237449645996,0.42259863018989563,0.38263171911239624,0.9300117417221997,0.0008626697978226138,0.13507816025884056,0.3695513554158027
t3,0,3,raw,k,43,742,0,2,0.0009275902218450685,2.5367884635925293,2948301.75,2.1592202186584473,0.4352792799472809,0.40642380714416504,0.9225848998108829,0.0008557807318864872,0.1488371026409433,0.3867702093289799
