target,source,kind,layer,rank,subspace_overlap
2,preprocess,k,15,32,0.08706402778625488
2,preprocess,k,16,1,0.017376994714140892
2,preprocess,k,16,2,0.37951189279556274
2,preprocess,k,16,4,0.3547897934913635
2,preprocess,k,16,8,0.2564835548400879
2,preprocess,k,16,16,0.1544179767370224
2,preprocess,k,16,32,0.08522260934114456
2,preprocess,k,17,1,0.2303323894739151
2,preprocess,k,17,2,0.4221433401107788
2,preprocess,k,17,4,0.36521872878074646
2,preprocess,k,17,8,0.2709415853023529
2,preprocess,k,17,16,0.16175498068332672
2,preprocess,k,17,32,0.09005186706781387
2,preprocess,k,18,1,0.6709485054016113
2,preprocess,k,18,2,0.42782801389694214
2,preprocess,k,18,4,0.3632345497608185
2,preprocess,k,18,8,0.26865899562835693
2,preprocess,k,18,16,0.16050748527050018
2,preprocess,k,18,32,0.08833684772253036
2,preprocess,k,19,1,0.627264678478241
2,preprocess,k,19,2,0.3548845946788788
2,preprocess,k,19,4,0.3836919665336609
2,preprocess,k,19,8,0.2713654041290283
2,preprocess,k,19,16,0.16055385768413544
2,preprocess,k,19,32,0.08886554837226868
2,preprocess,k,20,1,0.7267313599586487
2,preprocess,k,20,2,0.39035463333129883
2,preprocess,k,20,4,0.4368205666542053
2,preprocess,k,20,8,0.3007238507270813
2,preprocess,k,20,16,0.1825544834136963
2,preprocess,k,20,32,0.10088372975587845
2,preprocess,k,21,1,0.58910071849823
2,preprocess,k,21,2,0.460601806640625
2,preprocess,k,21,4,0.43722811341285706
2,preprocess,k,21,8,0.28469419479370117
2,preprocess,k,21,16,0.17747391760349274
2,preprocess,k,21,32,0.09813293069601059
2,preprocess,k,22,1,0.4434435963630676
2,preprocess,k,22,2,0.38728582859039307
2,preprocess,k,22,4,0.41454261541366577
2,preprocess,k,22,8,0.2805715501308441
2,preprocess,k,22,16,0.17296920716762543
2,preprocess,k,22,32,0.09497382491827011
2,preprocess,k,23,1,0.4432869851589203
2,preprocess,k,23,2,0.40449535846710205
2,preprocess,k,23,4,0.4357791543006897
2,preprocess,k,23,8,0.29784664511680603
2,preprocess,k,23,16,0.18785768747329712
2,preprocess,k,23,32,0.10101979970932007
2,preprocess,k,24,1,0.6446259617805481
2,preprocess,k,24,2,0.47421422600746155
2,preprocess,k,24,4,0.4353873133659363
2,preprocess,k,24,8,0.2813872694969177
2,preprocess,k,24,16,0.17754781246185303
2,preprocess,k,24,32,0.09749169647693634
2,preprocess,k,25,1,0.6632295250892639
2,preprocess,k,25,2,0.3889644145965576
2,preprocess,k,25,4,0.39789247512817383
2,preprocess,k,25,8,0.26895415782928467
2,preprocess,k,25,16,0.16996163129806519
2,preprocess,k,25,32,0.09397339075803757
2,preprocess,k,26,1,0.6745755672454834
2,preprocess,k,26,2,0.4415237307548523
2,preprocess,k,26,4,0.4115809202194214
2,preprocess,k,26,8,0.27088144421577454
2,preprocess,k,26,16,0.1694355607032776
2,preprocess,k,26,32,0.0935574620962143
2,preprocess,k,27,1,0.6656764149665833
2,preprocess,k,27,2,0.41306594014167786
2,preprocess,k,27,4,0.40173906087875366
2,preprocess,k,27,8,0.2668609023094177
2,preprocess,k,27,16,0.16707372665405273
2,preprocess,k,27,32,0.09235955774784088
2,preprocess,k,28,1,0.66263747215271
2,preprocess,k,28,2,0.5003865361213684
2,preprocess,k,28,4,0.3983286917209625
2,preprocess,k,28,8,0.2719603478908539
2,preprocess,k,28,16,0.16782884299755096
2,preprocess,k,28,32,0.09249521046876907
2,preprocess,k,29,1,0.5964251756668091
2,preprocess,k,29,2,0.3921016454696655
2,preprocess,k,29,4,0.3657863140106201
2,preprocess,k,29,8,0.25544026494026184
2,preprocess,k,29,16,0.15638737380504608
2,preprocess,k,29,32,0.08619887381792068
2,preprocess,k,30,1,0.6049861311912537
2,preprocess,k,30,2,0.49598991870880127
2,preprocess,k,30,4,0.3527646064758301
2,preprocess,k,30,8,0.2537086009979248
2,preprocess,k,30,16,0.15472713112831116
2,preprocess,k,30,32,0.08720039576292038
2,preprocess,k,31,1,0.5353666543960571
2,preprocess,k,31,2,0.4705260396003723
2,preprocess,k,31,4,0.33000871539115906
2,preprocess,k,31,8,0.2485835701227188
2,preprocess,k,31,16,0.15187624096870422
2,preprocess,k,31,32,0.08437364548444748
2,preprocess,k,32,1,0.5386921763420105
2,preprocess,k,32,2,0.49430781602859497
2,preprocess,k,32,4,0.3379877507686615
2,preprocess,k,32,8,0.25359711050987244
2,preprocess,k,32,16,0.15743795037269592
2,preprocess,k,32,32,0.08926159143447876
2,preprocess,k,33,1,0.531222939491272
2,preprocess,k,33,2,0.3935489356517792
2,preprocess,k,33,4,0.33893173933029175
2,preprocess,k,33,8,0.24191124737262726
2,preprocess,k,33,16,0.14856219291687012
2,preprocess,k,33,32,0.08294845372438431
2,preprocess,k,34,1,0.5245549082756042
2,preprocess,k,34,2,0.4204978346824646
2,preprocess,k,34,4,0.3330771327018738
2,preprocess,k,34,8,0.25106996297836304
2,preprocess,k,34,16,0.15510037541389465
2,preprocess,k,34,32,0.08629781752824783
2,preprocess,k,35,1,0.5848698019981384
2,preprocess,k,35,2,0.37801292538642883
2,preprocess,k,35,4,0.34426894783973694
2,preprocess,k,35,8,0.26598209142684937
2,preprocess,k,35,16,0.1630052924156189
2,preprocess,k,35,32,0.09078271687030792
2,preprocess,k,36,1,0.499075710773468
2,preprocess,k,36,2,0.4742266535758972
2,preprocess,k,36,4,0.3288421630859375
2,preprocess,k,36,8,0.24964562058448792
2,preprocess,k,36,16,0.15563325583934784
2,preprocess,k,36,32,0.08880345523357391
2,preprocess,k,37,1,0.5936987996101379
2,preprocess,k,37,2,0.5240249633789062
2,preprocess,k,37,4,0.3528689742088318
2,preprocess,k,37,8,0.27102887630462646
2,preprocess,k,37,16,0.1706176996231079
2,preprocess,k,37,32,0.09763552248477936
2,preprocess,k,38,1,0.4911608397960663
2,preprocess,k,38,2,0.3253849744796753
2,preprocess,k,38,4,0.35105812549591064
2,preprocess,k,38,8,0.27157261967658997
2,preprocess,k,38,16,0.17371270060539246
2,preprocess,k,38,32,0.09805065393447876
2,preprocess,k,39,1,0.4252757132053375
2,preprocess,k,39,2,0.5096660852432251
2,preprocess,k,39,4,0.3469769358634949
2,preprocess,k,39,8,0.27145087718963623
2,preprocess,k,39,16,0.17769628763198853
2,preprocess,k,39,32,0.10132646560668945
2,preprocess,k,40,1,0.3401147127151489
2,preprocess,k,40,2,0.4213131070137024
2,preprocess,k,40,4,0.34397897124290466
2,preprocess,k,40,8,0.25017380714416504
2,preprocess,k,40,16,0.15413600206375122
2,preprocess,k,40,32,0.08851826190948486
2,preprocess,k,41,1,0.038779955357313156
