example_id,sub_q_idx,doc_rank,chunk_id,kind,doc_len,full_prompt_len,layer,head,diff_l2,base_l2,relative_l2,energy_share
0,0,0,1,key,50,968,0,0,0.0,656.9539794921875,0.0,0.0
0,0,0,1,key,50,968,0,1,0.0,198.73312377929688,0.0,0.0
0,0,0,1,key,50,968,0,2,0.0,599.3231811523438,0.0,0.0
0,0,0,1,key,50,968,0,3,0.0,460.460693359375,0.0,0.0
0,0,0,1,key,50,968,0,4,0.0,223.1583251953125,0.0,0.0
0,0,0,1,key,50,968,0,5,0.0,439.8925476074219,0.0,0.0
0,0,0,1,key,50,968,0,6,0.0,523.670654296875,0.0,0.0
0,0,0,1,key,50,968,0,7,0.0,611.4922485351562,0.0,0.0
0,0,0,1,key,50,968,1,0,0.1660035401582718,213.08340454101562,0.0007790542886990414,2.120544570722234e-05
0,0,0,1,key,50,968,1,1,0.06820948421955109,149.07443237304688,0.0004575532043540628,3.5801582776605157e-06
0,0,0,1,key,50,968,1,2,0.07080633193254471,152.57894897460938,0.0004640635710783872,3.8579526800009415e-06
0,0,0,1,key,50,968,1,3,0.05957923084497452,151.493408203125,0.00039327936146957136,2.731508074392725e-06
0,0,0,1,key,50,968,1,4,0.05691983923316002,154.21327209472656,0.0003690981875943612,2.493101992040308e-06
0,0,0,1,key,50,968,1,5,0.15234604477882385,198.51499938964844,0.000767428381972265,1.7859738268414057e-05
0,0,0,1,key,50,968,1,6,0.05799371749162674,162.40333557128906,0.0003570968372516541,2.5880615190389293e-06
0,0,0,1,key,50,968,1,7,0.08845236897468567,163.845947265625,0.0005398508199368963,6.020487617839375e-06
0,0,0,1,key,50,968,2,0,0.348320871591568,155.12045288085938,0.002245486427628563,9.336233961718335e-05
0,0,0,1,key,50,968,2,1,0.3223123848438263,170.48133850097656,0.0018906021484690427,7.994047198843287e-05
0,0,0,1,key,50,968,2,2,0.3512769043445587,151.1580047607422,0.002323905405476666,9.495369625734228e-05
0,0,0,1,key,50,968,2,3,0.3013192415237427,208.76068115234375,0.001443371615097637,6.98660919805625e-05
0,0,0,1,key,50,968,2,4,0.3654632568359375,220.94602966308594,0.0016540838384524038,0.00010277800065899381
0,0,0,1,key,50,968,2,5,0.33701378107070923,195.70217895507812,0.0017220747508798373,8.739931447064106e-05
0,0,0,1,key,50,968,2,6,0.29917070269584656,121.84339904785156,0.0024553706235522104,6.887328931238343e-05
0,0,0,1,key,50,968,2,7,0.3591718077659607,143.06056213378906,0.0025106276838900133,9.926980932322293e-05
0,0,0,1,key,50,968,3,0,0.4455289840698242,151.51516723632812,0.0029404909897561646,0.00015274416251785674
0,0,0,1,key,50,968,3,1,0.399575799703598,128.51881408691406,0.003109084086578731,0.0001228601629454384
0,0,0,1,key,50,968,3,2,0.408040314912796,132.2604522705078,0.003085127170730083,0.0001281205694347
0,0,0,1,key,50,968,3,3,0.368503600358963,124.07408142089844,0.0029700288419535386,0.0001044951510989536
0,0,0,1,key,50,968,3,4,0.41376662254333496,139.19859313964844,0.0029724914110893937,0.000131741809498627
0,0,0,1,key,50,968,3,5,0.33736756443977356,119.02632141113281,0.0028343946149058754,8.758291688825297e-05
0,0,0,1,key,50,968,3,6,0.41141408681869507,127.3223876953125,0.0032312784441587915,0.00013024799307614332
0,0,0,1,key,50,968,3,7,0.45514142513275146,145.45751953125,0.0031290333191400675,0.0001594062860904652
0,0,0,1,key,50,968,4,0,0.49358561635017395,143.77439880371094,0.0034330563748281914,0.0001874725506359083
0,0,0,1,key,50,968,4,1,0.44857174158096313,129.73191833496094,0.003457682175197404,0.0001548376337012343
0,0,0,1,key,50,968,4,2,0.5443299412727356,139.93338012695312,0.0038899220527574903,0.00022800120193967326
0,0,0,1,key,50,968,4,3,0.5249657034873962,142.18618774414062,0.0036921005606539723,0.00021206769520556922
0,0,0,1,key,50,968,4,4,0.48780331015586853,149.80809020996094,0.003256188030113681,0.00018310583567963788
0,0,0,1,key,50,968,4,5,0.4784434139728546,128.12330627441406,0.0037342418634445976,0.00017614644176749725
0,0,0,1,key,50,968,4,6,0.4944049119949341,138.73660278320312,0.0035636227360094207,0.00018809543662950774
0,0,0,1,key,50,968,4,7,0.44819143414497375,130.25184631347656,0.003440960315190542,0.00015457518727765815
0,0,0,1,key,50,968,5,0,0.7515749931335449,181.18038940429688,0.004148213808374321,0.0004346676928739514
0,0,0,1,key,50,968,5,1,0.5743849873542786,150.32826232910156,0.003820871594303538,0.0002538743509719207
0,0,0,1,key,50,968,5,2,0.5222074389457703,135.86073303222656,0.0038436966096885208,0.0002098450877227197
0,0,0,1,key,50,968,5,3,0.7052915692329407,179.51358032226562,0.003928903696125865,0.00038278072315949007
0,0,0,1,key,50,968,5,4,0.569959282875061,147.25355529785156,0.0038705977707783937,0.0002499771912867724
0,0,0,1,key,50,968,5,5,0.4067036807537079,122.7855224609375,0.003312309730026125,0.00012728257094082583
0,0,0,1,key,50,968,5,6,0.4362380802631378,127.24658203125,0.0034282891791623947,0.00014644004760641982
0,0,0,1,key,50,968,5,7,0.5478248596191406,159.57261657714844,0.003433075620178734,0.00023093842782562107
0,0,0,1,key,50,968,6,0,0.8085544109344482,191.61410522460938,0.004219701936799796,0.0005030732386303002
0,0,0,1,key,50,968,6,1,0.7258026599884033,209.3812255859375,0.003466417096171331,0.00040536826954761554
0,0,0,1,key,50,968,6,2,0.8286303877830505,198.8890838623047,0.004166293954859411,0.0005283654233800893
0,0,0,1,key,50,968,6,3,0.6908783912658691,178.3971710205078,0.0038726981336853414,0.00036729576497473293
0,0,0,1,key,50,968,6,4,0.8354346752166748,193.3074951171875,0.004321791427229506,0.0005370783969653118
0,0,0,1,key,50,968,6,5,0.8812499046325684,198.0326385498047,0.004450023547057531,0.0005976004135831265
0,0,0,1,key,50,968,6,6,0.9879942536354065,202.32530212402344,0.004883196729540879,0.0007511411574119688
0,0,0,1,key,50,968,6,7,0.8186132907867432,188.83880615234375,0.004334984463555288,0.0005156681443206944
0,0,0,1,key,50,968,7,0,0.8240908980369568,184.61477661132812,0.00446384039871262,0.0005225922900544851
0,0,0,1,key,50,968,7,1,0.6911441087722778,196.34628295898438,0.003520026446931264,0.00036757834666219404
0,0,0,1,key,50,968,7,2,0.8617483377456665,213.200927734375,0.004041953976951294,0.0005714438802048348
0,0,0,1,key,50,968,7,3,0.83863365650177,185.76373291015625,0.0045145176798711655,0.0005411993378634326
0,0,0,1,key,50,968,7,4,0.7694231867790222,199.33103942871094,0.003860026963107249,0.00045555754755948196
0,0,0,1,key,50,968,7,5,0.694319486618042,212.17083740234375,0.003272454853450887,0.000370963708301646
0,0,0,1,key,50,968,7,6,0.7815147042274475,204.5158233642578,0.003821292119952539,0.0004699882939611762
0,0,0,1,key,50,968,7,7,0.7114472985267639,199.20709228515625,0.003571395427570192,0.0003894916827736055
0,0,0,1,key,50,968,8,0,0.8053845763206482,270.8038024902344,0.0029740519479954076,0.0004991364505442485
0,0,0,1,key,50,968,8,1,0.8353484272956848,336.31451416015625,0.0024838310335244147,0.0005369674924822278
0,0,0,1,key,50,968,8,2,0.9443643093109131,265.3926086425781,0.003558367032680807,0.0006862650619772921
0,0,0,1,key,50,968,8,3,0.8252116441726685,199.3000030517578,0.00414055008297395,0.0005240146010637645
0,0,0,1,key,50,968,8,4,1.2225022315979004,303.0717468261719,0.004033705696423981,0.001150037659603237
0,0,0,1,key,50,968,8,5,0.9290106892585754,255.60726928710938,0.003634523743591447,0.0006641315451499811
0,0,0,1,key,50,968,8,6,1.0437294244766235,308.7122802734375,0.00338091320355689,0.0008382790115824358
0,0,0,1,key,50,968,8,7,0.8774681091308594,215.7566375732422,0.004066934482295981,0.0005924823413937536
0,0,0,1,key,50,968,9,0,0.8197782039642334,168.88792419433594,0.004853977617848664,0.0005171367801967707
0,0,0,1,key,50,968,9,1,0.7287947535514832,182.69180297851562,0.0039892033559775246,0.0004087174198184178
0,0,0,1,key,50,968,9,2,0.8790839910507202,181.77069091796875,0.004836225172557863,0.0005946664441977159
0,0,0,1,key,50,968,9,3,0.8205902576446533,187.92201232910156,0.004366653206158609,0.0005181617981405106
0,0,0,1,key,50,968,9,4,0.8751659989356995,177.1651611328125,0.004939831247519501,0.0005893775203956515
0,0,0,1,key,50,968,9,5,0.8748873472213745,199.38311767578125,0.004387971044991044,0.0005890022889745965
0,0,0,1,key,50,968,9,6,0.9390023946762085,169.3262176513672,0.005545522764877168,0.0006784941802376224
0,0,0,1,key,50,968,9,7,0.8054805994033813,148.9590606689453,0.005407395802485085,0.0004992555192117779
0,0,0,1,key,50,968,10,0,1.119183897972107,274.8611145019531,0.004071816051535912,0.0009638636156234382
0,0,0,1,key,50,968,10,1,0.9619559645652771,164.38723754882812,0.005851767928635825,0.0007120707188892507
0,0,0,1,key,50,968,10,2,1.0473964214324951,275.9241638183594,0.003795957581018498,0.000844179698823448
0,0,0,1,key,50,968,10,3,1.0207335948944092,244.91012573242188,0.004167788456446321,0.0008017473133588027
0,0,0,1,key,50,968,10,4,1.0691009759902954,260.9776916503906,0.004096522462243531,0.0008795290580210507
0,0,0,1,key,50,968,10,5,1.1173779964447021,402.0209655761719,0.002779402300184235,0.0009607556298572084
0,0,0,1,key,50,968,10,6,1.1060068607330322,305.8187561035156,0.0036165435855695515,0.0009413006535210585
0,0,0,1,key,50,968,10,7,0.9025831818580627,332.5441589355469,0.002714175418829104,0.0006268839672026192
0,0,0,1,key,50,968,11,0,0.8300217986106873,179.35903930664062,0.0046277109969999255,0.0005301414086941914
0,0,0,1,key,50,968,11,1,0.7814300656318665,168.05799865722656,0.004649764199713443,0.0004698864709866325
0,0,0,1,key,50,968,11,2,0.9050875902175903,180.8011932373047,0.005005982394317731,0.0006303676430519515
0,0,0,1,key,50,968,11,3,0.909921407699585,177.09564208984375,0.00513802257899695,0.0006371188273276321
0,0,0,1,key,50,968,11,4,0.8567479252815247,174.85830688476562,0.004899669569865675,0.0005648313953323165
0,0,0,1,key,50,968,11,5,0.8527876138687134,165.25559997558594,0.005160415828538912,0.0005596215907334446
0,0,0,1,key,50,968,11,6,0.872347891330719,174.75868225097656,0.004991728480064339,0.0005855879169606405
0,0,0,1,key,50,968,11,7,1.0696412324905396,161.8035125732422,0.006610741729147244,0.0008804180368015039
0,0,0,1,key,50,968,12,0,0.7401085495948792,123.0586929321289,0.006014272799103014,0.00042150578916044497
0,0,0,1,key,50,968,12,1,1.0183038711547852,148.0438995361328,0.006878391303832433,0.0007979349144200313
0,0,0,1,key,50,968,12,2,1.0846961736679077,143.0185546875,0.007584303841120441,0.0009053759486510792
0,0,0,1,key,50,968,12,3,0.8178173899650574,135.6151885986328,0.006030426225969914,0.000514665921880715
0,0,0,1,key,50,968,12,4,0.7500750422477722,136.0273895263672,0.005514147149772173,0.0004329343631302662
0,0,0,1,key,50,968,12,5,1.2020424604415894,157.73463439941406,0.007620662798747052,0.0011118656941653553
0,0,0,1,key,50,968,12,6,0.8274518847465515,134.255615234375,0.006163257181474547,0.0005268636262379791
0,0,0,1,key,50,968,12,7,0.7648923993110657,143.33349609375,0.0053364525401010795,0.0004502081720995577
0,0,0,1,key,50,968,13,0,0.9708605408668518,134.13442993164062,0.007237966727570449,0.0007253145396444396
0,0,0,1,key,50,968,13,1,0.7751194834709167,133.99484252929688,0.005784696402038291,0.00046232776631013363
