part,target,source,context_index,method,original_gap,delta_recovery_error,final_kv_error,explained_delta_energy,cosine
t5,5,preprocess,40,mean,0.9423921166392888,0.2079065401812233,0.19592948446453437,0.9567748705498734,0.9782085292071615
t5,5,preprocess,40,oracle_r4,0.9423921166392888,0.18119826296763478,0.1707598145694318,0.9671671894975119,0.9834509840580936
t5,5,preprocess,40,oracle_r8,0.9423921166392888,0.15114654474782996,0.14243931222762246,0.9771547220107922,0.9885156219668393
t5,5,preprocess,40,position_r4,0.9423921166392888,0.1908193085302581,0.17982661206147543,0.9635879914920342,0.9816753321451849
t5,5,preprocess,40,position_r8,0.9423921166392888,0.18968722347398276,0.17875974402907638,0.9640187572507313,0.9818786734953006
t5,5,preprocess,40,cached_prefix_r4,0.9423921166392888,0.21281001010004086,0.2005504758602059,0.9547118996012205,0.9771480235999218
t5,5,preprocess,40,cached_prefix_r8,0.9423921166392888,0.21117055807814436,0.19900546919916232,0.9554069954009651,0.9775032728817897
t5,5,preprocess,41,mean,0.9339640848727957,0.1797486951677041,0.16787882558938383,0.9676904065855078,0.9837421166827367
t5,5,preprocess,41,oracle_r4,0.9339640848727957,0.15377343336708144,0.14361886397243404,0.9763537311904997,0.9881090310902093
t5,5,preprocess,41,oracle_r8,0.9339640848727957,0.14449877075946815,0.13495666219761054,0.9791201052490027,0.9895052411294194
t5,5,preprocess,41,position_r4,0.9339640848727957,0.16825912208804186,0.15714797698245803,0.9716888678341614,0.9858523651006309
t5,5,preprocess,41,position_r8,0.9339640848727957,0.1629432698556308,0.1521831619168952,0.9734494908087551,0.986711932188891
t5,5,preprocess,41,cached_prefix_r4,0.9339640848727957,0.1712152986198493,0.15990893969171,0.9706853215185158,0.9852816451615021
t5,5,preprocess,41,cached_prefix_r8,0.9339640848727957,0.17106306857009174,0.15976676229259804,0.9707374265713841,0.985304464375144
t5,5,preprocess,42,mean,0.9393064864672072,0.18960915519981014,0.17810110937274906,0.9640483682644143,0.9819253439379029
t5,5,preprocess,42,oracle_r4,0.9393064864672072,0.15973188914358402,0.15003719956822933,0.9744857235906218,0.9871604759836442
t5,5,preprocess,42,oracle_r8,0.9393064864672072,0.14166947904117916,0.13307106059780963,0.9799297587082009,0.9899221704948511
t5,5,preprocess,42,position_r4,0.9393064864672072,0.17023603704030787,0.1599038138224329,0.9710196916928109,0.9854483985880438
t5,5,preprocess,42,position_r8,0.9393064864672072,0.1630696017393051,0.15317233465935345,0.9734083049885844,0.9866374419781029
t5,5,preprocess,42,cached_prefix_r4,0.9393064864672072,0.1722005926564895,0.16174913365573787,0.9703469558887537,0.9851162608582335
t5,5,preprocess,42,cached_prefix_r8,0.9393064864672072,0.17038496684967,0.1600437045583951,0.9709689630716368,0.9854300542111658
t5,5,preprocess,43,mean,0.9332083203616374,0.18645014852657385,0.1739968299376618,0.9652363421144186,0.982480229920985
t5,5,preprocess,43,oracle_r4,0.9332083203616374,0.16285414084386893,0.15197683924084446,0.9734785288100053,0.9866564477301816
t5,5,preprocess,43,oracle_r8,0.9332083203616374,0.1427933421604432,0.1332559349963718,0.9796100614346506,0.9897538558788268
t5,5,preprocess,43,position_r4,0.9332083203616374,0.19668939872127836,0.18355218341362456,0.961313280430662,0.9809244921384785
t5,5,preprocess,43,position_r8,0.9332083203616374,0.18567023111453984,0.17326900451955674,0.9655265652778734,0.9829567127369487
t5,5,preprocess,43,cached_prefix_r4,0.9332083203616374,0.17584555852538344,0.1641005383145271,0.9690783395468959,0.9844307704108622
t5,5,preprocess,43,cached_prefix_r8,0.9332083203616374,0.17525741967392947,0.1635516822448223,0.9692848368492362,0.9845341598496316
t5,5,preprocess,44,mean,0.9345102419175925,0.1937429925716127,0.1810548108579361,0.962463652829396,0.9810678653665796
t5,5,preprocess,44,oracle_r4,0.9345102419175925,0.15754742074216105,0.14722967827124964,0.9751788102174925,0.9875122290859533
