part,target,source,context_index,method,original_gap,final_kv_error,remaining_delta,explained_delta_energy
strict_t5,5,raw,40,mean,0.3852275235348038,0.31843994004568055,0.8266282147332362,0.3166857946069428
strict_t5,5,raw,40,position,0.3852275235348038,0.2694564924186311,0.6994736252127811,0.5107366476316897
strict_t5,5,raw,40,prefix_v,0.3852275235348038,0.24513943388835682,0.6363497385622537,0.5950590102317512
strict_t5,5,raw,40,prefix_v_position,0.3852275235348038,0.23747334282894175,0.616449574137158,0.6199899225461166
strict_t5,5,raw,40,oracle_r8,0.3852275235348038,0.22539804703396257,0.5851036939565892,0.657653667318354
strict_t5,5,raw,41,mean,0.4113271339055462,0.2396096813065604,0.5825282641372801,0.6606608214812073
strict_t5,5,raw,41,position,0.4113271339055462,0.22112228788957408,0.5375825460139734,0.7110050062211342
strict_t5,5,raw,41,prefix_v,0.4113271339055462,0.21359027029927052,0.51927104412304,0.7303575827353678
strict_t5,5,raw,41,prefix_v_position,0.4113271339055462,0.21313079296224013,0.5181539835180963,0.7315164493643285
strict_t5,5,raw,41,oracle_r8,0.4113271339055462,0.19940603029681225,0.48478695874851335,0.7649816046273672
strict_t5,5,raw,42,mean,0.39414375322823897,0.21205213005925236,0.5380070807222921,0.710548381092677
strict_t5,5,raw,42,position,0.39414375322823897,0.2723177828362403,0.6909098028468507,0.522643644330126
strict_t5,5,raw,42,prefix_v,0.39414375322823897,0.22752549446602297,0.5772652556395295,0.6667648246314287
strict_t5,5,raw,42,prefix_v_position,0.39414375322823897,0.26389801394043594,0.6695476251468562,0.5517059776602049
strict_t5,5,raw,42,oracle_r8,0.39414375322823897,0.19421654666251945,0.49275561282345987,0.7571919060309765
strict_t5,5,raw,43,mean,0.39959333097192895,0.22088807477451222,0.5527821854214814,0.694431855480651
strict_t5,5,raw,43,position,0.39959333097192895,0.26872839908557933,0.6725047148108116,0.5477374085572289
strict_t5,5,raw,43,prefix_v,0.39959333097192895,0.2185961362446695,0.5470465077907561,0.7007401183139382
strict_t5,5,raw,43,prefix_v_position,0.39959333097192895,0.253567124709217,0.6345629545229569,0.5973298567470958
strict_t5,5,raw,43,oracle_r8,0.39959333097192895,0.19378456963901908,0.4849544639988806,0.7648191678475584
strict_t5,5,raw,44,mean,0.4204708034758715,0.23294018843812597,0.5539984857747515,0.6930856777592824
strict_t5,5,raw,44,position,0.4204708034758715,0.22132522183656056,0.5263747684903434,0.7229296030967374
strict_t5,5,raw,44,prefix_v,0.4204708034758715,0.21640907407412563,0.5146827610505997,0.7351016554773313
strict_t5,5,raw,44,prefix_v_position,0.4204708034758715,0.21632985989234638,0.5144943670381631,0.735295546286
strict_t5,5,raw,44,oracle_r8,0.4204708034758715,0.20355931977036706,0.4841223649481009,0.7656255357570578
strict_t5,5,raw,45,mean,0.39707231895188944,0.21201222127534433,0.5339385576787901,0.7149096166238933
strict_t5,5,raw,45,position,0.39707231895188944,0.25895672495308997,0.6521651411929977,0.5746806286127174
strict_t5,5,raw,45,prefix_v,0.39707231895188944,0.22626318261833941,0.5698286478785095,0.6752953120569496
strict_t5,5,raw,45,prefix_v_position,0.39707231895188944,0.2575882052554493,0.6487186161336507,0.5791641570816412
strict_t5,5,raw,45,oracle_r8,0.39707231895188944,0.19157913083767972,0.4824791900462144,0.7672138311723489
strict_t5,5,raw,46,mean,0.39055223750660123,0.2094143983393959,0.536200738923833,0.7124887675775355
strict_t5,5,raw,46,position,0.39055223750660123,0.25469535651620323,0.6521415883884119,0.5747113486942392
strict_t5,5,raw,46,prefix_v,0.39055223750660123,0.22253891650787336,0.5698057651100051,0.6753213900474017
strict_t5,5,raw,46,prefix_v_position,0.39055223750660123,0.2509647492938927,0.6425894546043941,0.5870787928312273
strict_t5,5,raw,46,oracle_r8,0.39055223750660123,0.18873901262541473,0.483261890471757,0.7664579452176635
strict_t5,5,raw,47,mean,0.39208086005299264,0.2086290500048595,0.5321072035412842,0.7168619239394745
strict_t5,5,raw,47,position,0.39208086005299264,0.2680399662741711,0.6836344070402812,0.5326439975106831
strict_t5,5,raw,47,prefix_v,0.39208086005299264,0.21918224844469328,0.5590230760437251,0.6874932004506115
strict_t5,5,raw,47,prefix_v_position,0.39208086005299264,0.2570832627305675,0.6556893970693208,0.5700714145708705
strict_t5,5,raw,47,oracle_r8,0.39208086005299264,0.1935113892683333,0.4935496959534796,0.7564086976242279
strict_t5,5,raw,48,mean,0.41382612365543503,0.28946034019628764,0.6994733383175723,0.5107370489828711
strict_t5,5,raw,48,position,0.41382612365543503,0.3493829055924,0.8442746497157039,0.28720031584742556
strict_t5,5,raw,48,prefix_v,0.41382612365543503,0.28305575875895955,0.68399683485096,0.5321483299138685
strict_t5,5,raw,48,prefix_v_position,0.41382612365543503,0.3220140735556263,0.7781385832078247,0.39450034532331935
strict_t5,5,raw,48,oracle_r8,0.41382612365543503,0.25874849843422515,0.6252589762788092,0.6090512125827756
strict_t5,5,raw,49,mean,0.40021161672451705,0.27030714372615333,0.6754105389005173,0.543820603942113
strict_t5,5,raw,49,position,0.40021161672451705,0.32080207990846354,0.8015811298383312,0.3574676922871045
strict_t5,5,raw,49,prefix_v,0.40021161672451705,0.25539913627234545,0.6381602272383504,0.592751524371097
strict_t5,5,raw,49,prefix_v_position,0.40021161672451705,0.2892103392149413,0.7226435393903553,0.47778631497738
strict_t5,5,raw,49,oracle_r8,0.40021161672451705,0.2313129725354356,0.5779766575208092,0.6659429833610733
