example_id,sub_q_idx,doc_rank,chunk_id,kind,doc_len,full_prompt_len,token,layer0_delta_l2,layer0_base_l2,layer0_relative_l2,layer0_energy_share
0,0,0,1,key,50,968,0,3.5924196243286133,599.3538208007812,0.005993821178162955,0.009930866382700871
0,0,0,1,key,50,968,1,4.450882434844971,571.6527709960938,0.007785989433917004,0.015244222151322873
0,0,0,1,key,50,968,2,3.7810966968536377,592.2081909179688,0.006384742316705612,0.011001415961989012
0,0,0,1,key,50,968,3,4.269343852996826,586.1394653320312,0.007283836195159385,0.014026047127562252
0,0,0,1,key,50,968,4,4.460093021392822,582.4961547851562,0.007656862598582893,0.015307379595794224
0,0,0,1,key,50,968,5,4.029038906097412,566.6237182617188,0.00711060758003149,0.012491538889733244
0,0,0,1,key,50,968,6,4.477598667144775,592.1519775390625,0.00756157006475486,0.015427776639088243
0,0,0,1,key,50,968,7,5.671013355255127,592.4993896484375,0.009571340417110035,0.024747673159451356
0,0,0,1,key,50,968,8,4.520012855529785,594.045166015625,0.007608870695550595,0.01572144092308622
0,0,0,1,key,50,968,9,3.916018009185791,600.7518920898438,0.006518527965951267,0.011800554088827419
0,0,0,1,key,50,968,10,5.682111740112305,577.3344116210938,0.009841976549011738,0.024844630719856122
0,0,0,1,key,50,968,11,5.313642501831055,561.2339477539062,0.009467785266904432,0.021726896225691964
0,0,0,1,key,50,968,12,4.208320617675781,599.9808349609375,0.007014091738363213,0.01362795459011591
0,0,0,1,key,50,968,13,3.6762657165527344,599.846435546875,0.006128678106090782,0.010399843908601778
0,0,0,1,key,50,968,14,4.333808422088623,580.2947387695312,0.007468288324099079,0.014452814503906989
0,0,0,1,key,50,968,15,3.6113877296447754,592.7615966796875,0.006092479252828969,0.010036013818780155
0,0,0,1,key,50,968,16,3.939105272293091,593.0819702148438,0.006641755221232142,0.011940106341337946
0,0,0,1,key,50,968,17,4.754458904266357,587.8953857421875,0.008087253309981488,0.017394631055670382
0,0,0,1,key,50,968,18,4.04613733291626,576.8004150390625,0.007014796153782652,0.012597787115553724
0,0,0,1,key,50,968,19,4.514669418334961,589.720947265625,0.00765560294113384,0.015684292938619906
0,0,0,1,key,50,968,20,3.746748924255371,593.9134521484375,0.006308577303143717,0.010802448950127207
0,0,0,1,key,50,968,21,4.198176383972168,555.43603515625,0.0075583435683843755,0.01356233284434393
0,0,0,1,key,50,968,22,5.553618431091309,587.9711303710938,0.009445393054564044,0.023733681423206168
0,0,0,1,key,50,968,23,4.092259883880615,595.50927734375,0.006871865879460354,0.01288663287592456
0,0,0,1,key,50,968,24,3.6397759914398193,597.2930297851562,0.006093786148398592,0.010194415994818965
0,0,0,1,key,50,968,25,3.6565773487091064,594.5245361328125,0.006150422945525409,0.010288748538620886
0,0,0,1,key,50,968,26,4.608110427856445,581.150390625,0.007929290769125408,0.016340253545400103
0,0,0,1,key,50,968,27,4.344486713409424,599.462158203125,0.007247307697339766,0.014524125131061483
0,0,0,1,key,50,968,28,4.553493022918701,585.0825805664062,0.007782650132072897,0.015955204632527135
0,0,0,1,key,50,968,29,3.7295796871185303,583.3591918945312,0.006393281770372472,0.010703672151210155
0,0,0,1,key,50,968,30,4.490370750427246,577.9983520507812,0.007768829676581374,0.01551591613980618
0,0,0,1,key,50,968,31,4.623295307159424,558.3555908203125,0.008280198825209334,0.016448120665999974
0,0,0,1,key,50,968,32,4.105520725250244,582.0393676757812,0.007053682196179508,0.012970285557657373
0,0,0,1,key,50,968,33,5.612668991088867,584.7669677734375,0.009598129341094098,0.024241075043355247
0,0,0,1,key,50,968,34,4.237685680389404,581.4907836914062,0.007287623121879627,0.013818805112285944
0,0,0,1,key,50,968,35,4.208971977233887,593.0924072265625,0.00709665462910916,0.013632172816404184
0,0,0,1,key,50,968,36,3.824019193649292,576.7875366210938,0.00662985753133806,0.011252607374612585
0,0,0,1,key,50,968,37,4.24053430557251,563.526611328125,0.007524993887295526,0.01383739084627634
0,0,0,1,key,50,968,38,4.6271491050720215,583.8126831054688,0.007925742689348349,0.016475553814070294
0,0,0,1,key,50,968,39,4.600229263305664,583.5936279296875,0.007882589944693331,0.01628440828024962
0,0,0,1,key,50,968,40,3.680328130722046,590.859619140625,0.006228769087443965,0.010422840874015071
0,0,0,1,key,50,968,41,4.276092052459717,579.4235229492188,0.007379907585896319,0.014070422163609448
0,0,0,1,key,50,968,42,4.119725227355957,566.8714599609375,0.00726747687675057,0.013060190725120194
