base_method,example_id,sub_q_idx,doc_len,num_chunks,online_selected,base_selected,residual_size,residual_mapped,nonempty_chunks,nonempty_chunk_frac,top1_chunk_frac,top2_chunk_frac,top3_chunk_frac,entropy_norm,chunks_for_50pct,chunks_for_70pct,chunks_for_80pct,chunks_for_90pct,chunks_for_95pct
freq,4,0,1214,11,212,154,94,94,9,0.8181818181818182,0.3829787234042553,0.7021276595744681,0.8297872340425532,0.6589386754359005,2,2,3,5,7
freq,179,1,1173,14,201,256,108,108,8,0.5714285714285714,0.2777777777777778,0.5185185185185185,0.7592592592592593,0.6483148570195215,2,3,4,5,6
freq,52,0,1099,11,191,177,66,66,7,0.6363636363636364,0.4696969696969697,0.6818181818181818,0.803030303030303,0.6172302335350753,2,3,3,5,5
freq,32,0,1470,11,246,151,131,131,10,0.9090909090909091,0.2366412213740458,0.44274809160305345,0.6259541984732825,0.8555624320304621,3,4,6,8,9
freq,79,1,1607,11,273,146,196,196,9,0.8181818181818182,0.25510204081632654,0.4897959183673469,0.6836734693877551,0.783314498494578,3,4,4,6,8
freq,153,0,1366,12,229,221,69,69,7,0.5833333333333334,0.42028985507246375,0.782608695652174,0.8840579710144928,0.5386800994200542,2,2,3,4,4
freq,4,1,2103,14,339,322,207,207,7,0.5,0.4106280193236715,0.6666666666666666,0.821256038647343,0.5496649795632198,2,3,3,4,4
freq,180,0,1575,11,257,140,131,131,8,0.7272727272727273,0.2900763358778626,0.5267175572519084,0.7175572519083969,0.7359228518277532,2,3,4,5,7
freq,103,0,1411,11,243,87,165,165,10,0.9090909090909091,0.26666666666666666,0.49696969696969695,0.6121212121212121,0.8344997506407661,3,4,5,7,8
freq,32,1,1755,13,291,309,141,141,10,0.7692307692307693,0.3404255319148936,0.574468085106383,0.7730496453900709,0.6713034313105378,2,3,4,5,6
freq,52,1,1373,11,235,144,119,119,8,0.7272727272727273,0.29411764705882354,0.5882352941176471,0.7310924369747899,0.7161866165584586,2,3,4,6,6
freq,103,1,1154,13,197,310,94,94,6,0.46153846153846156,0.3617021276595745,0.6702127659574468,0.8723404255319149,0.5414717710324146,2,3,3,4,4
freq,33,0,803,12,144,127,69,69,9,0.75,0.4057971014492754,0.6086956521739131,0.7391304347826086,0.6946515157955061,2,3,4,6,7
freq,52,2,1765,15,296,317,184,184,7,0.4666666666666667,0.29347826086956524,0.4945652173913043,0.6902173913043478,0.6063520824400465,3,4,4,5,5
freq,126,1,1548,15,257,302,169,169,9,0.6,0.3076923076923077,0.5976331360946746,0.7751479289940828,0.6336089732396788,2,3,4,5,7
freq,154,0,1514,12,250,245,90,90,5,0.4166666666666667,0.4,0.7111111111111111,0.9555555555555556,0.49800972706588365,2,2,3,3,3
freq,79,2,1415,13,244,287,146,146,9,0.6923076923076923,0.3561643835616438,0.6164383561643836,0.8013698630136986,0.6043242537582205,2,3,3,4,5
freq,6,0,1515,12,248,231,98,98,9,0.75,0.4897959183673469,0.7448979591836735,0.8571428571428571,0.5820897056107565,2,2,3,4,6
freq,53,0,1446,12,243,224,124,124,6,0.5,0.5403225806451613,0.7903225806451613,0.8709677419354839,0.5062677244740643,1,2,3,4,5
freq,35,0,1203,11,205,126,96,96,9,0.8181818181818182,0.3020833333333333,0.5833333333333334,0.6979166666666666,0.7370883231309251,2,4,4,5,6
freq,104,0,2210,14,366,324,181,181,9,0.6428571428571429,0.24861878453038674,0.47513812154696133,0.6187845303867403,0.7246195562793613,3,4,5,6,7
freq,127,0,1054,12,179,171,63,63,4,0.3333333333333333,0.3968253968253968,0.7936507936507936,0.9682539682539683,0.4619032968583291,2,2,3,3,3
freq,7,0,1618,11,269,172,118,118,6,0.5454545454545454,0.3050847457627119,0.5677966101694916,0.7542372881355932,0.6517899051204343,2,3,4,4,5
freq,180,1,1370,15,234,302,141,141,11,0.7333333333333333,0.24113475177304963,0.4326241134751773,0.6099290780141844,0.7582901977719789,3,4,5,7,8
freq,35,1,1241,13,208,267,114,114,6,0.46153846153846156,0.42105263157894735,0.6578947368421053,0.8859649122807017,0.5267845233736114,2,3,3,4,4
freq,80,0,1357,13,226,218,101,101,7,0.5384615384615384,0.26732673267326734,0.46534653465346537,0.6633663366336634,0.6820481439826576,3,4,4,5,6
freq,54,0,1011,11,180,140,85,85,7,0.6363636363636364,0.4,0.5882352941176471,0.7764705882352941,0.670132501717959,2,3,4,5,6
freq,183,0,1621,11,266,154,136,136,10,0.9090909090909091,0.3088235294117647,0.5073529411764706,0.6544117647058824,0.809499603874158,2,4,5,7,8
freq,7,1,1498,13,251,296,103,103,6,0.46153846153846156,0.4368932038834951,0.7475728155339806,0.912621359223301,0.5154980550571027,2,2,3,3,4
freq,155,0,1298,11,224,145,101,101,9,0.8181818181818182,0.36633663366336633,0.7128712871287128,0.7920792079207921,0.6731064222581102,2,2,4,6,7
freq,36,0,1490,11,246,174,103,103,8,0.7272727272727273,0.33980582524271846,0.6019417475728155,0.7864077669902912,0.6982153047233167,2,3,4,5,6
freq,183,1,1626,13,267,310,152,152,6,0.46153846153846156,0.506578947368421,0.6907894736842105,0.875,0.5094918978429785,1,3,3,4,4
freq,155,1,1561,13,256,302,116,116,5,0.38461538461538464,0.46551724137931033,0.7068965517241379,0.9310344827586207,0.4929050095419552,2,2,3,3,4
freq,54,1,1830,15,305,283,125,125,11,0.7333333333333333,0.288,0.512,0.648,0.7210425241907135,2,4,5,7,8
freq,105,0,2445,11,396,262,185,185,11,1.0,0.40540540540540543,0.5945945945945946,0.7027027027027027,0.7649231040893898,2,3,5,7,8
freq,36,1,1849,13,302,294,145,145,8,0.6153846153846154,0.3103448275862069,0.5793103448275863,0.7793103448275862,0.6634936659514985,2,3,4,5,7
freq,81,0,1365,11,233,164,95,95,9,0.8181818181818182,0.35789473684210527,0.5157894736842106,0.6526315789473685,0.7473655416792664,2,4,5,6,6
freq,55,0,1531,12,261,252,102,102,8,0.6666666666666666,0.3627450980392157,0.5294117647058824,0.6274509803921569,0.7450075756364596,2,4,5,7,7
freq,9,0,2027,11,328,221,152,152,9,0.8181818181818182,0.25,0.45394736842105265,0.6447368421052632,0.7552529311913571,3,4,4,5,6
freq,37,0,1104,11,192,89,117,117,7,0.6363636363636364,0.36752136752136755,0.6410256410256411,0.7948717948717948,0.6697412379391078,2,3,4,5,6
freq,156,0,1071,11,182,164,69,69,9,0.8181818181818182,0.37681159420289856,0.5652173913043478,0.7101449275362319,0.7627853302090526,2,3,5,7,8
