selector,rate,num_measured,end_to_end_ttft_s_mean,end_to_end_ttft_s_p50,end_to_end_ttft_s_p95,kv_load_copy_s_mean,selection_s_mean,score_forward_s_mean,online_update_query_prefill_s_mean,extra_impl_overhead_s_mean,selected_doc_tokens_mean,reprocess_prefill_tokens_mean,full_tokens_mean,summary_json,error
qk,0.0,57,2.6612873455313477,2.636314139701426,3.0054997289553285,0.4921676463757952,0.0,0.0,1.9390381966848254,0.23008150247072703,0.0,26.912280701754387,2265.0526315789475,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/online_ttft_profile_qwen235b/qk_rate_sweep/clean_online_ttft_topk10_rate0.0_n60_summary.json,
qk,0.05,57,5.165693616853995,5.117157566826791,5.883049791213125,0.4878019873837107,1.8640032815828658,1.8630319717585255,2.646969249521039,0.1669190983663787,71.78947368421052,98.70175438596492,2265.0526315789475,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/online_ttft_profile_qwen235b/qk_rate_sweep/clean_online_ttft_topk10_rate0.05_n60_summary.json,
qk,0.15,57,5.799084596344057,5.70230393204838,6.459082990884781,0.47957755183278206,1.8631829996348213,1.8620951963147443,3.2904309986992493,0.16589304617720477,216.47368421052633,243.3859649122807,2265.0526315789475,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/online_ttft_profile_qwen235b/qk_rate_sweep/clean_online_ttft_topk10_rate0.15_n60_summary.json,
qk,0.3,57,6.397677562991974,6.353662439156324,7.404510451015085,0.4806005726159926,1.860609208339858,1.8596399961235492,3.9059750116675307,0.1504927703685928,433.4035087719298,460.3157894736842,2265.0526315789475,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/online_ttft_profile_qwen235b/qk_rate_sweep/clean_online_ttft_topk10_rate0.3_n60_summary.json,
qk,0.5,57,7.196267739305959,7.144970888737589,8.290991735178977,0.4907392321252509,1.868419485648669,1.8674056321349846,4.72120806582174,0.11590095571029865,722.7894736842105,749.7017543859649,2265.0526315789475,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/online_ttft_profile_qwen235b/qk_rate_sweep/clean_online_ttft_topk10_rate0.5_n60_summary.json,
qk,0.7,57,7.936558170840471,7.89505457226187,9.368657776154578,0.48323057188342017,1.8751319967488056,1.8740977977010373,5.442683347590725,0.13551225461752006,1011.8245614035088,1038.7368421052631,2265.0526315789475,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/online_ttft_profile_qwen235b/qk_rate_sweep/clean_online_ttft_topk10_rate0.7_n60_summary.json,
qk,0.99,57,8.922619260610652,8.850593719165772,10.760188669897616,0.48239246121068535,1.852241021793401,1.8511734465627294,6.440351378017415,0.14763439958915114,1431.1754385964912,1458.0877192982457,2265.0526315789475,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/online_ttft_profile_qwen235b/qk_rate_sweep/clean_online_ttft_topk10_rate0.99_n60_summary.json,
qk,1.0,57,4.225206471268872,4.1772630806081,4.751923570875078,0.0,0.0,0.0,4.225206471268872,0.0,1446.140350877193,2265.0526315789475,2265.0526315789475,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/online_ttft_profile_qwen235b/qk_rate_sweep/clean_online_ttft_topk10_rate1.0_n60_summary.json,
draft,0.0,57,2.795393186221063,2.7859187237918377,3.0903276661410928,0.5036241197141639,0.0,0.0,1.9867528614571743,0.30501620504972443,0.0,26.912280701754387,2265.0526315789475,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/online_ttft_profile_qwen235b/draft_rate_sweep/draft_dispatch_rrf18_pptrue_rate0.0_n60_summary.json,
draft,0.05,57,3.6265092292849563,3.571049496997148,4.2850137562491,0.5161302712615252,0.1405380247814352,0.1398435015427439,2.8411162162869514,0.12872471695504428,71.78947368421052,98.70175438596492,2265.0526315789475,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/online_ttft_profile_qwen235b/draft_rate_sweep/draft_dispatch_rrf18_pptrue_rate0.05_n60_summary.json,
draft,0.15,57,4.1689890234142934,4.161610786337405,4.88705367455259,0.503000809222852,0.1447421855767045,0.1434467460290251,3.395523171634985,0.1257228569797518,216.47368421052633,243.3859649122807,2265.0526315789475,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/online_ttft_profile_qwen235b/draft_rate_sweep/draft_dispatch_rrf18_pptrue_rate0.15_n60_summary.json,
draft,0.3,57,5.022950535264323,4.924081432167441,5.95087827090174,0.5108569510068679,0.14414450265630557,0.14266930083466464,4.223970802443658,0.14397827915749267,433.4035087719298,460.3157894736842,2265.0526315789475,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/online_ttft_profile_qwen235b/draft_rate_sweep/draft_dispatch_rrf18_pptrue_rate0.3_n60_summary.json,
draft,0.5,57,5.720443509992931,5.661694122478366,6.882568579167128,0.5006521392629988,0.14318546281081804,0.14081407186428183,4.890587348482784,0.18601855943633014,722.7894736842105,749.7017543859649,2265.0526315789475,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/online_ttft_profile_qwen235b/draft_rate_sweep/draft_dispatch_rrf18_pptrue_rate0.5_n60_summary.json,
draft,0.7,57,6.603677652449462,6.462126004509628,8.157066347077489,0.5277938123694376,0.14363877426244712,0.14080424049640433,5.743199302643341,0.1890457631742353,1011.8245614035088,1038.7368421052631,2265.0526315789475,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/online_ttft_profile_qwen235b/draft_rate_sweep/draft_dispatch_rrf18_pptrue_rate0.7_n60_summary.json,
draft,0.99,57,7.601727257327487,7.61443528579548,9.407716444227844,0.5293083957543498,0.14256457076816445,0.1409601727092083,6.781812081423898,0.14804220938107424,1431.1754385964912,1458.0877192982457,2265.0526315789475,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/online_ttft_profile_qwen235b/draft_rate_sweep/draft_dispatch_rrf18_pptrue_rate0.99_n60_summary.json,
draft,1.0,57,4.3114159348535175,4.259541237726808,4.90438199415803,0.0,0.0,0.0,4.298899151695271,0.01251678315824584,1446.140350877193,2265.0526315789475,2265.0526315789475,/home/hming/FusionRAG-pca-analysis/MOTIVATION_EXPERIMENTS/online_ttft_profile_qwen235b/draft_rate_sweep/draft_dispatch_rrf18_pptrue_rate1.0_n60_summary.json,
