source,kind,layer,relative_l2,diff_norm,full_norm,source_norm,cosine_source_full,delta_energy_share
raw,hidden_layer_input,0,0.0,0.0,716.7030860920662,716.7030860920662,1.0,0.0
raw,hidden_layer_input,1,0.06152406684021778,655.0211799702048,10646.584558061479,10885.100599827241,0.9983943417385504,1.8767820045866356e-07
raw,hidden_layer_input,2,0.08358775434607427,1328.2602865801125,15890.608582218658,16294.70942874366,0.9969085315029498,7.717373517092931e-07
raw,hidden_layer_input,3,0.09190616948946125,1722.1702836997142,18738.353401805012,19229.839389889286,0.9962197683054181,1.297344535221837e-06
raw,hidden_layer_input,4,0.10198340096635945,2238.6037712647676,21950.66795235825,22488.731829970147,0.9952173672214738,2.1920860919790886e-06
raw,hidden_layer_input,5,0.10218192862674204,2653.0883092926347,25964.359304511057,26532.986530331447,0.9951259960034675,3.0789777913160975e-06
raw,hidden_layer_input,6,0.10902769297015046,3286.0578421068813,30139.66225082408,30643.10340333531,0.99429136545227,4.723387239467453e-06
raw,hidden_layer_input,7,0.11139306541496947,3722.2084229828674,33415.08207101248,33774.2855841356,0.993918946272207,6.060445074746149e-06
raw,hidden_layer_input,8,0.11860620189571378,4470.952801627842,37695.77585461334,37885.10490491283,0.9930139884231789,8.743862405534403e-06
raw,hidden_layer_input,9,0.11377910599377135,4793.337080950636,42128.447390094974,42251.73288088312,0.9935503156523263,1.0050301404276398e-05
raw,hidden_layer_input,10,0.10910625120137013,5178.902845698913,47466.60057213914,47429.143282374396,0.9940435282785797,1.1732178779009485e-05
raw,hidden_layer_input,11,0.11019640006467299,5557.156737699121,50429.56697712166,50369.3970953594,0.9939218395395578,1.3508540733148284e-05
raw,hidden_layer_input,12,0.11564835019359354,5992.365634853363,51815.40095316739,51735.14599742616,0.9933035639426703,1.5707235456826922e-05
raw,hidden_layer_input,13,0.12388565287890202,6647.047435154505,53654.69915755283,53575.826149719804,0.9923159656343833,1.9326833292162775e-05
raw,hidden_layer_input,14,0.12784869475261698,7138.288373162171,55833.87759237218,55718.376864146,0.9918125702499546,2.2289037853697048e-05
raw,hidden_layer_input,15,0.13012199342196842,7609.010603534491,58475.97630063563,58433.72204686263,0.9915282830064065,2.5325587165869683e-05
raw,hidden_layer_input,16,0.1350336442025358,8250.473265115685,61099.38981385166,61092.76098432203,0.9908819796609895,2.977562369455343e-05
raw,hidden_layer_input,17,0.139156390861718,8835.31980222382,63492.01605123277,63605.29276817299,0.9903366032768018,3.41466176854919e-05
raw,hidden_layer_input,18,0.14745865718071582,9691.854781747075,65725.91238145728,65879.83914104526,0.9891561164324948,4.1088183441758186e-05
raw,hidden_layer_input,19,0.15600896952463644,10554.371019184218,67652.33467885642,67746.79443246743,0.9878485534064927,4.8726796313039916e-05
raw,hidden_layer_input,20,0.16176602666639067,11222.00970258414,69371.85720538985,69587.50099065923,0.9869612478066241,5.508640417173578e-05
raw,hidden_layer_input,21,0.16870943257350124,11916.472835874907,70633.11549390272,70892.50128716012,0.9858273728295854,6.21153017289615e-05
raw,hidden_layer_input,22,0.17692630390576655,12898.996866242525,72906.04382439771,73055.77710643424,0.9843827292362766,7.27804973433252e-05
raw,hidden_layer_input,23,0.1867131409241285,13897.072294926811,74430.07078207705,74431.7735924988,0.9825695122608556,8.44791971920521e-05
raw,hidden_layer_input,24,0.19577997381254567,14715.99114537679,75165.96748279769,75030.33891200279,0.9808020997914844,9.472883149362758e-05
raw,hidden_layer_input,25,0.20117098204992362,15414.627921869069,76624.50998048861,76300.54035604859,0.9796881846440472,0.00010393677492713712
raw,hidden_layer_input,26,0.20628947367033146,16149.478320167182,78285.51807725999,77673.37033372506,0.9785854600486765,0.00011408279167635934
raw,hidden_layer_input,27,0.209278002295861,17193.52406446599,82156.38469330914,81145.28292359329,0.9779051876529378,0.00012931024845391192
raw,hidden_layer_input,28,0.2097063744626438,17959.40982936431,85640.7435176155,84353.98971077183,0.9777908092211887,0.00014108708695685496
raw,hidden_layer_input,29,0.21140138337263742,18571.62757975182,87850.0759241277,86482.99096065076,0.9774245021750297,0.00015087006473863177
raw,hidden_layer_input,30,0.2119610534026221,19278.31878965567,90952.17484617946,89535.51357422372,0.977304060035106,0.00016257039450971706
raw,hidden_layer_input,31,0.2129076636953465,19186.82020315771,90118.03459838103,88766.19962857485,0.9771042350950088,0.00016103087628087785
raw,hidden_layer_input,32,0.21468211677628243,19117.15531920948,89048.66230255792,87874.69629321629,0.9767360129635078,0.00015986363426040448
raw,hidden_layer_input,33,0.2109664720311092,18760.005215938145,88924.10739641979,88008.24764475202,0.9775685961696645,0.0001539462286496686
raw,hidden_layer_input,34,0.2068149257615946,18718.91722535253,90510.47527841736,89736.58552675157,0.9784662394296957,0.00015327262389650174
raw,hidden_layer_input,35,0.20916619225234673,19054.684501652595,91098.29985652861,90576.83982467593,0.9780153016816877,0.00015882054030949918
raw,hidden_layer_input,36,0.2181330577617505,19584.878841991675,89784.09344714129,89693.84519018013,0.9761855667745354,0.00016778182845140547
raw,hidden_layer_input,37,0.2313319401134292,20395.768291619817,88166.67634231201,88299.06826377049,0.973284015184117,0.00018196308173608187
raw,hidden_layer_input,38,0.23732328526500857,20340.274506142476,85707.03242806275,85941.65858301782,0.9719194606733081,0.00018097424103525914
raw,hidden_layer_input,39,0.2423931563095614,20720.933411138434,85484.81205746434,85859.9968189494,0.970760750524219,0.00018781132415218152
