example_id,sub_question_id,selector,rate,doc_len,selected_tokens,ideal_mass_all_layer,ideal_mass_last_layer,jaccard_with_oracle_all_layer,score_cosine_all_layer,score_js_all_layer,score_spearman_all_layer,full_attention_time_s,selector_time_s
0,0,oracle_full_attention,0.3,1313,393,0.604246973991394,0.970264196395874,1.0,0.9999999403953552,0.0,1.0,0.4705219119787216,0.4705219119787216
0,0,fusionrag_qk,0.3,1313,393,0.40283697843551636,0.21725542843341827,0.29276315789473684,0.2866208255290985,0.20520418086985415,0.26812995237173104,0.4705219119787216,0.07513120910152793
0,0,draft_selected_set,0.3,1313,393,0.4695565104484558,0.11120815575122833,0.3435897435897436,0.5686854124069214,0.2889568549950235,0.14615403912336028,0.4705219119787216,0.37081780890002847
0,0,random,0.3,1313,393,0.3061063289642334,0.3575074076652527,0.17313432835820897,0.6625954508781433,0.07077445300170213,-0.2638967101624193,0.4705219119787216,0.0
1,0,oracle_full_attention,0.3,1295,388,0.5943567752838135,0.9981231689453125,1.0,0.9999997615814209,0.0,1.0,0.27938801469281316,0.27938801469281316
1,0,fusionrag_qk,0.3,1295,388,0.37636300921440125,0.11398229748010635,0.25363489499192243,0.29164788126945496,0.21053769820146762,0.2228674148704936,0.27938801469281316,0.028181002009660006
1,0,draft_selected_set,0.3,1295,388,0.39555037021636963,0.3070996105670929,0.29333333333333333,0.4696938395500183,0.3280108851323108,0.08888433746688452,0.27938801469281316,0.12750496994704008
1,0,random,0.3,1295,388,0.2797262668609619,0.3255177438259125,0.14962962962962964,0.6499712467193604,0.06868462204852319,-0.3187296893391652,0.27938801469281316,0.0
2,0,oracle_full_attention,0.3,1441,432,0.6074515581130981,0.996730625629425,1.0,1.0000001192092896,0.0,1.0,0.29708265513181686,0.29708265513181686
2,0,fusionrag_qk,0.3,1441,432,0.37067562341690063,0.3111123740673065,0.20502092050209206,0.23898111283779144,0.25493219179713433,0.035223531008382415,0.29708265513181686,0.02924774680286646
2,0,draft_selected_set,0.3,1441,432,0.4286332130432129,0.12437359988689423,0.24495677233429394,0.48368629813194275,0.32448695613308504,0.0009069276320652632,0.29708265513181686,0.1318548214621842
2,0,random,0.3,1441,432,0.3029336631298065,0.2086976021528244,0.18032786885245902,0.6178569793701172,0.07640954924133425,-0.34268804169498557,0.29708265513181686,0.0
3,0,oracle_full_attention,0.3,1154,346,0.5870975255966187,0.9604663848876953,1.0,0.9999999403953552,0.0,1.0,0.26260526571422815,0.26260526571422815
3,0,fusionrag_qk,0.3,1154,346,0.35081353783607483,0.209453284740448,0.2513562386980108,0.3848382830619812,0.1973142671879172,0.2589531540620271,0.26260526571422815,0.02633432811126113
3,0,draft_selected_set,0.3,1154,346,0.3115784525871277,0.45898377895355225,0.20347826086956522,0.38306233286857605,0.37036533480551986,-0.024719276515142996,0.26260526571422815,0.12214743485674262
3,0,random,0.3,1154,346,0.3003624975681305,0.3480764925479889,0.15912897822445563,0.6731896996498108,0.06390593231498969,-0.3698653275633352,0.26260526571422815,0.0
3,1,oracle_full_attention,0.3,1353,405,0.6024901866912842,0.9888806343078613,1.0,0.9999999403953552,0.0,1.0,0.2816292359493673,0.2816292359493673
3,1,fusionrag_qk,0.3,1353,405,0.36397886276245117,0.17663978040218353,0.26365054602184085,0.3473023772239685,0.1970903108513399,0.31183152473793546,0.2816292359493673,0.02673581102862954
3,1,draft_selected_set,0.3,1353,405,0.4092538356781006,0.29354652762413025,0.28164556962025317,0.49242690205574036,0.32031305239700947,0.08146470917280578,0.2816292359493673,0.12770242476835847
3,1,random,0.3,1353,405,0.33083945512771606,0.2196466624736786,0.19469026548672566,0.6583064198493958,0.07075534048727165,-0.3702043462413293,0.2816292359493673,0.0
4,0,oracle_full_attention,0.3,1178,353,0.5709103345870972,0.9704064130783081,1.0,0.9999998807907104,0.0,1.0,0.26340599870309234,0.26340599870309234
4,0,fusionrag_qk,0.3,1178,353,0.36346280574798584,0.28785160183906555,0.27207207207207207,0.3677816390991211,0.19415731017789517,0.3304998969933571,0.26340599870309234,0.026662467047572136
4,0,draft_selected_set,0.3,1178,353,0.3600442111492157,0.3166126012802124,0.24734982332155478,0.4622010588645935,0.339610472230232,0.052469038105880494,0.26340599870309234,0.12232590839266777
4,0,random,0.3,1178,353,0.31310155987739563,0.3811444044113159,0.1905564924114671,0.7027318477630615,0.05828402253006695,-0.3526860244768214,0.26340599870309234,0.0
4,1,oracle_full_attention,0.3,2075,622,0.6294122934341431,0.9962136149406433,1.0,1.0,0.0,1.0,0.3792285271920264,0.3792285271920264
4,1,fusionrag_qk,0.3,2075,622,0.3618519902229309,0.22187162935733795,0.24649298597194388,0.2805144488811493,0.22967663466031182,0.24813612666619272,0.3792285271920264,0.029137977864593267
4,1,draft_selected_set,0.3,2075,622,0.4528657793998718,0.397133469581604,0.33619763694951665,0.4955105185508728,0.30869277759415104,0.11572754714956968,0.3792285271920264,0.17126624705269933
4,1,random,0.3,2075,622,0.33347925543785095,0.3659527897834778,0.18363463368220742,0.5990579128265381,0.08504231128653902,-0.49890931281635664,0.3792285271920264,0.0
6,0,oracle_full_attention,0.3,1490,447,0.6096411347389221,0.9814162254333496,1.0,0.9999998807907104,0.0,1.0,0.2966163558885455,0.2966163558885455
6,0,fusionrag_qk,0.3,1490,447,0.3873828649520874,0.2683575749397278,0.28448275862068967,0.26325511932373047,0.256770358000935,0.31519608861717996,0.2966163558885455,0.026095170993357897
6,0,draft_selected_set,0.3,1490,447,0.4735185503959656,0.46246305108070374,0.336322869955157,0.5442182421684265,0.2938770333282421,0.06112619591251766,0.2966163558885455,0.13220309698954225
6,0,random,0.3,1490,447,0.2824671268463135,0.255628377199173,0.1625487646293888,0.6295013427734375,0.07513048135893953,-0.4060541262834399,0.2966163558885455,0.0
7,0,oracle_full_attention,0.3,1587,476,0.6025559306144714,0.9851881265640259,1.0,1.0,0.0,1.0,0.31974080577492714,0.31974080577492714
7,0,fusionrag_qk,0.3,1587,476,0.3026019036769867,0.16297823190689087,0.18851435705368288,0.2471693754196167,0.2671935172246961,0.1114978990310958,0.31974080577492714,0.02750164596363902
7,0,draft_selected_set,0.3,1587,476,0.41789495944976807,0.35292530059814453,0.2812920592193809,0.48915448784828186,0.3193815551068595,-0.014910865060027752,0.31974080577492714,0.1368358265608549
7,0,random,0.3,1587,476,0.3111826777458191,0.4295039772987366,0.19148936170212766,0.641054093837738,0.07200007534302642,-0.4002024398850623,0.31974080577492714,0.0
7,1,oracle_full_attention,0.3,1466,439,0.6053088307380676,0.9759362936019897,1.0,1.0,0.0,1.0,0.2950287782587111,0.2950287782587111
7,1,fusionrag_qk,0.3,1466,439,0.35494256019592285,0.19826841354370117,0.21944444444444444,0.29430073499679565,0.2173858468818125,0.13550435620607626,0.2950287782587111,0.026503863744437695
7,1,draft_selected_set,0.3,1466,439,0.4417603015899658,0.42413175106048584,0.3026706231454006,0.5046741962432861,0.3089459442738463,0.06453186324277141,0.2950287782587111,0.13190420996397734
7,1,random,0.3,1466,439,0.27656081318855286,0.20710134506225586,0.158311345646438,0.6251585483551025,0.07342321548174693,-0.3852171935951022,0.2950287782587111,0.0
9,0,oracle_full_attention,0.3,1998,599,0.6269603967666626,0.9933961033821106,1.0,1.0,0.0,1.0,0.35858192201703787,0.35858192201703787
9,0,fusionrag_qk,0.3,1998,599,0.40137144923210144,0.23434795439243317,0.27176220806794055,0.2554474174976349,0.23222428140226237,0.3362945930578805,0.35858192201703787,0.025898403953760862
9,0,draft_selected_set,0.3,1998,599,0.38858762383461,0.4375312924385071,0.2262026612077789,0.4330901503562927,0.3510038158303427,-0.13253990392707332,0.35858192201703787,0.16607599705457687
9,0,random,0.3,1998,599,0.28111404180526733,0.26632535457611084,0.1665043816942551,0.6102461814880371,0.08337200172241313,-0.4625139799016797,0.35858192201703787,0.0
9,1,oracle_full_attention,0.3,2722,816,0.6257894039154053,0.9898515343666077,1.0,1.0000001192092896,0.0,1.0,0.4622770263813436,0.4622770263813436
9,1,fusionrag_qk,0.3,2722,816,0.35190677642822266,0.27189740538597107,0.2631578947368421,0.3169446289539337,0.2128716187708112,0.20436471820952104,0.4622770263813436,0.02706115087494254
9,1,draft_selected_set,0.3,2722,816,0.463152676820755,0.3292542099952698,0.2962668784749801,0.5100142955780029,0.3077144482012808,-0.014114680548400746,0.4622770263813436,0.20906636118888855
9,1,random,0.3,2722,816,0.2978997230529785,0.2865739166736603,0.16989247311827957,0.6029201149940491,0.08352752580549964,-0.47806447112092526,0.4622770263813436,0.0
10,0,oracle_full_attention,0.3,1505,451,0.597545862197876,0.9791434407234192,1.0,0.9999999403953552,0.0,1.0,0.31789482198655605,0.31789482198655605
10,0,fusionrag_qk,0.3,1505,451,0.3036121428012848,0.30119583010673523,0.20911528150134048,0.23185032606124878,0.2881423954553054,0.24780418850809743,0.31789482198655605,0.02606622688472271
10,0,draft_selected_set,0.3,1505,451,0.325324147939682,0.34936124086380005,0.21236559139784947,0.3847634196281433,0.35872921064389285,0.06351760208857661,0.31789482198655605,0.13559945207089186
10,0,random,0.3,1505,451,0.2885938584804535,0.18351653218269348,0.1729518855656697,0.6474362015724182,0.06949682495171938,-0.4080005366531632,0.31789482198655605,0.0
10,1,oracle_full_attention,0.3,1738,521,0.615441620349884,0.9950879812240601,1.0,1.0,0.0,1.0,0.33742333482950926,0.33742333482950926
10,1,fusionrag_qk,0.3,1738,521,0.3299548625946045,0.306559294462204,0.21586931155192532,0.24116387963294983,0.2496894681599517,0.259673168121695,0.33742333482950926,0.026122518349438906
10,1,draft_selected_set,0.3,1738,521,0.36195018887519836,0.16884370148181915,0.22877358490566038,0.40484321117401123,0.357212261315302,-0.027681212469978726,0.33742333482950926,0.15560965798795223
10,1,random,0.3,1738,521,0.27962103486061096,0.29008394479751587,0.16554809843400448,0.6123948097229004,0.07983283561118673,-0.4399458905695724,0.33742333482950926,0.0
11,0,oracle_full_attention,0.3,1230,369,0.5924721360206604,0.9659439325332642,1.0,1.0,0.0,1.0,0.2594140381552279,0.2594140381552279
11,0,fusionrag_qk,0.3,1230,369,0.40041500329971313,0.27733030915260315,0.3108348134991119,0.3985006809234619,0.16945029247020355,0.34642090790033153,0.2594140381552279,0.025947399903088808
11,0,draft_selected_set,0.3,1230,369,0.40826818346977234,0.43430957198143005,0.2902097902097902,0.4929303824901581,0.3205687403621907,0.12306469452672872,0.2594140381552279,0.12581809191033244
11,0,random,0.3,1230,369,0.3074724078178406,0.3422698676586151,0.17142857142857143,0.6613028049468994,0.06815636110707098,-0.35599572286818965,0.2594140381552279,0.0
11,1,oracle_full_attention,0.3,1205,361,0.5943831205368042,0.9910712242126465,1.0,1.0,0.0,1.0,0.26302198227494955,0.26302198227494955
11,1,fusionrag_qk,0.3,1205,361,0.4199236035346985,0.18744832277297974,0.24268502581755594,0.4078373610973358,0.19187420329135696,0.20475846277895973,0.26302198227494955,0.04194319574162364
11,1,draft_selected_set,0.3,1205,361,0.4753805100917816,0.3362860381603241,0.3175182481751825,0.548317015171051,0.29549778021821893,0.12949698687463124,0.26302198227494955,0.12286501796916127
11,1,random,0.3,1205,361,0.3074348568916321,0.3535735607147217,0.15890850722311398,0.6313215494155884,0.0715969761125185,-0.4147912704133661,0.26302198227494955,0.0
12,0,oracle_full_attention,0.3,2011,603,0.6050984263420105,0.9867222905158997,1.0,0.9999999403953552,0.0,1.0,0.37951595103368163,0.37951595103368163
12,0,fusionrag_qk,0.3,2011,603,0.29373449087142944,0.1550675630569458,0.17315175097276264,0.2717532515525818,0.2401253023389067,0.04372209200919591,0.37951595103368163,0.025963224936276674
12,0,draft_selected_set,0.3,2011,603,0.32239559292793274,0.2663516402244568,0.17543859649122806,0.3733918070793152,0.37674237388380694,-0.1195378846019642,0.37951595103368163,0.17006881814450026
12,0,random,0.3,2011,603,0.2891556918621063,0.30526119470596313,0.16297010607521698,0.6342025399208069,0.07443840832202153,-0.4314093650446646,0.37951595103368163,0.0
12,1,oracle_full_attention,0.3,2101,630,0.609919548034668,0.993032693862915,1.0,1.0,0.0,1.0,0.3861423609778285,0.3861423609778285
12,1,fusionrag_qk,0.3,2101,630,0.3269505798816681,0.32165586948394775,0.2034383954154728,0.2566431760787964,0.23740859261807418,0.21887612491269748,0.3861423609778285,0.02772557409480214
12,1,draft_selected_set,0.3,2101,630,0.4281957149505615,0.29551178216934204,0.2676056338028169,0.4974498152732849,0.3238080371212543,-0.018968368879558953,0.3861423609778285,0.17396296607330441
12,1,random,0.3,2101,630,0.31472790241241455,0.3334164321422577,0.20574162679425836,0.6361581683158875,0.07647205390078446,-0.5051428366059597,0.3861423609778285,0.0
13,0,oracle_full_attention,0.3,1142,342,0.5830332040786743,0.9893814921379089,1.0,0.9999998807907104,0.0,1.0,0.2644425448961556,0.2644425448961556
13,0,fusionrag_qk,0.3,1142,342,0.2969811260700226,0.23715195059776306,0.1875,0.27159127593040466,0.2574380456854759,0.13812439466379822,0.2644425448961556,0.02612570207566023
13,0,draft_selected_set,0.3,1142,342,0.3102389872074127,0.4423060417175293,0.20634920634920634,0.38590022921562195,0.37230390078789455,-0.02542476907789595,0.2644425448961556,0.12232288019731641
13,0,random,0.3,1142,342,0.2963102161884308,0.27442100644111633,0.1854419410745234,0.68070387840271,0.0614421859354471,-0.3890321241177465,0.2644425448961556,0.0
13,1,oracle_full_attention,0.3,2083,624,0.630501389503479,0.99229496717453,1.0,1.0,0.0,1.0,0.3817277131602168,0.3817277131602168
13,1,fusionrag_qk,0.3,2083,624,0.374752014875412,0.3351302444934845,0.2786885245901639,0.27540093660354614,0.22092698937965743,0.28839565306319975,0.3817277131602168,0.026621601078659296
13,1,draft_selected_set,0.3,2083,624,0.44485366344451904,0.35491254925727844,0.3361884368308351,0.4835081994533539,0.3122157441283816,0.11882502535454943,0.3817277131602168,0.17190668871626258
13,1,random,0.3,2083,624,0.3045256733894348,0.351749062538147,0.18293838862559242,0.5948872566223145,0.0854930399425532,-0.4756882226472695,0.3817277131602168,0.0
14,0,oracle_full_attention,0.3,1057,317,0.5919211506843567,0.899170994758606,1.0,1.0000001192092896,0.0,1.0,0.2504133856855333,0.2504133856855333
14,0,fusionrag_qk,0.3,1057,317,0.3313992917537689,0.20742309093475342,0.23828125,0.3764587640762329,0.20331268481835985,0.21635645992485714,0.2504133856855333,0.025034746155142784
14,0,draft_selected_set,0.3,1057,317,0.35600435733795166,0.41337838768959045,0.27054108216432865,0.44476059079170227,0.3391430901835564,0.17884245538259735,0.2504133856855333,0.11879958817735314
14,0,random,0.3,1057,317,0.3015792965888977,0.23108714818954468,0.17843866171003717,0.6841678619384766,0.06498002180053561,-0.4829294567774018,0.2504133856855333,0.0
14,1,oracle_full_attention,0.3,1681,504,0.6042312383651733,0.9957669973373413,1.0,1.0,0.0,1.0,0.33040699595585465,0.33040699595585465
14,1,fusionrag_qk,0.3,1681,504,0.42591020464897156,0.3973549008369446,0.2679245283018868,0.35849013924598694,0.22089502297475916,0.22935134984815755,0.33040699595585465,0.026678603142499924
14,1,draft_selected_set,0.3,1681,504,0.42674019932746887,0.3231542110443115,0.2759493670886076,0.4768650233745575,0.3255398359760636,0.01244916353666248,0.33040699595585465,0.15609426703304052
14,1,random,0.3,1681,504,0.2832162082195282,0.24334844946861267,0.17073170731707318,0.6118754148483276,0.07487006825267749,-0.4222523918438869,0.33040699595585465,0.0
15,0,oracle_full_attention,0.3,678,203,0.5956244468688965,0.9356380105018616,1.0,1.0,0.0,1.0,0.1981558483093977,0.1981558483093977
15,0,fusionrag_qk,0.3,678,203,0.4071248173713684,0.32486745715141296,0.313915857605178,0.46222421526908875,0.1681003992323748,0.384944175454819,0.1981558483093977,0.025091025047004223
15,0,draft_selected_set,0.3,678,203,0.4093031883239746,0.2798773944377899,0.2848101265822785,0.5102903246879578,0.3143946151582583,0.10378058552704734,0.1981558483093977,0.09034896455705166
15,0,random,0.3,678,203,0.2896561026573181,0.2010342925786972,0.19411764705882353,0.6821898221969604,0.06560335855341073,-0.29446968222192993,0.1981558483093977,0.0
