a,b,n_chunks,jaccard,coverage_b_by_a
qk_freq,qk_freq,2098,1.0,1.0
qk_freq,draft_freq,2098,0.4385053078694411,0.5975758116573128
qk_freq,fullattn_freq,2098,0.16828099344159977,0.2810767133698469
qk_freq,hybrid_draft70_qk30,2098,0.47775322096701933,0.6348083402867915
qk_freq,hybrid_draft50_qk50,2098,0.6762952436534978,0.8003109601772469
qk_freq,hybrid_intersection_fill,2098,0.49564812192672325,0.6512404031589121
qk_freq,hybrid_rrf,2098,0.5982837340506972,0.7395604028370397
qk_freq,lexical_entity,2098,0.16189915642011846,0.2743380906961821
qk_freq,lexical_idf_entity,2098,0.09401066741962828,0.1680491329985358
qk_freq,lexical_idf_boundary,2098,0.10582737469330368,0.18747532719021404
qk_freq,draft90_lexical10,2098,0.4207343491303438,0.5809666453162043
qk_freq,draft85_lexical15,2098,0.41038557082939064,0.5716454464090625
qk_freq,draft80_lexical20,2098,0.40110358562359444,0.5627833357407742
qk_freq,draft_score_lexical_tiebreak,2098,0.43772234253000203,0.596866273159553
draft_freq,qk_freq,2098,0.4385053078694411,0.5975758116573128
draft_freq,draft_freq,2098,1.0,1.0
draft_freq,fullattn_freq,2098,0.17395513910278665,0.28949919835189214
draft_freq,hybrid_draft70_qk30,2098,0.9244009129890424,0.9589510592017347
draft_freq,hybrid_draft50_qk50,2098,0.6689392141765483,0.7944862925547647
draft_freq,hybrid_intersection_fill,2098,0.8976076020269201,0.9437384800727069
draft_freq,hybrid_rrf,2098,0.6951951552153302,0.8147009052836433
draft_freq,lexical_entity,2098,0.16805889183199976,0.2823497554804322
draft_freq,lexical_idf_entity,2098,0.11828148368058826,0.20744229421721425
draft_freq,lexical_idf_boundary,2098,0.1368549093726172,0.2363794855506943
draft_freq,draft90_lexical10,2098,0.8235338509669069,0.9019024830655409
draft_freq,draft85_lexical15,2098,0.7507721716908012,0.8567412449508712
draft_freq,draft80_lexical20,2098,0.6933684270839667,0.8177324961071819
draft_freq,draft_score_lexical_tiebreak,2098,0.9763960334165972,0.9873703177997071
fullattn_freq,qk_freq,2098,0.16828099344159977,0.2810767133698469
fullattn_freq,draft_freq,2098,0.17395513910278665,0.28949919835189214
fullattn_freq,fullattn_freq,2098,1.0,1.0
fullattn_freq,hybrid_draft70_qk30,2098,0.17511557988017767,0.291296844541608
fullattn_freq,hybrid_draft50_qk50,2098,0.1727000047081893,0.28807248511401745
fullattn_freq,hybrid_intersection_fill,2098,0.1747940002170136,0.2908578492228671
fullattn_freq,hybrid_rrf,2098,0.17176489752707824,0.28640571221293437
fullattn_freq,lexical_entity,2098,0.03919702536685331,0.07265908585700974
fullattn_freq,lexical_idf_entity,2098,0.023426644482558538,0.0440525327619015
fullattn_freq,lexical_idf_boundary,2098,0.025996504096262498,0.04863943166625015
fullattn_freq,draft90_lexical10,2098,0.1635675959030292,0.2746323266701113
fullattn_freq,draft85_lexical15,2098,0.1580262415046141,0.2667542323339688
