example_id,chunk_id,method,rate,chunk_len,selected_count
4,2,offline32b_mean_score_global,0.15,66,34
4,3,offline32b_mean_score_global,0.15,846,113
4,4,offline32b_mean_score_global,0.15,521,89
4,5,offline32b_mean_score_global,0.15,857,94
4,6,offline32b_mean_score_global,0.15,147,58
4,7,offline32b_mean_score_global,0.15,1294,72
4,8,offline32b_mean_score_global,0.15,924,57
4,9,offline32b_mean_score_global,0.15,970,271
4,0,offline32b_top2_mean_global,0.15,170,100
4,1,offline32b_top2_mean_global,0.15,681,97
4,2,offline32b_top2_mean_global,0.15,66,35
4,3,offline32b_top2_mean_global,0.15,846,120
4,4,offline32b_top2_mean_global,0.15,521,93
4,5,offline32b_top2_mean_global,0.15,857,98
4,6,offline32b_top2_mean_global,0.15,147,61
4,7,offline32b_top2_mean_global,0.15,1294,60
4,8,offline32b_top2_mean_global,0.15,924,51
4,9,offline32b_top2_mean_global,0.15,970,256
4,0,offline32b_freq_boundary0p02_global,0.15,170,87
4,1,offline32b_freq_boundary0p02_global,0.15,681,88
4,2,offline32b_freq_boundary0p02_global,0.15,66,48
4,3,offline32b_freq_boundary0p02_global,0.15,846,119
4,4,offline32b_freq_boundary0p02_global,0.15,521,82
4,5,offline32b_freq_boundary0p02_global,0.15,857,97
4,6,offline32b_freq_boundary0p02_global,0.15,147,68
4,7,offline32b_freq_boundary0p02_global,0.15,1294,75
4,8,offline32b_freq_boundary0p02_global,0.15,924,68
4,9,offline32b_freq_boundary0p02_global,0.15,970,239
5,0,offline32b_mean_score_global,0.15,637,120
5,1,offline32b_mean_score_global,0.15,145,50
5,2,offline32b_mean_score_global,0.15,41,21
5,3,offline32b_mean_score_global,0.15,550,58
5,4,offline32b_mean_score_global,0.15,365,36
5,5,offline32b_mean_score_global,0.15,614,95
5,6,offline32b_mean_score_global,0.15,322,39
5,7,offline32b_mean_score_global,0.15,430,79
5,8,offline32b_mean_score_global,0.15,967,81
5,9,offline32b_mean_score_global,0.15,966,176
5,0,offline32b_top2_mean_global,0.15,637,133
5,1,offline32b_top2_mean_global,0.15,145,58
5,2,offline32b_top2_mean_global,0.15,41,23
