example_id,sub_q_idx,method,n_doc_tokens_selected,global_pos_mean,global_pos_p25,global_pos_p50,global_pos_p75,chunk_pos_mean,chunk_pos_p25,chunk_pos_p50,chunk_pos_p75
0,0,docgen_offline10,128,0.4600248790922619,0.25967261904761907,0.43898809523809523,0.5438988095238095,0.37842855118560215,0.04318936877076412,0.18072289156626506,0.7976190476190477
0,0,old_offline10,148,0.5945242117117117,0.234375,0.8139880952380952,0.8660714285714286,0.3171367607061968,0.047619047619047616,0.17857142857142858,0.5421686746987951
0,0,online_draft10,131,0.5378725917848055,0.04092261904761905,0.8720238095238095,0.9092261904761905,0.26161073557012904,0.06521739130434782,0.16304347826086957,0.38
1,0,docgen_offline10,125,0.4694501510574018,0.24546827794561935,0.5166163141993958,0.7190332326283988,0.33824281287613145,0.02962962962962963,0.12962962962962962,0.7327188940092166
1,0,old_offline10,136,0.6217122800781945,0.297583081570997,0.8542296072507553,0.8882175226586103,0.29690508106046964,0.032407407407407406,0.1038961038961039,0.5584415584415584
1,0,online_draft10,129,0.4962469847069018,0.07250755287009064,0.5604229607250756,0.8648036253776435,0.21934820437214209,0.03333333333333333,0.1,0.2111111111111111
2,0,docgen_offline10,138,0.46783122763311386,0.22237380627557982,0.4597544338335607,0.6930422919508867,0.2599570997128773,0.021621621621621623,0.05405405405405406,0.42934782608695654
2,0,old_offline10,160,0.5158296384720328,0.18758526603001363,0.5306957708049114,0.9229195088676672,0.332204045784979,0.024456521739130436,0.08333333333333333,0.6168478260869565
2,0,online_draft10,144,0.4244590344095801,0.02455661664392906,0.22237380627557982,0.9454297407912687,0.27162829748368983,0.03773584905660377,0.171875,0.453125
3,0,docgen_offline10,113,0.46349557522123896,0.24493243243243243,0.43158783783783783,0.7204391891891891,0.34245320429669757,0.03546099290780142,0.25555555555555554,0.6764705882352942
3,0,old_offline10,80,0.4237647804054054,0.09121621621621621,0.3902027027027027,0.722972972972973,0.21005995461371746,0.013986013986013986,0.043478260869565216,0.11764705882352941
3,0,online_draft10,115,0.25079318448883664,0.04222972972972973,0.09206081081081081,0.5101351351351351,0.30848808537071987,0.06666666666666667,0.21739130434782608,0.48148148148148145
3,1,docgen_offline10,131,0.4703702069452411,0.1893063583815029,0.4190751445086705,0.7514450867052023,0.37606051606238167,0.03546099290780142,0.29347826086956524,0.8611111111111112
3,1,old_offline10,149,0.5214920277767001,0.2695086705202312,0.5679190751445087,0.7680635838150289,0.3371947210384019,0.022222222222222223,0.09259259259259259,0.651685393258427
3,1,online_draft10,135,0.5004709912224363,0.03106936416184971,0.8323699421965318,0.9219653179190751,0.2593905216203016,0.06481481481481481,0.18478260869565216,0.3695652173913043
4,0,docgen_offline10,113,0.4690557070169556,0.1985172981878089,0.45799011532125206,0.7331136738056013,0.3963770084551963,0.026415094339622643,0.15079365079365079,0.8333333333333334
4,0,old_offline10,117,0.3515890113913178,0.027182866556836903,0.35090609555189456,0.685337726523888,0.21211221291909033,0.023809523809523808,0.08888888888888889,0.28125
4,0,online_draft10,117,0.3531097311986933,0.029654036243822075,0.1927512355848435,0.7874794069192751,0.24811737019134356,0.03125,0.13333333333333333,0.40625
4,1,docgen_offline10,199,0.48185052700497255,0.21160247265810747,0.4474560152163576,0.7165953399904897,0.351205803637169,0.021929824561403508,0.04824561403508772,0.868421052631579
4,1,old_offline10,213,0.5901785734218276,0.33761293390394675,0.6547788873038516,0.8102710413694721,0.3310397867033765,0.024922118380062305,0.08333333333333333,0.8411214953271028
4,1,online_draft10,207,0.6822827292963124,0.4431764146457442,0.8768426058012363,0.922491678554446,0.4343684125765962,0.04697986577181208,0.38848920863309355,0.7432432432432432
6,0,docgen_offline10,144,0.4691006600660066,0.25346534653465347,0.49504950495049505,0.7425742574257426,0.3032911198578919,0.0273224043715847,0.06976744186046512,0.7093596059113301
6,0,old_offline10,155,0.5442521026296178,0.1834983498349835,0.5313531353135313,0.8963696369636963,0.2586768705601767,0.023255813953488372,0.05813953488372093,0.1511627906976744
6,0,online_draft10,149,0.6246838106629455,0.44554455445544555,0.6653465346534654,0.9366336633663367,0.23174127506282038,0.03571428571428571,0.11627906976744186,0.32558139534883723
7,0,docgen_offline10,154,0.46809432841571286,0.24103831891223734,0.4338689740420272,0.6940667490729295,0.3222253537108151,0.024630541871921183,0.09016393442622951,0.7044334975369458
7,0,old_offline10,115,0.419223947976568,0.1477132262051916,0.4072929542645241,0.5803461063040791,0.16284248874833257,0.014778325123152709,0.03940886699507389,0.16326530612244897
7,0,online_draft10,158,0.3602040337344119,0.0957972805933251,0.40234857849196537,0.5679851668726823,0.23098025331573305,0.02702702702702703,0.11688311688311688,0.30612244897959184
7,1,docgen_offline10,141,0.4716406745637209,0.2363150867823765,0.49198931909212285,0.7269692923898531,0.32852766749499784,0.02857142857142857,0.08139534883720931,0.7532467532467533
7,1,old_offline10,202,0.5173333421459636,0.24432576769025366,0.4939919893190921,0.8097463284379173,0.3103147523896606,0.029556650246305417,0.08441558441558442,0.7664233576642335
7,1,online_draft10,146,0.5496461034804396,0.08277703604806408,0.6321762349799733,0.9325767690253671,0.25095986713037555,0.045454545454545456,0.16279069767441862,0.37209302325581395
9,0,docgen_offline10,195,0.47800083488292666,0.18253576714356193,0.4444992599901332,0.7000493339911199,0.37374298875711875,0.021929824561403508,0.04905660377358491,0.8640350877192983
9,0,old_offline10,130,0.3283632499715381,0.09077454366058214,0.17760236803157375,0.5525407005426739,0.2063802804317679,0.014388489208633094,0.03902439024390244,0.15079365079365079
9,0,online_draft10,199,0.4052056037464084,0.08682782437099161,0.3048840651208683,0.8307844104588061,0.304356703831884,0.02631578947368421,0.125,0.6507936507936508
9,1,docgen_offline10,268,0.48858822956619585,0.2355926060166727,0.49256977165639726,0.7194635737586081,0.4194648106178103,0.024390243902439025,0.22926829268292684,0.9024390243902439
9,1,old_offline10,323,0.5933320391356405,0.36861181587531716,0.7078651685393258,0.7448350851757883,0.3565093976597324,0.028938906752411574,0.1951219512195122,0.7041800643086816
9,1,online_draft10,272,0.6317906104087159,0.2355926060166727,0.8756795940558173,0.9478071765132294,0.29247554544121934,0.030864197530864196,0.13815789473684212,0.4342105263157895
10,0,docgen_offline10,146,0.475504991873694,0.2522816166883963,0.5104302477183833,0.711864406779661,0.35074355833804005,0.025974025974025976,0.13793103448275862,0.8225806451612904
10,0,old_offline10,95,0.3511631098607013,0.01564537157757497,0.3116036505867014,0.652542372881356,0.15997981118118962,0.012903225806451613,0.03763440860215054,0.10752688172043011
10,0,online_draft10,150,0.38368100825727947,0.0560625814863103,0.3122555410691004,0.6577574967405476,0.19534037851275374,0.02247191011235955,0.07352941176470588,0.16666666666666666
10,1,docgen_offline10,168,0.4673899854392493,0.22253680634201586,0.43148357870894677,0.7032842582106456,0.2371368726144363,0.02631578947368421,0.11330049261083744,0.1724137931034483
10,1,old_offline10,227,0.5506882324474534,0.35447338618346547,0.6766704416761042,0.7548131370328426,0.2970126442509482,0.03278688524590164,0.11290322580645161,0.6283185840707964
10,1,online_draft10,173,0.5231868498746391,0.13023782559456398,0.6998867497168743,0.8754246885617214,0.24887834219504587,0.028985507246376812,0.07971014492753623,0.16129032258064516
11,0,docgen_offline10,119,0.46303120772496154,0.22442505947660588,0.45836637589214907,0.6732751784298177,0.2717388552809966,0.032679738562091505,0.0821917808219178,0.4895833333333333
11,0,old_offline10,92,0.40911285039478673,0.02775574940523394,0.4599524187153053,0.669310071371927,0.22257821462844812,0.015748031496062992,0.058823529411764705,0.2647058823529412
11,0,online_draft10,123,0.47953295551988034,0.10309278350515463,0.5701823949246629,0.7914353687549563,0.20168057951292606,0.020833333333333332,0.05511811023622047,0.2876712328767123
11,1,docgen_offline10,115,0.46414363668368247,0.22267206477732793,0.5060728744939271,0.7125506072874493,0.32496045606900964,0.028037383177570093,0.06542056074766354,0.7231638418079096
11,1,old_offline10,195,0.6186816152808056,0.22267206477732793,0.8032388663967611,0.9052631578947369,0.3646190777069859,0.046357615894039736,0.19205298013245034,0.6490066225165563
11,1,online_draft10,120,0.5089271255060729,0.044534412955465584,0.9190283400809717,0.9506072874493927,0.39943974066842086,0.1111111111111111,0.38235294117647056,0.6388888888888888
12,0,docgen_offline10,196,0.4706015772210203,0.26673180263800683,0.4748412310698583,0.6961406936980947,0.2969708095925715,0.022222222222222223,0.08928571428571429,0.5377777777777778
12,0,old_offline10,93,0.29975153778674274,0.0361504640937958,0.27552515876893013,0.47191011235955055,0.17405034721404064,0.008928571428571428,0.02702702702702703,0.10666666666666667
12,0,online_draft10,201,0.2533157368992847,0.026380068392769906,0.1446018563751832,0.43722520762090866,0.24448989859967069,0.022222222222222223,0.10135135135135136,0.39855072463768115
12,1,docgen_offline10,204,0.4773269963723194,0.21686182669789228,0.4932084309133489,0.722248243559719,0.34994283223237055,0.024844720496894408,0.08080808080808081,0.6888888888888889
12,1,old_offline10,264,0.55807962529274,0.38548009367681496,0.6482435597189695,0.7011709601873536,0.31520553737257484,0.036231884057971016,0.14,0.5802469135802469
12,1,online_draft10,210,0.5669722315155571,0.0702576112412178,0.8913348946135832,0.9559718969555036,0.4329586632521613,0.0707070707070707,0.35353535353535354,0.7828282828282829
13,0,docgen_offline10,109,0.46896692688065533,0.28363324764353043,0.46101113967437873,0.6915167095115681,0.33922671512441044,0.026415094339622643,0.06329113924050633,0.7721518987341772
13,0,old_offline10,87,0.28204749381949984,0.026563838903170524,0.08140531276778064,0.46272493573264784,0.23841518998448052,0.020833333333333332,0.060810810810810814,0.3372093023255814
13,0,online_draft10,114,0.32906387648641744,0.023993144815766924,0.3384747215081405,0.6478149100257069,0.1998822628340797,0.022222222222222223,0.06666666666666667,0.2558139534883721
13,1,docgen_offline10,200,0.4809659090909091,0.21070075757575757,0.4460227272727273,0.7196969696969697,0.3541813451318037,0.021929824561403508,0.04807692307692308,0.9207547169811321
13,1,old_offline10,225,0.6452756734006734,0.5326704545454546,0.7679924242424242,0.8068181818181818,0.35347596761594774,0.03355704697986577,0.16346153846153846,0.6730769230769231
13,1,online_draft10,208,0.679339215472028,0.4422348484848485,0.8731060606060606,0.9081439393939394,0.41746325781107196,0.03597122302158273,0.3597122302158273,0.777027027027027
14,0,docgen_offline10,103,0.4608331637033038,0.20054694621695535,0.38833181403828626,0.6836827711941659,0.3033725398223306,0.04424778761061947,0.0891089108910891,0.5774647887323944
14,0,old_offline10,83,0.3052684759091059,0.13309024612579762,0.19963536918869645,0.504102096627165,0.2325243058135801,0.017699115044247787,0.04424778761061947,0.39436619718309857
14,0,online_draft10,105,0.45506793419282027,0.1649954421148587,0.3764813126709207,0.7784867821330902,0.263061825825012,0.028368794326241134,0.10752688172043011,0.5
14,1,docgen_offline10,162,0.47397221680428236,0.23112931538911644,0.3698069046225863,0.7349327091866589,0.3757569208729876,0.03571428571428571,0.2361111111111111,0.6904761904761905
14,1,old_offline10,184,0.6424778029358639,0.5886483323581042,0.7682855471035693,0.81275599765945,0.3227655076970401,0.03571428571428571,0.10714285714285714,0.7647058823529411
14,1,online_draft10,168,0.6048754493020145,0.23171445289643067,0.7694558221181977,0.906377998829725,0.3185066109350426,0.030612244897959183,0.19387755102040816,0.5368421052631579
15,0,docgen_offline10,64,0.46784131205673757,0.27092198581560284,0.45673758865248226,0.7432624113475177,0.46098827867570213,0.05454545454545454,0.5849056603773585,0.9393939393939394
15,0,old_offline10,52,0.4246317512274959,0.12624113475177304,0.3943262411347518,0.8439716312056738,0.20261718592268504,0.01818181818181818,0.04081632653061224,0.09090909090909091
15,0,online_draft10,67,0.3664655446173388,0.02269503546099291,0.13049645390070921,0.8468085106382979,0.19452744015446385,0.033707865168539325,0.09433962264150944,0.21348314606741572
15,1,docgen_offline10,107,0.47487659174360264,0.21769297484822203,0.4692107545533391,0.7337380745880312,0.3312221060338715,0.044444444444444446,0.08571428571428572,0.7191011235955056
15,1,old_offline10,129,0.5632492251423654,0.3668690372940156,0.6574154379878577,0.7545533391153513,0.260260010315787,0.032679738562091505,0.06956521739130435,0.21739130434782608
15,1,online_draft10,112,0.4202778466113245,0.027753686036426712,0.14310494362532525,0.9132697311361665,0.2509399020966472,0.07142857142857142,0.20224719101123595,0.3
16,0,docgen_offline10,147,0.46955485490899657,0.23529411764705882,0.48157724628312865,0.7498383968972204,0.30641896472568275,0.022222222222222223,0.06172839506172839,0.6557377049180327
16,0,old_offline10,108,0.4536857478033949,0.049773755656108594,0.4835164835164835,0.8028442146089205,0.18312880021569733,0.014492753623188406,0.044444444444444446,0.17117117117117117
16,0,online_draft10,151,0.2881072958984918,0.09760827407886231,0.23400129282482224,0.36199095022624433,0.2928278804547884,0.036036036036036036,0.3111111111111111,0.43478260869565216
16,1,docgen_offline10,213,0.47725971966149877,0.20917678812415655,0.4898785425101215,0.7323436797121008,0.3344008745403882,0.022222222222222223,0.07575757575757576,0.6775956284153005
16,1,old_offline10,218,0.5581782614616995,0.30229419703103916,0.6617183985605039,0.7282950967161493,0.3082689681749537,0.024691358024691357,0.12650602409638553,0.6265060240963856
16,1,online_draft10,218,0.491149657252989,0.06702654071075123,0.20917678812415655,0.9572649572649573,0.3931225840511721,0.050724637681159424,0.22666666666666666,0.7878787878787878
