example_id,chunk_id,method,rate,chunk_len,selected_count
1,17,offline3b_top2_mean_global,0.15,946,135
1,18,offline3b_top2_mean_global,0.15,411,279
1,0,offline3b_freq_boundary0p02_global,0.15,953,243
1,1,offline3b_freq_boundary0p02_global,0.15,935,112
1,2,offline3b_freq_boundary0p02_global,0.15,924,50
1,3,offline3b_freq_boundary0p02_global,0.15,957,109
1,4,offline3b_freq_boundary0p02_global,0.15,941,172
1,5,offline3b_freq_boundary0p02_global,0.15,939,141
1,6,offline3b_freq_boundary0p02_global,0.15,938,184
1,7,offline3b_freq_boundary0p02_global,0.15,490,242
1,8,offline3b_freq_boundary0p02_global,0.15,912,76
1,9,offline3b_freq_boundary0p02_global,0.15,877,64
1,10,offline3b_freq_boundary0p02_global,0.15,949,141
1,11,offline3b_freq_boundary0p02_global,0.15,943,73
1,12,offline3b_freq_boundary0p02_global,0.15,984,77
1,13,offline3b_freq_boundary0p02_global,0.15,935,73
1,14,offline3b_freq_boundary0p02_global,0.15,943,100
1,15,offline3b_freq_boundary0p02_global,0.15,925,116
1,16,offline3b_freq_boundary0p02_global,0.15,939,126
1,17,offline3b_freq_boundary0p02_global,0.15,946,153
1,18,offline3b_freq_boundary0p02_global,0.15,411,274
2,0,offline3b_mean_score_global,0.15,918,202
2,1,offline3b_mean_score_global,0.15,952,39
2,2,offline3b_mean_score_global,0.15,935,32
2,3,offline3b_mean_score_global,0.15,965,58
2,4,offline3b_mean_score_global,0.15,958,75
2,5,offline3b_mean_score_global,0.15,918,43
2,6,offline3b_mean_score_global,0.15,917,90
2,7,offline3b_mean_score_global,0.15,515,97
2,8,offline3b_mean_score_global,0.15,168,44
2,9,offline3b_mean_score_global,0.15,732,125
2,10,offline3b_mean_score_global,0.15,91,43
2,11,offline3b_mean_score_global,0.15,163,36
2,12,offline3b_mean_score_global,0.15,992,147
2,13,offline3b_mean_score_global,0.15,853,120
2,14,offline3b_mean_score_global,0.15,896,104
2,15,offline3b_mean_score_global,0.15,557,128
2,16,offline3b_mean_score_global,0.15,914,93
2,17,offline3b_mean_score_global,0.15,668,81
2,18,offline3b_mean_score_global,0.15,695,78
2,19,offline3b_mean_score_global,0.15,375,91
2,20,offline3b_mean_score_global,0.15,943,192
2,21,offline3b_mean_score_global,0.15,898,152
2,22,offline3b_mean_score_global,0.15,788,451
2,0,offline3b_top2_mean_global,0.15,918,184
2,1,offline3b_top2_mean_global,0.15,952,44
2,2,offline3b_top2_mean_global,0.15,935,32
2,3,offline3b_top2_mean_global,0.15,965,58
2,4,offline3b_top2_mean_global,0.15,958,85
2,5,offline3b_top2_mean_global,0.15,918,51
2,6,offline3b_top2_mean_global,0.15,917,83
2,7,offline3b_top2_mean_global,0.15,515,91
2,8,offline3b_top2_mean_global,0.15,168,50
2,9,offline3b_top2_mean_global,0.15,732,139
2,10,offline3b_top2_mean_global,0.15,91,36
2,11,offline3b_top2_mean_global,0.15,163,38
2,12,offline3b_top2_mean_global,0.15,992,140
2,13,offline3b_top2_mean_global,0.15,853,108
2,14,offline3b_top2_mean_global,0.15,896,94
2,15,offline3b_top2_mean_global,0.15,557,128
2,16,offline3b_top2_mean_global,0.15,914,97
2,17,offline3b_top2_mean_global,0.15,668,85
2,18,offline3b_top2_mean_global,0.15,695,70
2,19,offline3b_top2_mean_global,0.15,375,97
2,20,offline3b_top2_mean_global,0.15,943,176
2,21,offline3b_top2_mean_global,0.15,898,158
2,22,offline3b_top2_mean_global,0.15,788,477
2,0,offline3b_freq_boundary0p02_global,0.15,918,196
2,1,offline3b_freq_boundary0p02_global,0.15,952,48
2,2,offline3b_freq_boundary0p02_global,0.15,935,47
2,3,offline3b_freq_boundary0p02_global,0.15,965,69
2,4,offline3b_freq_boundary0p02_global,0.15,958,78
2,5,offline3b_freq_boundary0p02_global,0.15,918,55
2,6,offline3b_freq_boundary0p02_global,0.15,917,107
2,7,offline3b_freq_boundary0p02_global,0.15,515,99
2,8,offline3b_freq_boundary0p02_global,0.15,168,49
2,9,offline3b_freq_boundary0p02_global,0.15,732,109
2,10,offline3b_freq_boundary0p02_global,0.15,91,54
