source,kind,layer,relative_l2,diff_norm,full_norm,source_norm,cosine_source_full,delta_energy_share
raw,hidden_layer_input,0,0.0,0.0,1151.9100221903466,1151.9100221903466,1.0,0.0
raw,hidden_layer_input,1,0.061708304154966274,1055.7344474941192,17108.46638797404,17503.24536709862,0.9983992231362782,2.006457937657296e-07
raw,hidden_layer_input,2,0.08508097050322667,2157.181731710579,25354.45610165869,26035.200540228645,0.9968262752006835,8.377108542963736e-07
raw,hidden_layer_input,3,0.09306439426848148,2790.944534448838,29989.391285320587,30822.591376078664,0.9961620997719857,1.4022423729062233e-06
raw,hidden_layer_input,4,0.10322050070609706,3628.949504803531,35157.25538995738,36080.06819561183,0.9951447049868619,2.3707323481172294e-06
raw,hidden_layer_input,5,0.10354171955270902,4330.052615318689,41819.40027675926,42833.53017679316,0.9950535540431652,3.3752583652802406e-06
raw,hidden_layer_input,6,0.11074161101521021,5367.138146700613,48465.41510005163,49393.64652905776,0.9941633560903212,5.1856860809899686e-06
raw,hidden_layer_input,7,0.11315886837261836,6064.931288949809,53596.6060475148,54313.025833760636,0.9937701596713142,6.621744891176251e-06
raw,hidden_layer_input,8,0.12057036816749155,7293.173821038714,60488.94045763655,60924.30048198133,0.9928090524226455,9.57533118374133e-06
raw,hidden_layer_input,9,0.11578163331921257,7823.631009920762,67572.29783026844,67868.26025516272,0.9933360962336906,1.1018878489959783e-05
raw,hidden_layer_input,10,0.11107029653929187,8450.875514613012,76085.82832605885,76122.4381488057,0.9938347859956768,1.2856539365039262e-05
raw,hidden_layer_input,11,0.11220455279041208,9067.958300219934,80816.31337329117,80829.53286334302,0.9937061213226214,1.480265794675349e-05
raw,hidden_layer_input,12,0.11766171213717602,9771.972982926718,83051.42603682372,83052.0898587522,0.9930779268642651,1.7190368650430162e-05
raw,hidden_layer_input,13,0.1257576199728595,10818.394341709689,86025.75608575027,86036.75060275842,0.992093533969985,2.1069114867673798e-05
raw,hidden_layer_input,14,0.12937092713984844,11572.008307569695,89448.2907667539,89432.46355560714,0.9916301248606425,2.410672139171018e-05
raw,hidden_layer_input,15,0.13178834277724996,12336.74569591684,93610.29538681229,93707.53110326166,0.9913254704889898,2.7398191703994016e-05
raw,hidden_layer_input,16,0.13681780115858277,13380.851386006501,97800.51479190946,97952.12318206788,0.9906561340957108,3.2232067927270944e-05
raw,hidden_layer_input,17,0.14099095151390578,14333.219641857419,101660.56394366377,101995.92807497267,0.9900988904462118,3.698351517535603e-05
raw,hidden_layer_input,18,0.14950986212140344,15729.939163135954,105210.04393919575,105636.11164452713,0.9888766588156639,4.4542517679470236e-05
raw,hidden_layer_input,19,0.15838808805098717,17145.533807236658,108250.14695371088,108583.46070477308,0.9874998383822212,5.2920348682679757e-05
raw,hidden_layer_input,20,0.16450127371737736,18252.734820101996,110958.0151425529,111503.05543823676,0.9865478122924362,5.9975871004742514e-05
raw,hidden_layer_input,21,0.17221213752215592,19447.353816941864,112926.7315112436,113566.92453653704,0.985271069900458,6.808347378675074e-05
raw,hidden_layer_input,22,0.18149227420288644,21183.489269275033,116718.40777968572,117160.36231726369,0.9835995583191987,8.078219868047767e-05
raw,hidden_layer_input,23,0.19195374234902357,22883.27191099247,119212.429155898,119392.8380596487,0.9816058718708323,9.426639903718686e-05
raw,hidden_layer_input,24,0.20154820690092903,24287.588630812505,120505.10894771226,120489.01433481394,0.9796864740469279,0.00010619143070228716
raw,hidden_layer_input,25,0.2072848601853028,25481.84802703534,122931.54456266503,122625.60681093489,0.978466014221813,0.00011689138855584949
raw,hidden_layer_input,26,0.21262042178500645,26690.736305048147,125532.32695604746,124809.01025516947,0.9772819831796992,0.0001282453964364165
raw,hidden_layer_input,27,0.21582803626011846,28433.83606517678,131743.01428989507,130401.69367453591,0.9765219333955669,0.00014554308811138636
raw,hidden_layer_input,28,0.2161503556713747,29640.136725314493,137127.4020496086,135386.17299183473,0.9764207317859454,0.00015815432772545767
raw,hidden_layer_input,29,0.21789364342486292,30629.425110337652,140570.53078237094,138695.94955062674,0.976030462837485,0.00016888783412166703
raw,hidden_layer_input,30,0.21817796616662605,31738.68901174119,145471.55961432806,143490.55182572125,0.9759646138683911,0.00018134210098442284
raw,hidden_layer_input,31,0.2192131576962477,31578.875864790534,144055.56763407306,142160.2392029853,0.9757401740066368,0.00017952048267572124
raw,hidden_layer_input,32,0.22092599869653584,31416.299240171462,142202.81644318794,140478.6858261334,0.975370746234379,0.00017767680046550203
raw,hidden_layer_input,33,0.21687958055770765,30772.9291836132,141889.47204932966,140692.19508314063,0.9763173953599775,0.0001704740778820582
raw,hidden_layer_input,34,0.2127962613719084,30703.058321061104,144283.8239878695,143374.12825868375,0.9772352364357061,0.0001697008236716901
raw,hidden_layer_input,35,0.21513265388903846,31229.705706534023,145164.87916632934,144663.10256203896,0.9767847146336022,0.00017557248597952643
raw,hidden_layer_input,36,0.2239621796353814,32046.538095559656,143089.06150017199,143317.07058956724,0.9749616519167476,0.0001848770133102821
raw,hidden_layer_input,37,0.2379014489469062,33454.44201959811,140623.1116610993,141131.46614593075,0.9718099009208288,0.00020147829019649335
raw,hidden_layer_input,38,0.2442551425439249,33372.42421326136,136629.36168175016,137318.2042966263,0.9703320139558894,0.00020049160202835874
raw,hidden_layer_input,39,0.2498492555204835,34098.18949630648,136475.049426397,137408.67712684668,0.9690230002172887,0.0002093067889459316
raw,hidden_layer_input,40,0.26050504290106297,35793.42718369624,137400.13162543732,138315.8937925248,0.9663152931306348,0.00023063607703851738
raw,hidden_layer_input,41,0.2659258087023646,37265.840299386255,140136.2300305938,141472.61574749192,0.9650207854457291,0.0002500014410999099
raw,hidden_layer_input,42,0.28759951651718346,41333.94459009538,143720.49400724832,145201.64744588817,0.9591176986937879,0.0003075632072316823
raw,hidden_layer_input,43,0.2993454858679002,43526.72407761645,145406.3152194137,146169.04057032734,0.9554436314941721,0.00034106145454295046
raw,hidden_layer_input,44,1.3452552834427707,493941.7374998721,367173.2373618923,488875.7083525934,0.3616593372752249,0.043920990460551146
raw,hidden_layer_input,45,1.3388091145756165,500523.75623792864,373857.44598593324,496826.9859656881,0.36632014138273056,0.04509932744179257
raw,hidden_layer_input,46,1.324851761124703,503420.4412775901,379982.46751034446,502072.77632443386,0.3748623254802483,0.04562284532963725
raw,hidden_layer_input,47,1.3092373602170355,504073.9084557235,385013.3854812713,505471.6669751382,0.38447107683300585,0.04574136408263306
raw,hidden_layer_input,48,1.2955145488253292,505267.6965270893,390013.13955541933,509925.70872922265,0.3943102176463435,0.045958277334593976
raw,hidden_layer_input,49,1.2710693954331724,505231.6243444051,397485.4765283884,514308.5051543723,0.4090613396609756,0.04595171544191927
raw,hidden_layer_input,50,1.2463380760430158,508385.73544429225,407903.5578038024,523739.67356168467,0.4265037784311911,0.046527250391978255
raw,hidden_layer_input,51,1.1964156471893304,509786.8444860235,426095.09971190704,537209.3254444677,0.4592970384830884,0.04678406162016935
raw,hidden_layer_input,52,1.1426858343187445,512243.025808209,448279.84247621486,554581.08139658,0.49500126821704793,0.04723596406248105
raw,hidden_layer_input,53,1.0795983703241827,514569.6275775114,476630.6079389468,576594.9271403626,0.5364484944219001,0.04766602890523263
raw,hidden_layer_input,54,1.0036814854032554,518217.56326132454,516316.75068023894,609556.3843579198,0.5871689668840097,0.048344261552141596
