example_id,chunk_id,method,chunk_len,selected_count,mean_score_selected
2,8,lexical_entity_number_per_chunk,234,35,4.107142857142857
2,8,lexical_idf_entity_per_chunk,234,35,11.616861523148968
2,8,lexical_idf_entity_boundary_per_chunk,234,35,11.884538253769513
2,9,lexical_entity_number_per_chunk,368,55,4.054545454545455
2,9,lexical_idf_entity_per_chunk,368,55,9.45965503305489
2,9,lexical_idf_entity_boundary_per_chunk,368,55,9.615034111603487
3,0,lexical_entity_number_per_chunk,108,16,4.09375
3,0,lexical_idf_entity_per_chunk,108,16,10.110545725626846
3,0,lexical_idf_entity_boundary_per_chunk,108,16,10.664670590146065
3,1,lexical_entity_number_per_chunk,92,13,3.6923076923076925
3,1,lexical_idf_entity_per_chunk,92,13,10.244949789157687
3,1,lexical_idf_entity_boundary_per_chunk,92,13,10.81240028521044
3,2,lexical_entity_number_per_chunk,90,13,4.115384615384615
3,2,lexical_idf_entity_per_chunk,90,13,10.556250461054116
3,2,lexical_idf_entity_boundary_per_chunk,90,13,11.005191222822699
3,3,lexical_entity_number_per_chunk,170,25,3.68
3,3,lexical_idf_entity_per_chunk,170,25,9.057736436635544
3,3,lexical_idf_entity_boundary_per_chunk,170,25,9.500193682170972
3,4,lexical_entity_number_per_chunk,141,21,4.071428571428571
3,4,lexical_idf_entity_per_chunk,141,21,10.65131173033181
3,4,lexical_idf_entity_boundary_per_chunk,141,21,11.109987845530682
3,5,lexical_entity_number_per_chunk,200,30,4.025
3,5,lexical_idf_entity_per_chunk,200,30,9.421695915742383
3,5,lexical_idf_entity_boundary_per_chunk,200,30,9.732093860261894
3,6,lexical_entity_number_per_chunk,52,7,4.107142857142857
3,6,lexical_idf_entity_per_chunk,52,7,10.34820853056649
3,6,lexical_idf_entity_boundary_per_chunk,52,7,11.145611127969085
3,7,lexical_entity_number_per_chunk,143,21,4.035714285714286
3,7,lexical_idf_entity_per_chunk,143,21,9.442606184575649
3,7,lexical_idf_entity_boundary_per_chunk,143,21,9.715880234715264
3,8,lexical_entity_number_per_chunk,68,10,4.1
3,8,lexical_idf_entity_per_chunk,68,10,10.187587532024171
3,8,lexical_idf_entity_boundary_per_chunk,68,10,10.85735621401844
3,9,lexical_entity_number_per_chunk,90,13,4.173076923076923
3,9,lexical_idf_entity_per_chunk,90,13,9.659700672625096
3,9,lexical_idf_entity_boundary_per_chunk,90,13,10.44432771248703
3,10,lexical_entity_number_per_chunk,89,13,4.0576923076923075
3,10,lexical_idf_entity_per_chunk,89,13,9.25036430438797
3,10,lexical_idf_entity_boundary_per_chunk,89,13,9.710711640281279
4,0,lexical_entity_number_per_chunk,96,14,4.107142857142857
4,0,lexical_idf_entity_per_chunk,96,14,9.164443669008962
4,0,lexical_idf_entity_boundary_per_chunk,96,14,9.811581151123608
4,1,lexical_entity_number_per_chunk,139,20,3.4
4,1,lexical_idf_entity_per_chunk,139,20,9.087353138669219
4,1,lexical_idf_entity_boundary_per_chunk,139,20,9.636065770520714
4,2,lexical_entity_number_per_chunk,192,28,4.026785714285714
4,2,lexical_idf_entity_per_chunk,192,28,9.554252857136449
4,2,lexical_idf_entity_boundary_per_chunk,192,28,9.813134611510279
4,3,lexical_entity_number_per_chunk,126,18,3.9027777777777777
4,3,lexical_idf_entity_per_chunk,126,18,8.493668644153097
4,3,lexical_idf_entity_boundary_per_chunk,126,18,8.927697777854737
4,4,lexical_entity_number_per_chunk,265,39,4.038461538461538
4,4,lexical_idf_entity_per_chunk,265,39,9.269054999809606
4,4,lexical_idf_entity_boundary_per_chunk,265,39,9.589930405007623
4,5,lexical_entity_number_per_chunk,74,11,4.136363636363637
4,5,lexical_idf_entity_per_chunk,74,11,10.186041083913057
4,5,lexical_idf_entity_boundary_per_chunk,74,11,10.800446487245337
4,6,lexical_entity_number_per_chunk,60,9,4.333333333333333
4,6,lexical_idf_entity_per_chunk,60,9,10.394468462731531
4,6,lexical_idf_entity_boundary_per_chunk,60,9,11.12708210385698
4,7,lexical_entity_number_per_chunk,45,6,4.5
4,7,lexical_idf_entity_per_chunk,45,6,10.488430515597818
4,7,lexical_idf_entity_boundary_per_chunk,45,6,11.605097182264482
4,8,lexical_entity_number_per_chunk,79,11,4.136363636363637
4,8,lexical_idf_entity_per_chunk,79,11,9.330507623131625
4,8,lexical_idf_entity_boundary_per_chunk,79,11,10.169152083843034
4,9,lexical_entity_number_per_chunk,102,15,4.25
4,9,lexical_idf_entity_per_chunk,102,15,10.015177515685313
4,9,lexical_idf_entity_boundary_per_chunk,102,15,10.28275552577677
4,10,lexical_entity_number_per_chunk,148,22,4.1022727272727275
4,10,lexical_idf_entity_per_chunk,148,22,9.82804894152249
4,10,lexical_idf_entity_boundary_per_chunk,148,22,10.212714949952549
4,11,lexical_entity_number_per_chunk,139,20,4.15
4,11,lexical_idf_entity_per_chunk,139,20,9.365312391911488
4,11,lexical_idf_entity_boundary_per_chunk,139,20,9.782721663588788
4,12,lexical_entity_number_per_chunk,149,22,4.136363636363637
4,12,lexical_idf_entity_per_chunk,149,22,9.653735402340844
4,12,lexical_idf_entity_boundary_per_chunk,149,22,10.137327471940061
4,13,lexical_entity_number_per_chunk,228,34,4.0661764705882355
4,13,lexical_idf_entity_per_chunk,228,34,8.722891373113423
4,13,lexical_idf_entity_boundary_per_chunk,228,34,9.005688870672031
4,14,lexical_entity_number_per_chunk,196,29,4.051724137931035
4,14,lexical_idf_entity_per_chunk,196,29,8.795664245312409
4,14,lexical_idf_entity_boundary_per_chunk,196,29,9.227319951365747
4,15,lexical_entity_number_per_chunk,72,10,4.225
4,15,lexical_idf_entity_per_chunk,72,10,8.86753270476024
4,15,lexical_idf_entity_boundary_per_chunk,72,10,9.769035307362074
4,16,lexical_entity_number_per_chunk,88,13,4.230769230769231
4,16,lexical_idf_entity_per_chunk,88,13,10.499261389083877
4,16,lexical_idf_entity_boundary_per_chunk,88,13,11.076002921168085
4,17,lexical_entity_number_per_chunk,86,12,4.25
4,17,lexical_idf_entity_per_chunk,86,12,9.438860091683715
4,17,lexical_idf_entity_boundary_per_chunk,86,12,10.135080139497624
4,18,lexical_entity_number_per_chunk,321,48,3.7708333333333335
4,18,lexical_idf_entity_per_chunk,321,48,8.966163151777648
