example_id,chunk_id,method,rate,chunk_len,selected_count,n_queries,score_status,status
151,13,docgen_draft_smart_frequency_global,0.1,74,7,32,ok,
151,13,docgen_draft_smart_frequency_global,0.15,74,11,32,ok,
151,13,docgen_draft_smart_frequency_global,0.2,74,14,32,ok,
151,14,docgen_draft_smart_frequency_global,0.1,310,31,32,ok,
151,14,docgen_draft_smart_frequency_global,0.15,310,46,32,ok,
151,14,docgen_draft_smart_frequency_global,0.2,310,62,32,ok,
151,15,docgen_draft_smart_frequency_global,0.1,42,4,32,ok,
151,15,docgen_draft_smart_frequency_global,0.15,42,6,32,ok,
151,15,docgen_draft_smart_frequency_global,0.2,42,8,32,ok,
152,0,docgen_draft_smart_frequency_global,0.1,71,7,32,ok,
152,0,docgen_draft_smart_frequency_global,0.15,71,10,32,ok,
152,0,docgen_draft_smart_frequency_global,0.2,71,14,32,ok,
152,1,docgen_draft_smart_frequency_global,0.1,123,12,32,ok,
152,1,docgen_draft_smart_frequency_global,0.15,123,18,32,ok,
152,1,docgen_draft_smart_frequency_global,0.2,123,24,32,ok,
152,2,docgen_draft_smart_frequency_global,0.1,155,15,32,ok,
152,2,docgen_draft_smart_frequency_global,0.15,155,23,32,ok,
152,2,docgen_draft_smart_frequency_global,0.2,155,31,32,ok,
152,3,docgen_draft_smart_frequency_global,0.1,342,34,32,ok,
152,3,docgen_draft_smart_frequency_global,0.15,342,51,32,ok,
152,3,docgen_draft_smart_frequency_global,0.2,342,68,32,ok,
152,4,docgen_draft_smart_frequency_global,0.1,194,19,32,ok,
152,4,docgen_draft_smart_frequency_global,0.15,194,29,32,ok,
152,4,docgen_draft_smart_frequency_global,0.2,194,38,32,ok,
152,5,docgen_draft_smart_frequency_global,0.1,156,15,32,ok,
152,5,docgen_draft_smart_frequency_global,0.15,156,23,32,ok,
152,5,docgen_draft_smart_frequency_global,0.2,156,31,32,ok,
152,6,docgen_draft_smart_frequency_global,0.1,314,31,32,ok,
152,6,docgen_draft_smart_frequency_global,0.15,314,47,32,ok,
152,6,docgen_draft_smart_frequency_global,0.2,314,62,32,ok,
152,7,docgen_draft_smart_frequency_global,0.1,71,7,32,ok,
152,7,docgen_draft_smart_frequency_global,0.15,71,10,32,ok,
152,7,docgen_draft_smart_frequency_global,0.2,71,14,32,ok,
152,8,docgen_draft_smart_frequency_global,0.1,160,16,32,ok,
152,8,docgen_draft_smart_frequency_global,0.15,160,24,32,ok,
152,8,docgen_draft_smart_frequency_global,0.2,160,32,32,ok,
152,9,docgen_draft_smart_frequency_global,0.1,109,10,32,ok,
152,9,docgen_draft_smart_frequency_global,0.15,109,16,32,ok,
152,9,docgen_draft_smart_frequency_global,0.2,109,21,32,ok,
152,10,docgen_draft_smart_frequency_global,0.1,180,18,32,ok,
152,10,docgen_draft_smart_frequency_global,0.15,180,27,32,ok,
152,10,docgen_draft_smart_frequency_global,0.2,180,36,32,ok,
152,11,docgen_draft_smart_frequency_global,0.1,224,22,32,ok,
152,11,docgen_draft_smart_frequency_global,0.15,224,33,32,ok,
152,11,docgen_draft_smart_frequency_global,0.2,224,44,32,ok,
152,12,docgen_draft_smart_frequency_global,0.1,116,11,32,ok,
152,12,docgen_draft_smart_frequency_global,0.15,116,17,32,ok,
152,12,docgen_draft_smart_frequency_global,0.2,116,23,32,ok,
152,13,docgen_draft_smart_frequency_global,0.1,91,9,32,ok,
152,13,docgen_draft_smart_frequency_global,0.15,91,13,32,ok,
152,13,docgen_draft_smart_frequency_global,0.2,91,18,32,ok,
152,14,docgen_draft_smart_frequency_global,0.1,84,8,32,ok,
152,14,docgen_draft_smart_frequency_global,0.15,84,12,32,ok,
152,14,docgen_draft_smart_frequency_global,0.2,84,16,32,ok,
153,0,docgen_draft_smart_frequency_global,0.1,82,8,32,ok,
153,0,docgen_draft_smart_frequency_global,0.15,82,12,32,ok,
153,0,docgen_draft_smart_frequency_global,0.2,82,16,32,ok,
153,1,docgen_draft_smart_frequency_global,0.1,112,11,32,ok,
153,1,docgen_draft_smart_frequency_global,0.15,112,16,32,ok,
153,1,docgen_draft_smart_frequency_global,0.2,112,22,32,ok,
153,2,docgen_draft_smart_frequency_global,0.1,124,12,32,ok,
153,2,docgen_draft_smart_frequency_global,0.15,124,18,32,ok,
153,2,docgen_draft_smart_frequency_global,0.2,124,24,32,ok,
153,3,docgen_draft_smart_frequency_global,0.1,109,10,32,ok,
153,3,docgen_draft_smart_frequency_global,0.15,109,16,32,ok,
153,3,docgen_draft_smart_frequency_global,0.2,109,21,32,ok,
153,4,docgen_draft_smart_frequency_global,0.1,178,17,32,ok,
153,4,docgen_draft_smart_frequency_global,0.15,178,26,32,ok,
153,4,docgen_draft_smart_frequency_global,0.2,178,35,32,ok,
153,5,docgen_draft_smart_frequency_global,0.1,221,22,32,ok,
153,5,docgen_draft_smart_frequency_global,0.15,221,33,32,ok,
153,5,docgen_draft_smart_frequency_global,0.2,221,44,32,ok,
153,6,docgen_draft_smart_frequency_global,0.1,83,8,32,ok,
153,6,docgen_draft_smart_frequency_global,0.15,83,12,32,ok,
153,6,docgen_draft_smart_frequency_global,0.2,83,16,32,ok,
153,7,docgen_draft_smart_frequency_global,0.1,32,3,32,ok,
153,7,docgen_draft_smart_frequency_global,0.15,32,4,32,ok,
153,7,docgen_draft_smart_frequency_global,0.2,32,6,32,ok,
153,8,docgen_draft_smart_frequency_global,0.1,188,18,32,ok,
153,8,docgen_draft_smart_frequency_global,0.15,188,28,32,ok,
153,8,docgen_draft_smart_frequency_global,0.2,188,37,32,ok,
153,9,docgen_draft_smart_frequency_global,0.1,126,12,32,ok,
153,9,docgen_draft_smart_frequency_global,0.15,126,18,32,ok,
153,9,docgen_draft_smart_frequency_global,0.2,126,25,32,ok,
154,0,docgen_draft_smart_frequency_global,0.1,111,11,32,ok,
154,0,docgen_draft_smart_frequency_global,0.15,111,16,32,ok,
154,0,docgen_draft_smart_frequency_global,0.2,111,22,32,ok,
154,1,docgen_draft_smart_frequency_global,0.1,190,19,32,ok,
154,1,docgen_draft_smart_frequency_global,0.15,190,28,32,ok,
154,1,docgen_draft_smart_frequency_global,0.2,190,38,32,ok,
154,2,docgen_draft_smart_frequency_global,0.1,94,9,32,ok,
154,2,docgen_draft_smart_frequency_global,0.15,94,14,32,ok,
154,2,docgen_draft_smart_frequency_global,0.2,94,18,32,ok,
154,3,docgen_draft_smart_frequency_global,0.1,77,7,32,ok,
154,3,docgen_draft_smart_frequency_global,0.15,77,11,32,ok,
154,3,docgen_draft_smart_frequency_global,0.2,77,15,32,ok,
154,4,docgen_draft_smart_frequency_global,0.1,114,11,32,ok,
154,4,docgen_draft_smart_frequency_global,0.15,114,17,32,ok,
154,4,docgen_draft_smart_frequency_global,0.2,114,22,32,ok,
154,5,docgen_draft_smart_frequency_global,0.1,140,14,32,ok,
154,5,docgen_draft_smart_frequency_global,0.15,140,21,32,ok,
154,5,docgen_draft_smart_frequency_global,0.2,140,28,32,ok,
154,6,docgen_draft_smart_frequency_global,0.1,257,25,32,ok,
