example_id,sub_idx,doc_len,query_len,selected_count,key_relative_l2,value_relative_l2,value_over_key_relative_l2,key_cosine,value_cosine,key_token_rel_mean,value_token_rel_mean,key_token_rel_p90,value_token_rel_p90,key_diff_norm,value_diff_norm
1,0,2105,27,196,0.1657075434923172,0.8483671545982361,5.119665265163078,0.9868083596229553,0.6749467253684998,0.16514262557029724,0.8717794418334961,0.1835297793149948,1.4749276638031006,2639.034423828125,1701.367431640625
2,0,2087,25,194,0.16654276847839355,0.7818945050239563,4.694857135875585,0.9866594672203064,0.7180324792861938,0.16601115465164185,0.8290923833847046,0.18223129212856293,1.5225543975830078,2639.00390625,1684.1544189453125
3,0,2233,21,216,0.16530117392539978,0.8096537590026855,4.898052081367451,0.9868839979171753,0.7050073146820068,0.16477781534194946,0.8593306541442871,0.1819591373205185,1.500838041305542,2764.174072265625,1761.845458984375
4,0,1946,26,173,0.17120760679244995,0.87286376953125,5.098276799022717,0.9857000112533569,0.6541409492492676,0.17064622044563293,0.9498851299285889,0.1900368332862854,1.7272109985351562,2562.985595703125,1759.8018798828125
4,1,2145,27,202,0.16905909776687622,0.8185868859291077,4.8420161750363455,0.986258864402771,0.6925596594810486,0.1685006022453308,0.8978331089019775,0.18783551454544067,1.7559621334075928,2733.103759765625,1816.2081298828125
5,0,1970,32,176,0.167650505900383,0.8244439363479614,4.917634646643559,0.9863412380218506,0.6865962743759155,0.16709910333156586,0.8817573189735413,0.18730877339839935,1.5773667097091675,2530.9287109375,1627.3128662109375
5,1,2867,24,311,0.16832740604877472,0.8316265940666199,4.940529968249534,0.986569881439209,0.6789702773094177,0.16789378225803375,0.8804082870483398,0.18244855105876923,1.4050441980361938,3379.23828125,2150.80419921875
7,0,2282,21,223,0.16845043003559113,0.8242194056510925,4.892949252026569,0.986370325088501,0.6853957772254944,0.16784672439098358,0.8840095400810242,0.18493404984474182,1.5159881114959717,2862.434326171875,1879.0230712890625
8,0,2379,27,238,0.16376425325870514,0.7320066094398499,4.46988029969519,0.9872095584869385,0.7470636963844299,0.16309504210948944,0.748283326625824,0.18240298330783844,1.3853336572647095,2874.876708984375,1705.83984375
8,1,2258,28,219,0.16727852821350098,0.8316716551780701,4.971777693498229,0.9865565299987793,0.6815299391746521,0.16669484972953796,0.889687180519104,0.18626640737056732,1.5421371459960938,2816.37841796875,1838.0662841796875
10,0,2790,25,299,0.16736643016338348,0.8101226687431335,4.840413145858758,0.986686646938324,0.6953627467155457,0.16680516302585602,0.8475741744041443,0.18344540894031525,1.4174063205718994,3294.544677734375,2016.8167724609375
10,1,3514,33,408,0.1677924394607544,0.8298222422599792,4.945528206883981,0.9871981143951416,0.6897965669631958,0.1672477275133133,0.8765344023704529,0.18363167345523834,1.4722126722335815,3856.760986328125,2346.63134765625
11,0,2297,25,225,0.1701013147830963,0.8860622644424438,5.209026547308537,0.986099123954773,0.65382319688797,0.1694323867559433,0.9304917454719543,0.18991367518901825,1.690335750579834,2903.654052734375,1929.7735595703125
11,1,2530,24,260,0.17062969505786896,0.8693495392799377,5.094948678071559,0.9860739707946777,0.6585596799850464,0.17005681991577148,0.9213897585868835,0.1886543333530426,1.5748604536056519,3131.338623046875,2077.968017578125
12,0,2022,27,184,0.1708982139825821,0.8856745362281799,5.182468064372312,0.9858562350273132,0.6402285099029541,0.1703552007675171,0.9436948299407959,0.18749046325683594,1.682220458984375,2637.3583984375,1815.5301513671875
12,1,1997,26,180,0.16778996586799622,0.863380491733551,5.145602642339438,0.9863559007644653,0.6668342351913452,0.16708914935588837,0.9263793230056763,0.18777835369110107,1.6807150840759277,2560.755126953125,1766.4364013671875
13,0,2803,32,301,0.16813378036022186,0.829882025718689,4.935843492817174,0.9865597486495972,0.6886270642280579,0.16760565340518951,0.8597496151924133,0.1859768033027649,1.4457637071609497,3319.982177734375,2080.30029296875
13,1,2893,30,315,0.17199848592281342,0.8549386858940125,4.970617510393125,0.9859279990196228,0.6691387891769409,0.17153042554855347,0.8882645964622498,0.18713843822479248,1.4020750522613525,3476.14306640625,2296.12841796875
14,0,1934,21,171,0.1674840897321701,0.862697184085846,5.150920218513086,0.9863325953483582,0.6592803597450256,0.16690409183502197,0.9005647301673889,0.1879722625017166,1.4653912782669067,2491.857421875,1619.1524658203125
14,1,2875,25,312,0.1671549379825592,0.8180501461029053,4.89396338493671,0.986763060092926,0.6898155808448792,0.16669738292694092,0.8589922785758972,0.18126936256885529,1.4204124212265015,3361.23388671875,2087.00732421875
15,0,1849,36,158,0.1712997555732727,0.8713308572769165,5.0865855257985,0.9856500029563904,0.6497233510017395,0.1708078682422638,0.9401733875274658,0.18772749602794647,1.5682348012924194,2450.119140625,1719.456298828125
15,1,2473,24,252,0.17259402573108673,0.7923833727836609,4.591024338314336,0.9857251644134521,0.7081287503242493,0.1721031814813614,0.8667215704917908,0.18974502384662628,1.5422725677490234,3118.724365234375,2092.208740234375
16,0,1470,23,101,0.17330962419509888,0.97956782579422,5.652125958601378,0.9852390885353088,0.5711777210235596,0.17278559505939484,1.057789921760559,0.19092153012752533,1.7581360340118408,1980.73583984375,1432.10400390625
16,1,1913,28,168,0.17257115244865417,0.9142251014709473,5.297670488337631,0.985462486743927,0.6220628619194031,0.1720937043428421,0.9826021790504456,0.18940450251102448,1.6360416412353516,2545.086669921875,1757.7742919921875
17,0,2307,28,227,0.17140543460845947,0.8729498386383057,5.092894753467341,0.9858834743499756,0.6568296551704407,0.17096462845802307,0.9371119141578674,0.18644170463085175,1.5629408359527588,2939.727783203125,1955.1527099609375
17,1,2981,30,328,0.17213387787342072,0.8655799031257629,5.0285272940707335,0.9859302043914795,0.6624071598052979,0.1716291606426239,0.9134806394577026,0.18871477246284485,1.492922067642212,3549.919189453125,2364.56982421875
18,0,2207,28,212,0.1695442497730255,0.9308539032936096,5.49033013230637,0.9861683249473572,0.6065268516540527,0.16898773610591888,0.9705495834350586,0.18543952703475952,1.5007628202438354,2808.88916015625,1906.3377685546875
18,1,2728,30,290,0.16938363015651703,0.8629487156867981,5.094640579401359,0.9863131046295166,0.6549304723739624,0.16872678697109222,0.9057708978652954,0.18950295448303223,1.4977805614471436,3281.52587890625,2164.02294921875
19,0,1812,28,153,0.17305998504161835,0.8864896893501282,5.122441731009154,0.9853355288505554,0.6325916051864624,0.172697514295578,0.9560664296150208,0.1865566074848175,1.5240330696105957,2436.021240234375,1738.1865234375
19,1,1998,22,180,0.17567722499370575,0.8275468349456787,4.710609670494384,0.9850061535835266,0.6742820739746094,0.17523473501205444,0.8916619420051575,0.19048087298870087,1.582854986190796,2681.21923828125,1861.266357421875
20,0,1826,22,155,0.1695978045463562,0.8746702671051025,5.157320694330518,0.9859351515769958,0.6576331257820129,0.16902272403240204,0.9348006844520569,0.18825121223926544,1.7054880857467651,2402.546142578125,1606.949462890625
20,1,2372,27,237,0.16755260527133942,0.8572597503662109,5.116361807522026,0.9865915775299072,0.6749123334884644,0.16697978973388672,0.9226967692375183,0.18510007858276367,1.609634280204773,2935.3115234375,1934.64306640625
21,0,2311,26,227,0.17018979787826538,0.8636065125465393,5.074372984209028,0.9861008524894714,0.6605055928230286,0.1696702092885971,0.9192240238189697,0.1872149407863617,1.5708470344543457,2917.71337890625,1922.4334716796875
21,1,3057,41,339,0.1713518500328064,0.8947375416755676,5.221639226533258,0.9861093759536743,0.6432955265045166,0.17082247138023376,0.937463641166687,0.18783114850521088,1.4759052991867065,3592.02001953125,2386.612548828125
22,0,2541,27,262,0.16765710711479187,0.7868213057518005,4.693038781877495,0.9865678548812866,0.7137668132781982,0.1671167016029358,0.8280766010284424,0.18309517204761505,1.3813902139663696,3090.06298828125,1922.589599609375
22,1,2910,21,317,0.1692246049642563,0.8285332918167114,4.8960568824304165,0.9864172339439392,0.6847887635231018,0.16879956424236298,0.8761177659034729,0.18367290496826172,1.4816228151321411,3430.81396484375,2145.33447265625
25,0,2348,26,233,0.16926810145378113,0.850867509841919,5.0267445698811875,0.9862796068191528,0.6694000363349915,0.16871394217014313,0.8904977440834045,0.1863323152065277,1.4363075494766235,2940.049072265625,1930.248046875
25,1,2789,25,299,0.16929349303245544,0.8337773084640503,4.925040493430429,0.9863598346710205,0.6809084415435791,0.1687953919172287,0.8860271573066711,0.18567423522472382,1.5102757215499878,3331.490478515625,2166.924072265625
26,0,1581,26,118,0.16781994700431824,0.8946134448051453,5.330793274394222,0.986197292804718,0.6354658603668213,0.16717742383480072,0.9148958921432495,0.1851733922958374,1.4284933805465698,2073.58935546875,1434.020751953125
26,1,1919,25,169,0.17018906772136688,0.8948657512664795,5.258068354462658,0.9858700633049011,0.637639045715332,0.1695333570241928,0.9449436664581299,0.18823811411857605,1.594872236251831,2517.711181640625,1732.6568603515625
27,0,2326,26,230,0.16859792172908783,0.8659266829490662,5.136046008534716,0.9863899946212769,0.6564922332763672,0.1678665280342102,0.8909574151039124,0.18941541016101837,1.6012591123580933,2908.646728515625,1954.5806884765625
28,0,2129,26,200,0.1701977401971817,0.8092014789581299,4.754478396809965,0.9860495924949646,0.6976085901260376,0.16968905925750732,0.8756901025772095,0.18643756210803986,1.6646850109100342,2738.572509765625,1794.1072998046875
28,1,2236,23,216,0.1691463589668274,0.8015297055244446,4.738675490359802,0.9862478971481323,0.7062071561813354,0.168610081076622,0.8833819031715393,0.18335527181625366,1.6830321550369263,2828.1591796875,1829.409912109375
33,0,2231,27,215,0.16625961661338806,0.8553507328033447,5.144669224079775,0.9867163896560669,0.6601153016090393,0.1655801236629486,0.8925120234489441,0.18548594415187836,1.5052235126495361,2773.57080078125,1797.3099365234375
33,1,2514,29,258,0.1696707308292389,0.8681488633155823,5.116668379204387,0.9862451553344727,0.6486439108848572,0.16902713477611542,0.9113309383392334,0.18834106624126434,1.523080825805664,3100.821044921875,2076.1943359375
34,0,1567,24,116,0.1735970675945282,0.9880031943321228,5.691358777062507,0.98521488904953,0.5619053244590759,0.17311006784439087,1.058940052986145,0.1882222294807434,1.6374908685684204,2126.275634765625,1576.73779296875
36,0,1966,25,176,0.17171934247016907,0.9488695859909058,5.525700089087033,0.9856492877006531,0.597362756729126,0.17108531296253204,1.017684817314148,0.19006022810935974,1.590012788772583,2592.186279296875,1813.7685546875
36,1,2007,22,182,0.16923299431800842,0.8731011748313904,5.159166380910172,0.9861363768577576,0.6587553024291992,0.16858534514904022,0.9439000487327576,0.18690915405750275,1.7725989818572998,2597.05859375,1791.3653564453125
37,0,2255,23,219,0.16902531683444977,0.8398654460906982,4.96887366824656,0.9862606525421143,0.682786762714386,0.16843238472938538,0.8840621709823608,0.18784603476524353,1.662372350692749,2846.130126953125,1838.7625732421875
37,1,2612,25,273,0.1684727668762207,0.8435831069946289,5.007237208904,0.9864510893821716,0.6792031526565552,0.16804805397987366,0.8973962068557739,0.1835443675518036,1.6312453746795654,3168.1357421875,1995.056884765625
