source,kind,method,n,original_gap,recovery,final_error,explained_delta_energy,cosine,original_gap_mean
preprocess,k,cached_v_top1,50,0.252083630554625,0.6843072259971542,0.17250264994412692,0.5317236204480796,0.7635558087344687,0.2534584806040307
preprocess,k,cached_v_top2,50,0.252083630554625,0.6563452295092386,0.16545388835189748,0.5692109397004649,0.7786793373650776,0.2534584806040307
preprocess,k,cached_v_top4,50,0.252083630554625,0.6745998130017383,0.1700555700329493,0.5449150922980197,0.7587473179624818,0.2534584806040307
preprocess,k,cached_v_top8,50,0.252083630554625,0.6725831115146871,0.16954719260034853,0.547631958105222,0.7576075823676399,0.2534584806040307
preprocess,k,hybrid_top1,50,0.252083630554625,0.6432679031905205,0.16215730845552745,0.5862064047248712,0.7951516743081408,0.2534584806040307
preprocess,k,hybrid_top2,50,0.252083630554625,0.6050451949385246,0.1525219893897341,0.6339203120818028,0.8137354608852571,0.2534584806040307
preprocess,k,hybrid_top4,50,0.252083630554625,0.6010059380812813,0.15150375885641756,0.6387918623910391,0.8093350545620627,0.2534584806040307
preprocess,k,hybrid_top8,50,0.252083630554625,0.611504191876551,0.15415019678761302,0.6260626233174063,0.800627319334437,0.2534584806040307
preprocess,k,mean_anchor,50,0.252083630554625,0.6423026421949625,0.1619139819593344,0.58744731582937,0.7759074544604516,0.2534584806040307
preprocess,k,no_update,50,0.252083630554625,1.0,0.252083630554625,0.0,0.0,0.2534584806040307
preprocess,k,oracle_anchor,50,0.252083630554625,0.548417137458976,0.13824698306903352,0.6992386433413026,0.8531580393494169,0.2534584806040307
preprocess,k,position_top1,50,0.252083630554625,0.6655211864896358,0.16776699690132904,0.5570815503334274,0.7833218099455171,0.2534584806040307
preprocess,k,position_top2,50,0.252083630554625,0.6271658552114219,0.15809824574159154,0.6066629900569258,0.8013644503794236,0.2534584806040307
preprocess,k,position_top4,50,0.252083630554625,0.6055142893611064,0.15264024041485144,0.6333524453795143,0.8081079263830869,0.2534584806040307
preprocess,k,position_top8,50,0.252083630554625,0.5915926349614256,0.14913081923045315,0.6500181542593975,0.8143096069125485,0.2534584806040307
preprocess,k,random_anchor,50,0.252083630554625,0.7947435968408922,0.20034185125169332,0.3683826152804013,0.6858118139464312,0.2534584806040307
preprocess,v,cached_v_top1,50,0.4750206719409111,0.6818275657395358,0.32388218842543004,0.535111170597699,0.7654840990413256,0.4810237610264751
preprocess,v,cached_v_top2,50,0.4750206719409111,0.651002342167525,0.3092395700115246,0.5761959504923968,0.781267379261411,0.4810237610264751
preprocess,v,cached_v_top4,50,0.4750206719409111,0.6549919365227229,0.3111347098029024,0.5709855630902132,0.7734430660788835,0.4810237610264751
preprocess,v,cached_v_top8,50,0.4750206719409111,0.6422699484324634,0.3050915024718431,0.5874893133405608,0.7794554335091927,0.4810237610264751
preprocess,v,hybrid_top1,50,0.4750206719409111,0.6658653485808539,0.3162998053050462,0.5566233375592979,0.780115602373255,0.4810237610264751
preprocess,v,hybrid_top2,50,0.4750206719409111,0.6159808464770139,0.2926036355962423,0.6205675967734614,0.8051466423412174,0.4810237610264751
preprocess,v,hybrid_top4,50,0.4750206719409111,0.6028597389524042,0.28637083828329324,0.6365601351502391,0.8080304715376987,0.4810237610264751
preprocess,v,hybrid_top8,50,0.4750206719409111,0.5984639651426916,0.28428275485450333,0.6418408824256872,0.8088155065990028,0.4810237610264751
preprocess,v,mean_anchor,50,0.4750206719409111,0.6035495305290021,0.286698503541508,0.6357279641982212,0.8028534880438775,0.4810237610264751
preprocess,v,no_update,50,0.4750206719409111,1.0,0.4750206719409111,0.0,0.0,0.4810237610264751
preprocess,v,oracle_anchor,50,0.4750206719409111,0.5733272057605351,0.27234227452237436,0.671295915134817,0.8352268514922099,0.4810237610264751
preprocess,v,position_top1,50,0.4750206719409111,0.6899199474147637,0.3277262370063991,0.5240104661592097,0.7658374281633263,0.4810237610264751
preprocess,v,position_top2,50,0.4750206719409111,0.6398603710115758,0.3039469033862794,0.5905787056089286,0.7917663254695486,0.4810237610264751
